"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015","sim_016","sim_017","sim_018"
1,1794,2043,2724,6821,689,6122,19491,13730,9602,18788,15275,13053,18161,19007,18372,4400,11777,19833
2,4111,16414,13427,16361,11226,11454,18676,10346,2303,6027,19854,7874,12401,3042,4355,18203,19183,16569
3,10651,7288,15189,5518,5368,8100,1871,17809,10404,10520,15526,12172,4401,2644,14873,7753,9758,7155
4,6818,10822,9990,10084,8884,14731,10208,7699,362,9617,1666,412,7432,1272,802,6314,5804,784
5,19433,11289,14600,9191,1511,2818,16648,11571,16778,2227,18643,2145,19982,10033,11897,2328,10988,7915
6,5204,18077,14040,9643,3961,12286,18912,11869,16642,9790,753,14646,4180,12985,3618,1895,3787,12943
7,6267,18416,6625,14607,1807,13157,10640,912,12106,8879,11242,13799,6203,9632,12856,15055,657,1762
8,10035,6915,7882,4186,4909,10716,17884,10714,12774,9633,14077,9615,13340,1709,4424,15700,5712,19957
9,12692,7412,8758,15893,13644,14404,3984,6629,8564,5493,3076,19186,7467,7224,7965,16724,16928,17729
10,13433,11625,4716,15713,13878,685,8599,18982,10347,17128,13638,9010,10190,1607,10646,7061,6834,7023
11,6225,5079,8301,11604,11394,17832,14170,3843,7046,1386,7445,7368,14956,2993,16801,18988,15105,9531
12,13941,16857,7811,9816,19574,18116,4116,5898,15667,19496,2763,4180,1179,15187,18422,1165,17471,10895
13,15442,18375,5656,11672,12881,2460,4291,5758,14676,1992,1428,13597,3126,13814,10482,10156,9540,11253
14,18251,4928,1276,734,18452,3798,13539,10383,8989,1444,19729,7414,2408,5849,5830,8468,7919,14118
15,2746,5966,18784,4342,8267,3909,10949,7234,18411,2420,6794,6031,14604,16458,4184,17955,5651,3822
16,4819,7389,14335,14544,2264,2182,13545,19978,9479,11659,3695,15337,6155,4610,13130,15943,14215,8470
17,4001,2060,1069,3808,2746,3421,5842,7279,10411,11344,305,9259,237,12355,17425,17915,16375,2536
18,14693,537,393,6796,7998,16443,11452,5334,17355,7986,15920,12792,14772,3836,16170,3216,9000,4495
19,6828,3900,3298,15241,10087,5890,14854,12959,15215,7450,3682,17294,14839,14223,5297,16670,4073,2171
20,10323,6116,1886,2891,19858,17562,18689,18452,13417,17935,2333,18991,3717,18987,8583,5247,9828,4441
21,15114,13932,3374,11591,10211,3389,15605,905,19314,6571,239,18399,9061,4225,14129,1775,19004,7243
22,4713,14743,7475,19747,4360,7235,11561,15716,10045,889,4621,18074,16149,10167,18759,7303,18194,18777
23,11857,17514,13519,17310,9537,5061,5051,3365,9816,598,3565,10067,14116,14589,13049,5991,2422,7919
24,18644,14755,1426,3675,6433,19283,12991,3941,10175,7401,4377,18316,7003,5443,13488,17234,3529,7956
25,6230,19027,6270,12817,19815,17153,16983,13492,19108,10011,10499,9871,15952,8562,16849,18457,17592,3668
26,17407,12192,14617,18002,1755,18098,4302,14481,1526,11324,15213,3009,10923,4646,3607,637,6607,8653
27,10927,2054,19813,18086,9658,11580,13986,14058,12695,17466,7532,14578,15735,836,10087,4732,11676,19611
28,12002,4832,3180,538,14744,17350,5389,13160,9788,16972,11111,2535,12970,8437,5010,10951,6383,5822
29,9345,3907,4274,168,6337,4042,11829,3242,7141,11383,13361,7501,15346,13126,10660,13117,9266,3143
30,2204,13904,2560,7057,13536,5541,16596,17741,14145,12940,3930,3281,7342,11364,2471,3205,13740,8691
31,12089,16740,4977,4817,5512,3449,11332,15939,3570,2319,17326,17734,13088,2467,15791,7157,2943,7214
32,11474,12433,10542,7096,19920,7143,4961,1938,10264,4749,12904,17135,714,6527,16633,8788,9366,13634
33,6508,12559,1461,3848,18923,5115,17227,13661,18908,10651,13142,10382,4122,13097,280,9936,7397,7427
34,5735,8696,15172,10868,4828,16352,15340,14511,14259,10152,17194,16051,19783,9167,18735,16165,15532,18149
35,16942,7454,13721,5846,4747,16521,938,4996,9984,19544,13718,9195,9868,737,12599,1652,6454,15204
