"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015","sim_016"
1,4900,12109,1112,13065,16607,1109,6286,13419,7462,12566,11331,11823,10273,2977,8721,7363
2,2085,12847,9809,1591,590,10005,11218,11042,12896,12764,6694,7460,3479,15775,18194,4646
3,166,7362,9261,9983,12084,4826,18681,2138,2661,13166,4041,11745,13096,13102,1685,14311
4,16338,13970,11963,13812,19321,16439,13755,2346,9760,12046,8962,2683,18872,15940,18020,3962
5,811,19954,18923,17302,13425,16572,10013,5474,18689,355,4751,18981,3527,12519,16336,1262
6,1729,13321,17231,4720,13714,2334,8010,2438,1980,2257,11482,4245,12182,729,18233,19219
7,8754,5766,9190,12565,6694,5266,18079,8985,17026,1830,2278,4478,13901,15984,12437,15530
8,19360,11920,13823,10178,8582,15091,238,10887,11240,2315,11642,14015,16539,9170,9352,16514
9,5318,7646,2711,17319,1422,9728,14139,4692,13259,7738,5155,7581,3261,6127,14165,16326
10,18830,7856,1373,5488,12513,15687,6505,14099,3079,757,14789,12080,1614,16794,3872,13733
11,8315,16437,18062,4016,13695,15333,14176,566,12616,10961,1679,7142,18811,6984,5684,19980
12,1646,18628,5877,12411,13677,3703,9402,16868,17513,4168,15404,6582,15577,13970,17293,7558
13,697,10558,15787,2389,16109,15397,10330,16991,12199,6365,7786,12016,17330,17403,16749,7871
14,12578,10998,7218,3613,637,17797,14297,13772,14632,1717,2751,7680,11768,4930,2931,6551
15,194,19889,3821,10074,2096,10592,11471,10227,5328,16304,3469,6457,15067,12695,16515,10855
16,7822,9547,3181,9607,18451,9164,526,6476,11941,15207,13758,4349,480,9815,8773,12870
17,2067,794,19492,671,1904,16848,3764,12033,18828,8140,14733,8478,18839,11217,17029,18752
18,6730,12623,10414,1371,13281,10476,5068,9860,7284,17277,8558,8917,12140,10342,12058,13014
19,4697,14936,4928,11309,5780,5967,18809,1796,2008,11357,7284,1957,6462,2743,8917,10133
20,11975,2806,5119,17821,11235,16070,4441,3887,4250,4302,6548,13558,8955,7621,11877,18287
21,19684,1950,4920,2971,2882,6021,4599,13598,3423,7044,6514,17565,19495,554,9193,17140
22,13134,18227,11310,3820,14419,18161,15953,208,14723,9694,19428,19349,4589,7658,11960,15636
23,19591,11805,2123,12358,10382,644,12002,19738,13908,18352,19498,10629,16873,12898,9759,3492
24,7032,9836,17904,19714,12975,12468,11711,9652,6451,3187,18566,15966,14091,18852,2269,15437
25,10971,4704,18237,13978,5199,6413,18205,445,11243,9751,11890,6699,11750,6480,17230,15334
26,10175,7098,15541,339,14227,19171,14522,15912,14573,10261,10479,11920,16674,14212,16923,16066
27,6431,1053,7293,2860,1322,11247,13059,17599,7380,9686,6036,6393,684,16293,1226,17157
28,13731,9791,19634,18930,12381,2193,2465,9437,14031,16271,8934,9620,8767,10919,10879,13625
29,1660,424,16785,2281,15465,14927,7541,15923,12545,15613,1076,7490,12163,2401,10598,9819
30,17881,5165,3173,799,12899,10547,5470,605,11683,1283,5601,16205,927,3644,5174,15286
31,10319,15838,11581,13937,19770,4194,13929,14814,19290,15498,10908,2588,10380,14944,3680,13082
32,13393,14722,12800,9489,16317,12061,12169,11345,15432,13606,10264,19013,15714,12674,2246,11447
