"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015"
1,6597,13506,10315,9500,17509,19768,18957,9247,13526,9236,6429,16336,1010,7501,5119
2,17293,6758,10768,12299,5618,7144,3955,18319,5931,7874,9090,17541,14408,14282,3234
3,10889,2809,19911,13196,11822,15928,14048,16838,12915,16507,10807,9874,10283,15016,5787
4,3683,1626,10475,18144,11050,18525,19467,9530,3439,18369,11671,19230,4056,6227,3199
5,4369,19126,7406,15830,7554,11959,15082,18163,19535,2575,13719,2666,4447,8393,630
6,3041,3796,10041,4558,6908,9256,12346,19651,12706,13941,11990,19947,992,1098,13309
7,3696,13106,299,13443,4135,6402,12091,13612,1628,11361,1545,10515,17702,15127,4000
8,8547,15218,10639,3351,8467,2118,10460,16401,9495,17975,17123,2589,3442,12610,13487
9,17615,14754,6361,8977,12876,10879,12992,19884,14204,2627,19853,15612,8741,12392,5747
10,5318,6284,19753,11649,1670,1969,7633,18495,8378,3272,19552,13629,1035,15510,1393
11,6852,15423,18326,15404,15585,5472,18350,18378,14863,817,812,15433,19842,5309,12371
12,3492,12395,5207,18125,5759,541,15458,13424,15751,19931,13483,9084,18613,18876,18348
13,14302,5996,18977,8652,12542,3790,16640,19738,4288,17327,16210,17357,197,9842,11700
14,14380,2890,4885,12796,8024,4152,13161,8569,1246,14019,17029,12091,9137,1017,10295
15,6252,6795,14939,4252,2281,980,15300,4626,1255,2499,16101,4209,19841,9093,3268
16,11048,4436,13170,9863,11036,14303,14405,10690,5222,9091,6592,7990,15890,2956,11373
17,11595,12517,8086,10144,12100,19924,19018,15876,17589,1928,11282,16665,8191,7026,4116
18,19663,5103,13426,19414,7761,269,19221,18324,13822,11305,17762,15717,317,10737,2927
19,11881,8946,11204,5371,5509,15673,8547,10783,17056,16463,397,19018,10723,1596,14598
20,10132,16138,8823,17875,17797,3100,971,12097,8946,15873,18183,3319,1828,6096,10028
21,7358,2665,1366,6172,14708,15172,16568,1291,5817,4589,16983,14267,4663,4381,14089
22,8285,2080,19073,865,14675,13085,16239,19772,19810,2773,16217,14189,15140,2714,11545
23,18385,13497,4522,10810,17193,5515,18434,12558,1899,6871,579,8930,1670,2344,12423
24,16159,14168,12197,16263,15917,10700,7071,8671,3608,4589,10621,13246,6491,835,7429
25,8324,15606,1917,19617,15257,17384,533,3775,9778,4508,3932,3327,1260,14247,2436
26,3858,9603,10656,11551,19317,8811,5002,9654,9187,4987,1645,14247,9525,2313,14426
27,8284,182,7939,2536,13232,10442,12595,13955,2835,17369,381,11280,7923,16748,2734
28,9313,16298,14698,10615,15179,1607,19547,3641,124,16222,12857,7889,13283,2454,9288
29,14389,19236,10746,13676,18778,17830,5116,13940,14840,5786,7902,7010,12955,11106,13889
30,12093,8842,16679,10876,5169,9332,1043,1986,17182,4476,15294,19406,11033,12992,7831
31,15129,10263,3439,13646,6771,7945,7338,1271,11892,8545,6421,6388,14156,11203,10698
32,15386,7051,13362,5676,18277,12903,677,1840,7398,7176,18016,8158,564,18921,17300
