"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014"
1,11605,12927,17070,3273,6698,10346,5276,18617,18346,1970,11989,12310,13813,8272
2,18881,18385,931,2716,19036,16491,19910,19630,14681,17014,15993,766,1508,9619
3,1042,18878,5012,10618,5205,9899,7383,1967,7851,9961,4656,14857,144,12395
4,14993,10084,4448,5386,11861,14886,14810,12377,15387,3151,13046,17902,16709,15341
5,15024,12958,12532,15662,5338,11965,2430,17687,2408,11515,17521,6944,11100,19062
6,905,3550,3332,1451,10020,3894,893,15212,6375,13844,6741,1844,10761,9725
7,1498,11321,9039,4701,10472,18725,18890,5866,7153,14460,6251,14590,14265,17713
8,13581,16305,9053,7687,2165,16359,13541,3757,1103,1063,18558,10164,15952,10146
9,14487,1060,4088,19094,7371,14319,16140,3828,12950,8087,10096,18600,4300,10202
10,7577,11362,16870,464,12974,19435,19365,599,9625,1948,18321,12130,7932,18358
11,17561,9470,5773,7849,8101,9389,14659,18144,15890,4752,3101,8273,10070,16727
12,10857,4893,12352,17960,8117,12195,14040,18198,11865,13261,1453,9588,17255,14400
13,17042,7371,2906,5904,16699,11753,10295,12800,11681,540,8725,12003,3066,1300
14,9250,9702,11180,16086,2781,15278,6195,13964,10316,2862,7397,5644,7664,9400
15,8157,15812,12583,15556,2854,14339,9994,19568,742,9963,15111,18623,19108,5966
16,17304,17550,333,3316,8769,8802,4140,7088,1812,4648,17176,11144,15039,8629
17,17779,10228,3635,11912,7924,7574,4579,10941,10863,14894,14011,19905,4240,6147
18,6323,11424,11169,7913,13413,16546,10601,10328,8021,15767,1747,14815,12303,10422
19,12381,8723,14229,14787,8520,18450,15953,18117,2575,8311,19991,13283,283,108
20,13612,10509,2673,13365,15515,15737,15559,6812,7903,8258,11173,16020,1650,1066
21,12277,18102,6207,13241,7618,16921,4729,15218,7471,493,429,18924,5788,13803
22,16027,11559,8085,13400,9635,14812,3876,19485,15061,11993,19343,10288,6965,5876
23,2127,3612,161,16018,17981,11943,5136,18855,17206,12279,1140,19474,9057,5980
24,11961,18510,1530,7770,12862,6810,362,1330,17165,19258,4481,12589,5532,10602
25,17507,12400,7544,12954,6277,5950,18916,14330,6803,10337,18078,18869,14238,12987
26,4099,3728,19736,5617,15636,9809,1676,1420,10284,4266,5162,13411,16020,5294
27,8784,14661,6991,9972,14655,16487,5046,2928,7777,12253,11192,1201,3658,6403
28,1544,11847,7241,19452,17162,656,6473,15144,16699,3946,11391,18585,8560,13435
29,1112,19953,7473,288,11333,14007,8781,6518,14600,16732,951,10923,6197,15738
30,10849,6821,18089,15469,2705,7443,10069,7863,7306,8119,10690,633,18677,11294
31,8765,10453,9716,16450,18309,13916,3650,6857,7950,3844,5681,10951,6609,19894
32,11228,10683,3376,16434,14858,3835,10064,13387,19697,19498,14162,1507,8986,15935
33,12251,9914,9991,11612,3072,17072,6454,6042,8577,11206,4663,508,6505,8199
34,3349,11922,9687,12414,19621,4266,4886,9992,11565,16486,9548,16095,8140,7511
35,13472,12244,12544,5445,5853,4599,16197,9496,18257,6934,8487,12843,8205,8866
36,6684,4903,15403,10864,1134,8738,14138,18784,19292,19946,8680,9447,748,7092
37,11920,6439,8047,5747,1368,9860,1354,8760,16735,7587,2702,14808,533,7455
38,6650,15370,3979,2305,13415,18523,12318,15108,5605,18288,9018,13706,7739,1600
39,11122,14583,18111,1573,734,16950,6085,1201,10855,19946,19200,3743,6536,7510
40,3412,10972,3418,8370,8541,3248,14778,13332,15264,1572,9339,6687,14284,3645
41,15743,6229,11438,13152,18807,4072,12306,10820,12254,3378,4727,6556,19482,6606
42,3459,15953,16356,13711,190,1521,586,4236,13891,13665,18684,18343,16252,5113
43,14922,19011,4424,3793,12614,16435,18285,12118,3972,11771,18077,9958,11920,18188
44,15330,15565,10791,2883,1102,9394,8426,17699,777,3393,14480,13654,13225,19318
45,8208,12265,11587,12785,4033,1538,3606,11497,7107,2478,1320,348,12394,6586
46,9918,1472,2173,4326,15400,19690,13579,8774,11376,2835,14761,16426,8503,1645
47,3292,19584,16785,10858,18920,17657,18165,4216,7609,18804,11599,156,14853,11617
48,12578,7396,4242,4997,14985,1552,19822,9035,100,15403,9436,12636,345,17529
49,5569,16416,16130,10637,6981,16557,16128,12471,10483,16090,10622,17002,16579,16057
50,12431,16567,12220,16273,9534,15625,9871,8914,18701,8333,8563,491,7186,11211
51,10126,7989,19783,2125,13514,3422,7342,8801,17103,15270,3116,285,5878,398
52,17491,14352,16696,3303,14869,13376,10164,9710,16213,3601,11684,12026,632,13756
53,11195,16762,4773,2752,6277,3476,6304,14005,187,13854,3607,9710,13188,14881
54,12200,13144,6183,7433,15900,10700,5817,9338,13229,12369,14314,15027,17875,17983
55,3551,11210,13729,7679,763,15527,12083,16354,19208,19541,13232,13463,15511,11536
56,382,13755,12478,16891,11760,13663,1077,6014,2284,13089,15725,6037,15144,18601
57,12997,15160,18463,8742,7295,1166,8297,19463,12500,13815,2399,3487,5211,7069
58,5043,6838,19168,10920,16699,19108,14209,1643,4679,2714,4729,4284,3017,4028
59,7307,16060,3083,12005,14890,6912,8421,11835,9354,1665,12934,17385,11378,7187
60,10358,18988,498,9518,5381,4150,11129,5063,1068,6443,2494,4902,10098,2328
61,5969,17793,10378,971,16528,10962,8952,9821,19037,15853,2429,5239,8120,6321
62,10453,12378,19444,3867,10133,9285,9603,9012,19036,15992,836,12290,2744,9327
63,2919,14809,11309,3478,15116,15661,5092,5550,4538,236,18174,9191,2409,14085
64,18058,14802,422,19273,12531,16121,13278,4356,15441,17623,3152,12386,7785,18245
65,14542,11447,2935,3794,3004,12073,11407,8233,19346,12158,8151,7056,5753,8790
66,5676,7698,11396,1124,8437,12114,18529,11960,11105,9149,5820,3096,13648,17421
67,14279,9900,17311,12663,19674,12426,9259,3240,12433,6273,208,11408,12391,6937
68,14701,18899,1021,19561,17679,757,6411,6404,16853,13854,1427,10064,16031,14194
69,17468,9936,224,5074,5630,10069,9400,5765,13492,8205,4220,3285,9818,8078
70,464,7360,9133,5141,1816,14332,2079,2927,1018,13232,7517,11942,15848,18390
71,9219,14366,9198,1673,10471,9935,2985,7718,9415,2955,1885,5305,942,12288
72,643,14387,6883,10729,19651,9278,9814,5265,6594,5182,3293,7223,14292,13126
73,15299,6594,18085,14974,11282,1690,6185,16947,18295,13533,17911,8204,5098,18607
74,19872,11621,14895,6155,12000,8796,9548,5138,9772,15461,4329,15428,5095,13098
