"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010"
1,16652,11212,5739,16679,15381,18667,18118,18868,10414,3669
2,594,583,5542,14490,7964,6037,12980,13283,7959,1323
3,17144,4627,7356,2205,6001,7585,9344,18564,5721,537
4,12634,13229,5716,19754,1824,9836,10186,12462,1313,4943
5,7470,12700,10481,2399,12390,5811,3519,18557,5141,13398
6,19132,10328,17901,12469,7984,16895,6816,4259,12720,7479
7,5550,15971,15478,15982,4706,2246,8439,7780,14989,18900
8,15826,5416,6159,10664,10136,18873,7352,2081,17641,14633
9,11902,19075,1321,149,11243,8367,9111,18809,19851,15590
10,2290,13799,10374,18519,11070,12037,12644,8545,8954,15921
11,1861,18638,632,15404,9809,9809,14621,15328,2054,9352
12,19053,15701,12399,13354,17337,2424,4648,19195,12754,2191
13,4090,10902,9791,8006,15482,17149,4307,2973,7178,13837
14,18669,11932,4615,8037,12703,19919,3374,12488,10157,1425
15,5396,8981,11363,8730,1880,10140,2777,6453,17167,1642
16,8729,19521,10753,5721,8678,4414,15793,12657,11243,12384
17,6757,4826,4512,12652,13857,8081,11742,1189,13401,18611
18,13952,10988,9966,16793,6682,16873,12278,18167,7257,8516
19,2568,16124,14516,9103,12770,17882,9686,13456,5208,7389
20,10559,6221,1668,12827,4442,8447,11930,13604,1414,9626
21,4041,12427,7048,15817,2709,18175,13683,8568,13086,16055
22,4125,2333,12064,6443,2757,866,17556,3654,19895,8153
23,17025,3485,5339,16102,14802,1472,18761,5373,337,17473
24,9778,17816,17205,19254,10353,5334,8971,14091,4042,12443
25,1057,17320,4324,3014,19608,903,19832,7277,13257,14088
26,4845,15190,220,10353,7633,2341,14801,14512,11165,13299
27,10314,7401,6993,5310,12338,4125,8140,2334,12463,19463
28,19112,18205,14502,6131,11975,10402,5529,7286,10788,5989
29,5758,3647,12748,9154,5471,7177,15823,16977,13607,12427
30,16998,18689,5349,19377,19116,12536,16639,19036,6066,19614
31,12044,7631,2728,17084,6065,7677,16704,10759,10126,4862
32,1370,15321,19197,6548,7448,19666,19146,9545,7263,17695
33,6862,975,16303,8650,15509,10242,18825,7421,1368,14320
34,18048,1162,12652,7745,18635,10935,9103,9302,9709,20000
35,13222,4949,447,4866,7448,16157,1854,11577,6709,17615
36,11033,6641,3331,7282,8154,5593,2584,10254,2209,5086
37,3971,16304,19162,4423,4440,2885,9928,17456,15110,16439
38,6681,2135,2296,17779,11923,9146,18672,18483,7768,2494
