"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014"
1,13808,4297,460,18577,15841,9497,15208,19833,5647,9198,2867,13510,9133,2042
2,6852,16950,3260,12853,17826,8275,2746,14190,12417,15998,3522,11180,12119,18254
3,5174,6286,18817,15792,9434,13107,728,17711,5875,3584,2846,14455,17445,10359
4,18431,1902,10836,11564,10832,13277,10830,7092,17930,11065,8406,276,17634,332
5,997,1075,8292,1059,2634,2596,18400,13664,4774,7413,16005,1122,4765,18674
6,5611,18550,13495,16110,9589,18097,12656,10128,12347,9188,18481,19832,6895,1833
7,18160,368,15549,16932,10074,2279,793,8297,4669,19697,12559,19367,15690,7738
8,12549,13645,5977,4962,7320,6342,8840,6818,10222,6856,13771,3204,15198,19744
9,8810,17576,16590,12201,7704,15859,744,16462,15758,5482,14668,17414,13547,8299
10,15311,18393,15706,11766,8806,7402,19224,7909,15266,12585,15902,17516,6941,10024
11,2752,8376,8027,12804,4159,16237,3104,18883,4947,11724,15738,14670,9839,12164
12,259,1583,7265,15754,9418,17069,962,14262,19948,14573,9046,18403,13702,8620
13,16849,162,13225,11186,1177,14152,13643,1505,3438,6067,10781,6974,604,16797
14,8098,6391,11370,9872,3084,857,8479,1264,7089,3348,2269,3701,538,10807
15,5103,6745,18724,14418,4050,19945,8557,13632,10089,19197,18303,17977,7188,16199
16,3904,18332,4008,14782,3758,3782,9182,18123,16940,19476,2093,10975,743,11624
17,1640,12611,13673,2560,14785,19433,7828,8254,10081,6393,3023,6346,15960,10671
18,15203,9365,3143,5177,13118,17272,8305,13522,18645,12620,15864,3318,7033,4354
19,9602,13220,19645,2382,3883,10005,15900,18444,2712,811,16635,8617,17022,11167
20,2189,3090,15164,3470,11265,14159,13914,8540,12748,6513,5499,3491,16162,17269
21,19082,7589,19081,9614,16177,9075,15804,6907,4491,3479,696,11610,13320,15716
22,4887,16521,15966,9321,11805,7134,13051,2309,8011,5500,2564,8385,10570,4026
23,17764,12091,12815,11182,6456,5294,5553,15716,1354,16256,11286,17725,16146,2658
24,9317,12964,19462,11670,17160,19890,19468,12586,9576,238,17413,7374,8741,15474
25,3858,8725,16285,2826,8136,7186,15894,11677,2806,9127,16545,15400,19078,12550
26,8276,256,18052,2320,15678,378,17760,13865,13736,9224,19849,15704,10244,2009
27,13911,16833,16443,1689,2414,15468,6671,15211,2910,6934,4938,719,14183,10499
28,14850,17151,11467,17001,15227,18998,8590,13613,5791,14245,19104,7443,2431,6204
29,16717,996,12475,3709,14874,8955,16221,5512,18133,3332,2432,4068,17522,2681
30,10738,15120,9697,13056,5733,3412,11081,9244,8503,18490,4000,7767,4119,19005
31,16565,8408,4800,19021,12339,1988,3089,6754,18748,9261,5494,5049,16027,4998
32,8282,7734,3047,340,6545,9270,12070,8847,7698,927,824,8947,7482,17478
33,6046,2755,1901,6511,13524,1304,18068,6025,8260,9716,4876,6006,109,1905
34,911,4008,10621,19326,17871,13018,9906,17797,11986,15437,13200,2465,19347,6580
35,13930,17448,13163,5055,1937,18869,7632,14902,9212,1196,17210,7899,19833,5178
36,15255,16932,19531,14309,506,13613,9546,12090,14796,2340,5196,14772,18267,487
37,10441,1235,2018,6109,11984,10603,9593,6286,10896,16526,147,9592,14709,2384
38,17168,19000,4186,19401,2780,13783,6447,16817,2189,6749,9162,14981,3727,1932
39,17511,17735,8144,15450,6277,17207,4818,18045,6209,871,13945,15697,12244,14188
40,18856,14556,18901,10185,4478,12238,10830,16276,2603,8465,10105,1487,7913,13229
41,2701,18440,6491,11228,6978,3981,11641,6423,12847,15392,6191,16332,13822,17756
42,4716,15669,12316,8902,4344,7743,19795,19269,1735,13345,16526,10909,7912,6643
43,8537,15024,15181,13049,13257,8639,12243,11734,19904,8314,6825,1345,760,9409
44,8796,19900,7015,3326,1404,15390,1639,4778,6470,13066,11051,6579,9515,12533
45,9367,10429,6920,13010,2064,12837,14499,15837,5599,6680,6670,1420,7377,16152
46,12553,7404,18951,19379,6582,9658,3720,11995,1257,3342,11542,2325,9655,7654
47,5358,11739,19189,7196,19528,16363,8174,16234,4664,15927,8367,5028,14340,8456
48,15344,6545,14351,604,1634,8382,11033,14593,4899,16444,16220,14050,16530,13923
49,15064,1128,5121,11542,7203,12118,3603,2347,14793,12669,10104,10363,10503,18317
50,5695,3804,3434,1296,10298,2135,2161,7965,17678,9888,16169,18386,1154,10714
51,4497,12347,16221,2705,19310,8062,7978,3186,15765,14632,8179,17457,7494,18596
52,16971,4490,973,13871,6041,737,17885,17717,3774,8836,19208,6584,13095,19096
53,12468,18197,1964,13611,4190,10789,12492,15423,6686,3675,19914,6476,14131,11817
54,18235,7951,3407,12094,14512,8216,17556,14591,18605,19510,17752,12959,4360,10239
55,16153,3344,993,17596,4614,7788,15151,18659,6842,9609,1567,9093,9498,19241
56,2409,15686,16059,15528,7456,16233,14574,18466,6010,16665,3053,19456,2686,256
57,633,17903,2620,14740,7439,6254,13126,2784,3836,1822,10418,6538,7416,11391
58,8161,3813,10014,2141,4603,10812,4937,3565,16477,4461,7718,4007,2935,12556
59,3700,1254,8114,4859,15958,7793,15560,14511,16594,13602,14143,5477,3051,2043
60,16381,10343,17867,1559,2428,13310,11294,13356,13073,13421,18787,18895,3744,3491
61,9615,11871,4689,15259,16108,3827,4058,4608,13904,16999,18155,4882,17022,141
62,12653,3306,18960,361,1785,2649,7839,10491,1107,10087,12199,17546,5187,3089
63,2842,288,10514,10355,6816,6423,11786,10700,16969,15557,11076,10268,4401,17769
