"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014"
1,361,11763,17248,9733,17574,4698,1794,16715,12544,5458,17774,13351,13454,9227
2,6802,3934,1662,14857,2920,10572,7110,1671,8027,5825,6013,3071,17978,18513
3,3997,5021,7068,3651,18056,10421,11765,17369,927,16096,1834,12532,6260,16041
4,8909,3491,15443,2429,15210,4606,9959,17778,9919,7549,1263,3988,789,14610
5,6904,17781,9157,18642,13397,16474,18103,1981,5227,2150,3960,15861,16246,3425
6,2381,4212,8413,4366,14802,17281,904,8713,3319,6617,14027,12127,1817,2961
7,4553,17144,17105,4822,273,18983,16288,8505,18241,16702,2136,19305,7784,11793
8,12998,18446,16688,15472,11956,11043,12472,19575,17030,14197,11830,10823,1869,18191
9,2009,5225,19293,14641,3321,7951,7028,11707,3771,9850,14656,16197,15228,15195
10,7574,18316,6669,1389,7707,4862,17559,3583,12427,17792,12845,13246,5198,10713
11,13449,18652,9205,13046,19011,6404,1349,4980,4200,4115,19262,8068,3104,9594
12,2783,11977,16553,13119,2858,144,4583,11774,18629,16903,9155,14180,6452,6659
13,15971,18718,2085,3222,12243,16004,19272,13180,9012,12536,10401,16841,9957,17112
14,19629,9438,8794,10575,14808,2860,6285,4959,14030,6345,8193,16713,15593,19233
15,8903,8725,3158,16006,15758,19469,18151,8345,10210,10323,10856,12851,9860,17127
16,19559,7376,2573,8665,8221,1682,8659,12270,13536,5387,1035,10500,19927,1894
17,1496,10673,9855,3063,14576,1010,18413,1765,4249,1694,17790,3811,15576,15695
18,19394,7854,12157,13215,16166,11085,8759,9471,4900,12957,2857,3949,2730,18659
19,1771,13126,9542,16019,15755,13242,7844,5321,1736,1677,7525,9621,11847,11679
20,8868,5558,13181,14044,14137,327,19908,14521,17936,4199,11179,3142,4346,3992
21,5448,8774,19915,514,10335,17213,931,13654,6566,16454,898,11380,16930,5467
22,5099,13456,2496,6146,5123,1926,10955,2867,11131,16179,4309,2461,4848,15032
23,9951,16657,12303,10103,1742,5011,18665,6335,3018,16519,1365,8140,4792,16801
24,4322,5979,14134,2474,14365,4753,6148,16957,9588,3787,6877,6358,742,12933
25,2483,11102,403,2984,16550,1932,16248,916,9082,10257,864,11079,2349,11407
26,2463,7970,10061,10422,7684,10856,2593,11939,11675,18496,11908,19451,6038,379
27,5115,4344,18340,18570,698,18106,3426,8041,12269,15974,8667,1067,13483,16573
28,13824,6229,10903,4945,3055,17352,866,16600,12567,10454,15843,10307,2704,3661
29,12068,9957,1693,11983,13457,6257,17251,3393,10455,313,17532,2454,9073,14130
30,19492,1583,16283,3536,1649,2955,3164,2770,2077,1484,13350,398,3000,1643
31,7486,19432,14648,12192,10800,19411,17298,14207,4730,2834,14766,15358,13179,4900
32,17648,17561,18305,9660,6044,16486,1239,16767,6888,4757,485,15840,14166,12462
33,4151,10821,11129,10097,1380,6999,2198,6854,4481,14197,8104,16073,16587,19282
34,12699,16112,6529,413,3789,3184,13568,8513,8463,5155,4937,15634,2845,13951
35,10708,4671,12622,4925,4086,16711,18554,380,9104,13746,6652,11074,1521,11400
36,8294,19236,16925,13965,4629,15846,2585,2532,6329,657,17566,16515,15720,18253
37,9879,3304,2660,4737,12219,2095,16571,8985,19075,1857,16955,9771,120,13631
38,19110,4935,19042,580,12661,3880,4915,1867,5649,2862,7892,10695,8721,15637
39,2934,7888,18863,683,16974,375,7773,15836,1679,362,11375,12164,1268,15498
40,6740,1402,6351,16661,2593,1867,10166,7472,16548,1781,6371,2357,12209,3332
41,14155,8097,14277,1994,15929,13985,8629,4013,11481,4072,12472,6778,344,7697
42,11004,5654,11756,486,14309,14532,7332,5927,13321,13595,3309,3152,17363,4040
43,6466,19485,9120,9169,19403,11060,16734,9888,7697,7560,16913,12636,12282,7485
44,14824,3944,11981,6383,9762,10482,2617,18447,8469,6608,16025,1700,1799,16625
