"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012"
1,13389,9057,7886,340,15464,9102,2762,8919,5141,10251,7691,4950
2,11623,982,17511,393,13802,1562,15864,19417,12187,7401,13211,6648
3,2517,7473,13717,4351,13500,18871,18974,4940,1184,5087,11777,19157
4,1375,17909,14708,12453,2156,14327,6428,5510,986,17010,7723,3473
5,2851,7119,13957,9541,9333,5195,3385,1385,12229,10082,10538,19485
6,14741,14488,10464,13555,10133,12694,18463,9071,5261,10430,4601,10847
7,14406,11039,16522,14869,4532,16124,347,12182,9564,9427,2283,6350
8,14906,19919,210,4430,7690,1667,6306,18032,11402,2437,7279,15840
9,15629,4441,10658,18383,12994,17676,12271,8170,9210,18285,17682,154
10,220,11182,15764,18816,5104,4225,5199,273,10092,14512,8053,5443
11,6291,18419,3820,5294,769,1031,5675,5113,11708,3241,13173,7667
12,11987,2070,19057,11864,129,6022,13747,17590,10206,1379,8820,6679
13,11176,13459,7207,19420,891,3742,7720,13827,10866,19016,13574,3740
14,15698,1409,2551,17311,15201,11183,3821,19835,18776,18173,18358,1099
15,8704,9290,6074,9663,11790,10781,18942,13261,946,7313,15142,11960
16,9511,3741,15637,14288,14625,11290,13817,2897,5607,18514,3754,11175
17,18911,9124,18482,6265,18755,14324,15276,4928,5864,19783,3709,17818
18,10299,8653,15349,2373,3837,10869,15508,5876,3846,3133,11914,1051
19,782,13473,1029,13382,1239,10331,15587,4579,13705,3723,13744,8258
20,9923,8291,9591,18545,403,1996,15649,2935,1190,14483,7845,11950
21,12332,12809,18038,4383,13930,8205,13489,17056,12671,3181,12193,5626
22,288,5008,6445,18171,12070,17803,18288,19483,13867,17438,2974,19699
23,7279,4359,9903,19195,16848,8959,6205,4991,7577,2255,10928,3273
24,14808,11957,8578,1201,6934,18042,15625,18914,101,343,13097,16448
25,14988,16208,15708,15619,1392,15734,435,13718,10880,2362,5936,3917
26,1130,16490,7226,18700,10569,8150,11893,683,2675,8514,5678,13571
27,19177,13772,14883,9359,605,8989,3433,11071,12661,6751,7915,5869
28,17135,9202,16175,18110,1135,4692,3880,18974,2051,17098,19212,18293
29,7865,18953,14476,1303,2341,4408,19598,2258,8757,13062,17997,18234
30,2117,7350,17963,6256,14285,11165,2376,8948,16961,18909,3578,14576
31,1526,2730,3586,16380,8433,2796,7688,9319,5082,11026,322,6646
32,3154,3850,17624,3187,8331,12377,1064,12748,15480,16627,12492,3200
33,4704,17930,17927,12947,17993,19285,3291,7766,491,2003,742,8584
34,17840,11194,5354,10238,1070,1640,2654,13092,19369,4192,6233,4919
35,9163,3448,941,10531,14922,10728,7983,11428,18202,9819,295,16538
36,1871,15776,13885,5026,7361,17315,4924,12774,3995,2925,9721,19304
37,2495,1868,3497,19709,13612,1071,19215,16583,16259,10442,11268,8702
38,8750,3478,332,18260,3039,3860,2790,7303,9797,15414,9593,7562
39,13191,9813,15394,5195,2877,2719,9335,2268,12531,14248,3619,19613
40,928,18922,10895,14442,4307,2056,13194,855,16241,3084,17993,3385
41,13603,19177,3715,5870,6651,15462,2980,9233,16583,11535,6401,12757
42,14293,258,17173,8304,17117,14586,13532,1098,13920,15041,13742,14500
43,8830,15357,1699,3126,12247,9951,6969,17506,8190,4270,5640,1577
44,11689,2263,10176,14299,4040,18504,7194,11904,19800,18860,7673,1140
45,4793,13561,18413,11441,17267,8586,1456,8232,18024,4138,13023,16930
46,10459,1207,19139,7025,18260,7478,12453,9656,15953,14911,17675,8159
47,3389,15896,5171,2758,1401,9219,10760,8544,6825,17631,15501,10442
48,1826,8340,8125,11752,18638,9999,18436,16942,17344,9072,4683,18699
49,6016,11607,14032,19870,452,17752,5476,3271,18894,15070,1447,8460
50,16372,19008,13154,8540,2357,7847,12554,12415,10699,12046,5076,4483
51,17657,3770,6191,9941,18688,13384,5963,9250,2051,7223,15923,17785
52,3546,8042,15509,18955,5768,9477,9684,10208,11608,4381,11731,15969
53,16338,14569,7792,18338,4214,5148,2636,1168,14880,3749,15838,3040
54,17843,16781,19615,19555,3178,14205,711,17201,14431,10342,4278,14940
55,4859,8252,729,4129,18797,12594,8129,8245,2178,4900,2989,5451
56,15503,3111,16469,1485,4482,13989,13411,7350,19545,18165,877,18256
