"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015"
1,12825,15567,12469,11354,14924,11882,14805,4378,6251,15228,14162,774,13280,10395,14770
2,18858,16293,5070,4214,2516,11965,7669,12378,11685,15496,9247,12394,12784,525,10570
3,7160,13637,12588,2123,1043,3467,19656,15410,17483,18825,13027,5369,10815,12876,1588
4,13639,17797,10486,15347,18846,13554,12082,19622,6246,13263,10781,18852,10800,5514,8814
5,8290,2991,11434,3260,16382,313,5759,18372,15205,7582,6053,2099,11109,14028,9420
6,434,6421,5521,14459,13606,10669,4248,3831,19923,3423,12127,18124,14542,10543,11223
7,11787,17377,11277,905,11172,16079,8565,17490,12306,11978,17908,2212,18711,18811,16443
8,450,7235,7411,7825,17390,10900,8264,951,1117,17415,1827,4639,14967,9727,14309
9,19742,5417,12192,763,7427,3066,9360,19830,8610,19233,11655,771,14480,17496,8923
10,4707,339,3893,12395,3752,7539,12347,7333,11618,6057,6285,13009,9315,687,9819
11,2281,15352,3620,2373,5862,5204,3746,11241,100,3274,18497,2632,15219,19121,6150
12,8042,10644,11811,18821,12884,13097,12440,2980,19306,2433,11349,14001,17960,14980,2252
13,18973,17625,16085,15866,15957,13590,19049,9175,16133,9795,5754,3305,17480,6913,14604
14,5447,1785,1246,11544,15081,5369,3866,3841,18817,4231,2436,15655,19109,3741,8080
15,1755,16364,18092,19593,17226,15095,1049,17975,13055,981,16437,2743,12445,1352,10467
16,7982,19457,6396,7380,7513,7457,13134,11657,1568,11405,10237,6914,9990,12722,17351
17,10362,16670,5961,4690,1766,10215,12994,13968,18153,15426,5711,9065,176,16845,12198
18,15779,6215,6232,8049,8931,12497,15169,16730,18607,9201,15182,15277,8465,11241,9491
19,17819,2874,1943,10347,631,18183,6965,11563,5936,2022,7750,17095,16784,3070,18346
20,19571,4142,19495,1581,17422,12335,13422,3588,3408,16102,1509,9787,7263,14635,343
