"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014"
1,2335,816,12007,13633,7387,12672,9309,9090,1120,9567,16091,3350,14418,8957
2,10397,17949,12448,7319,10388,7385,1433,17115,12121,18196,1596,5355,1639,2760
3,10071,12967,10387,1086,19279,1879,5187,7977,18655,3949,19706,13557,12470,14127
4,10429,3496,16709,14815,14826,17541,16160,15310,15173,4382,3337,15208,2567,15989
5,901,7704,14912,3951,1068,3816,4618,922,4043,15886,17743,14152,8054,18276
6,15280,7208,7384,11523,3429,11909,625,14087,587,19657,10642,15709,498,8543
7,10362,14850,10258,19891,441,19080,3175,10583,7802,10091,15354,10278,20000,14373
8,14242,13299,6007,18976,1009,7538,17832,13900,4685,16820,2360,276,4152,2477
9,14962,2704,10749,5155,7433,15125,13126,174,2196,409,12608,5391,3698,18201
10,15086,5429,5540,9290,1338,2852,4520,3080,18393,15917,14478,4487,18066,12567
11,18430,10082,5953,603,9610,4584,16469,6477,8414,18143,4514,5708,19188,7998
12,4470,15092,7562,10923,8899,16343,8789,4018,8061,13273,15272,2100,7575,11203
13,18560,12829,7750,2123,1940,8021,7174,9350,19726,8843,9446,8508,11859,1759
14,15275,13496,18790,11918,7303,4977,12209,11808,6007,15705,9391,10675,13500,19976
15,19212,11266,19714,3065,7326,8172,18126,12564,15146,131,1063,14490,8012,11173
16,18487,9402,8454,9684,18277,8718,8951,1937,911,15343,10944,13354,5178,16052
17,13890,6864,17681,13092,14768,1198,1387,19447,10040,1431,10256,7927,18377,2622
18,16647,5838,11893,19213,19982,6781,7399,11331,3013,1263,8459,459,18090,16607
19,5012,11195,16401,6806,8309,7347,15219,12881,2883,6973,15937,18728,5787,3233
20,17692,792,7466,15581,3688,12818,2895,18342,11567,7860,4946,947,1651,15509
21,7834,5712,1086,5262,10611,18810,10122,8883,17569,5836,10695,10664,18763,451
22,9310,4648,14839,2752,9548,770,19184,2847,19264,3803,5254,18622,8314,15982
23,5378,14158,19252,14223,12720,13585,10057,8279,11211,14099,19885,3259,9869,6751
