"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015","sim_016","sim_017","sim_018"
1,5558,12974,1374,4542,16659,15268,9723,9628,8415,2226,14995,4564,12791,350,8860,794,4330,19570
2,867,3072,473,12185,7947,13758,15438,7795,19163,12910,1006,17140,7267,16799,9131,8030,5824,6367
3,3815,13614,8771,12978,3721,803,1678,18305,6674,5878,5605,1246,3828,11486,14173,632,17873,13424
4,7930,2641,4169,14700,12170,7814,8338,18847,8108,19500,11771,7323,10346,13546,17412,15977,16615,4700
5,16990,992,3918,1749,5265,18668,17471,5120,2357,15212,12806,17850,19284,14767,19748,10071,18188,3956
6,16401,17527,9310,5893,18359,6409,6790,6750,3419,12218,14344,4473,11042,18567,4563,18712,4613,4546
7,11692,4522,1656,11005,8547,13066,2404,13037,287,15885,12344,14895,4903,13516,9534,14322,15951,19965
8,14261,18517,3814,14565,4037,5171,11112,2244,2184,8122,2177,16800,1179,6806,12365,10099,7891,4642
9,12766,16064,17426,12313,7488,11055,8137,12023,12015,5714,3691,18339,3990,13007,1756,6487,15336,19221
10,4827,4361,3858,10970,9131,10019,7813,15709,839,5241,5388,13376,12580,2768,10150,3287,12509,1194
11,5750,7044,3728,3268,7258,17819,16804,13204,9479,15095,19218,10508,5667,19658,2229,9454,5408,1422
12,14586,16850,12263,19733,19506,8814,3930,11401,11359,888,2456,1970,1468,284,19899,14329,6781,4619
13,17512,2752,13932,3218,17776,675,6623,11899,10798,17225,677,16436,5877,19516,13285,6243,12471,12371
14,16082,11513,6970,14018,5713,12869,7752,8841,433,18306,1129,16550,19387,2531,18355,7353,12377,15348
15,2693,13689,1404,16559,2338,14014,2323,13149,15263,19474,4751,13922,19236,3850,16574,2309,9791,9139
16,2519,8440,3668,14472,15539,1158,13524,18159,4866,13076,10595,16799,9218,1447,5261,3445,3416,860
17,3754,804,2756,12616,11741,5620,776,17359,13254,15792,18724,10756,16531,9437,3457,4531,8524,17964
18,942,13466,7083,7852,2610,2133,1376,1166,10848,8193,11461,13440,12521,16810,7488,13887,8670,5986
19,1721,4202,2358,12126,9600,3064,3353,18406,12955,6300,13322,9816,8671,11252,18481,13289,11433,12897
20,7266,17949,10503,19109,3353,417,11402,13579,15158,11693,13706,1742,2700,11636,13482,2633,9875,18589
21,13386,18706,13574,2963,5442,6821,17001,14986,4687,18938,13732,8680,9259,13556,15350,16268,3714,621
22,17381,18048,7822,15589,15848,16672,13783,18502,7445,9776,777,2214,17679,3916,3245,17620,2133,7181
23,2046,7650,19357,13828,4073,8680,5109,4760,18619,7585,539,1698,9893,3651,11816,13953,18852,17739
24,2467,9964,14971,5403,8896,19926,3757,4403,19678,2090,15771,19620,14509,1663,4674,6795,17703,14876
25,16712,19687,14910,1868,18826,4901,18420,15676,11193,18358,7109,11954,11741,13700,14913,13142,3145,6021
26,14588,7948,11426,8377,16183,4714,11584,6993,3963,8216,3578,928,15198,16781,14735,18603,2242,16586
27,2188,12757,11590,11765,9425,15783,8730,19004,14852,4834,16028,8889,12308,11730,7191,7497,16668,19945
28,3222,7560,8893,3557,8494,18866,2134,5147,13061,17517,14207,15452,5601,18450,9693,7620,243,7232
29,10577,8336,15171,11171,18239,13891,4032,18459,13806,16764,7292,694,6922,11870,12289,5838,11400,965
30,18719,6485,18691,2817,4432,16426,1208,19839,10356,6737,18215,2084,17087,12764,13472,4906,2012,15263
31,791,13227,16374,15680,11311,8132,19974,12592,15357,18480,14393,19527,7017,188,17625,5191,3163,12915
32,5194,6256,1187,15971,9313,17300,7333,18103,7918,17776,6471,14922,18418,19540,10732,13330,2599,13942
33,17620,18493,6862,3143,19738,7321,14881,4700,18185,13814,284,6428,7955,8965,18806,18948,13820,17169
34,9740,19211,9654,12959,7434,11205,2087,4247,7466,8951,5557,3316,598,10197,5339,12392,4471,13085
35,6206,10343,12856,16611,1553,18093,19611,14785,19610,14522,1235,10484,11237,18067,5481,16977,876,15258
36,7270,16179,4806,4967,9922,7277,14984,1310,10281,9304,18851,611,17901,6653,19330,14309,8316,3252
37,10604,4562,1261,1714,17166,14075,772,1669,9183,4672,10223,10136,13761,4644,9678,199,393,12260
38,1794,10045,7971,17423,7949,10533,19586,1585,19443,14133,18411,744,11474,12208,1078,4819,10225,7912
39,19985,5198,4757,3819,11958,16109,12178,16115,4713,18894,10233,6466,4336,19201,13403,16901,1356,17004
