"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012"
1,11362,8825,10488,16157,2031,2553,5789,1429,12203,18897,6707,17498
2,4437,9485,16704,7439,7188,3389,2144,9904,10615,14336,14166,13050
3,6149,12963,7030,8588,13688,15924,12206,5715,6239,5047,5740,5148
4,7228,10579,7884,16951,17027,15087,12745,7412,11134,17021,10966,6105
5,13666,2319,4881,5323,6976,1590,4402,19299,14210,17833,111,1181
6,17798,17345,14759,8057,17488,280,11803,7612,15323,5555,19991,8612
7,16059,13449,4195,8304,18326,3662,4120,14093,17755,19207,11657,6764
8,8906,9531,12518,9575,10263,12967,17838,11428,18384,10210,17984,11660
9,7170,8523,16186,11406,7010,10827,6184,13892,2636,18859,3635,4394
10,8277,9576,17173,1217,8036,11628,10009,11025,1698,9464,5448,17790
11,11298,2234,12240,13178,14974,11394,1441,12264,10249,2948,1834,10588
12,6030,6469,15578,2808,5313,14508,14647,4982,13884,4753,2454,19035
13,11647,15305,16244,3987,19353,12912,7929,8205,16911,13949,502,1087
14,3965,19816,6241,19677,8173,6290,15856,2551,1070,2705,18308,18854
15,5170,185,15507,10340,12680,6550,1204,17367,16245,18207,14727,7954
16,18136,19116,10283,7067,6423,5210,4109,1405,17398,15501,12008,19344
17,3359,18682,6310,13575,4441,4749,9250,19419,18162,5489,6488,7191
18,19779,2198,5637,12321,8930,3028,5365,2827,2107,2335,13993,4622
19,10628,5661,5555,5613,14623,10766,9040,17169,5917,13093,11026,7624
20,16702,2721,5727,1131,19112,5892,967,10684,1407,956,1709,3262
21,14001,3998,4958,14084,16887,9028,9080,11953,6705,713,12862,19850
22,14471,5636,18952,5919,19658,2052,7644,17617,13693,3580,11577,17007
23,943,17501,6172,5357,9589,18207,11995,14623,1101,18198,4506,4985
24,5985,6058,9485,9405,12622,18329,152,17423,14921,6318,2478,19864
25,7999,3795,19506,4365,1924,18390,1683,13920,1238,17711,3950,5744
26,10798,6953,5244,2846,11956,16017,12694,14576,5317,18135,325,637
27,14628,1553,19438,10086,18177,19936,19793,3040,12989,18464,16679,2270
28,18159,15979,918,1777,11600,12506,12788,8577,12136,7751,2457,11902
29,19184,13913,10633,7918,1251,11601,355,18032,1592,533,13181,19964
30,16960,3706,7358,7209,14746,1371,19464,9375,12499,12507,14615,19635
31,18189,3692,4168,13989,15377,1116,13685,2866,1893,18018,15539,9516
32,15056,18684,16648,5932,13911,18482,3765,11684,6438,6508,1986,7794
33,16446,5986,9173,13144,19393,5284,10859,17004,7873,14389,14829,19962
34,6791,17567,18903,6676,9622,18930,6080,252,15699,2992,4259,842
35,4723,10498,12686,10668,17004,19930,14960,19023,18304,7133,1076,4179
36,14990,16537,14840,4403,15699,18952,10431,13603,3287,16453,18008,18972
37,7837,13865,6747,12244,14531,14628,6607,19229,16732,3579,18169,1355
38,8049,11330,4098,16626,11891,9282,6972,12386,10607,3855,8575,690
