"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015"
1,1230,17734,17263,6414,396,231,12875,15747,18166,14187,11126,11056,13037,9613,4752
2,5934,4397,14272,13864,6765,16087,8120,2779,16931,1733,4447,5669,16467,8121,15913
3,6963,11686,8996,6417,5579,13597,9308,19078,12688,2257,11350,17467,10687,9330,488
4,7737,1740,14360,9258,4610,16481,8353,14281,6347,3634,10688,18904,15736,5310,1445
5,13961,608,9890,15756,14590,16747,15551,11083,3880,4640,1382,11858,12679,12713,6720
6,19763,11347,18713,15684,15856,3205,9974,7650,1267,3271,1425,3247,4144,18837,594
7,6618,1658,5205,4928,217,1901,10639,15170,5524,2036,11876,18449,2273,12926,10833
8,4437,15307,18735,3521,3922,3680,13689,1111,16322,9721,6376,11494,18783,10150,8349
9,16607,12576,7327,3140,15057,11373,9694,6263,3376,4269,9454,10253,10061,1881,13641
10,15185,18736,14469,16156,226,10459,2213,7189,7973,6681,2905,9018,5608,3211,7849
11,16734,8426,9400,1473,16611,15154,6629,5445,3889,13847,10612,7323,14292,4307,6008
12,10570,1755,13939,11851,7907,18359,18978,10820,8087,4613,489,8598,17087,8503,6529
13,15922,17011,18220,15127,858,17477,1808,10950,4897,7588,8135,9550,8074,8741,5937
14,2856,4579,18789,18955,16834,5245,8577,11326,5439,17060,473,8065,18887,3813,6756
15,4137,7807,19241,3578,15606,15963,3533,1033,1599,6588,16657,17138,6561,7429,14819
16,1475,15142,5967,10981,16651,2639,7706,18926,15764,7205,6280,1287,6889,15228,16697
17,3040,7673,13916,4096,15645,16424,15617,14028,16508,6801,2248,379,601,19188,2467
18,17126,5246,6649,527,4316,14583,12255,8826,1422,2069,16374,16312,10106,5110,11337
19,19158,13807,2907,19141,2230,15523,4954,11016,19531,19423,6216,15474,11605,14342,3022
20,17597,19270,8010,13534,11007,16612,15174,11345,13512,2579,1174,9194,17897,1692,4309
21,16767,5997,4592,16125,14605,4054,16948,11794,18393,7267,16439,5024,9762,14076,17712
22,9721,5888,8212,6503,16153,13340,9613,3958,2568,2379,17417,10262,1164,17171,6502
23,12150,10661,15044,13567,3755,2773,528,14350,649,14424,9995,2214,15052,1651,7506
24,14229,13946,4807,5050,11821,2772,7249,7752,18945,5097,7401,9969,5166,2853,1338
25,8938,8266,12633,8744,13749,2046,8710,10029,768,12060,490,18502,18482,5898,2368
26,10407,19822,3255,482,8930,15208,6219,11164,15886,3564,10536,14975,6085,187,11102
27,2248,15699,14780,462,12421,7387,16429,1569,14082,1626,3103,16321,5141,1541,12893
28,4342,9711,16435,8602,16867,12388,5976,14463,6281,3445,14419,6827,11746,5136,14002
29,8750,17883,3602,1455,9581,15229,8015,15809,7884,13354,11131,7757,15373,17348,8380
30,1056,13254,924,1921,2073,3214,11219,16192,10425,16602,18071,19395,14131,10577,18252
31,13481,3618,18148,16356,8342,13363,1095,14350,2221,14043,17103,19143,11469,16503,2156
32,18664,9580,11454,17494,6187,4021,13555,13520,16896,15859,6484,18162,16463,9575,16546
33,11783,5987,5402,14298,6166,6798,5289,5807,18424,2897,3204,16460,1789,10344,18909
34,3874,13798,8043,6928,17849,11906,18971,14638,5209,3925,10469,6340,5074,10420,14704
35,9296,6100,2285,9785,11802,6396,18556,11895,1628,1891,4182,6435,4564,15028,11274
36,6613,407,7710,5055,4163,5359,16826,12441,17572,15487,9158,7352,15376,17591,10806
37,5117,16753,13702,3463,5903,19149,14619,5346,7480,18573,7937,17341,17907,591,8770
38,2058,3945,3726,13645,9785,7997,6688,18268,5216,18648,6855,233,8846,305,10844
39,3991,16104,12669,6559,16289,12688,14196,1271,8420,16705,13156,1890,8184,5271,5768
40,3065,4237,18942,13532,893,3687,17948,14288,1156,8750,17911,3695,11073,12891,14441
41,10738,18314,16761,13325,3772,12139,2771,2404,17677,968,15570,6385,2072,14311,1628
42,6876,17181,7713,458,19317,18225,591,11634,14224,7726,14664,13703,5808,4420,4438
43,154,5027,5558,15737,13103,8144,17096,14617,11493,15173,1724,17720,7763,16304,8303
44,5983,504,17949,7947,16722,1185,10049,13770,4315,18628,14230,1209,18819,4237,9371
45,5236,5336,13465,955,2353,5632,11885,6026,11523,5887,11740,1785,17418,3005,10085
46,14829,16479,14416,11441,4015,12888,192,11106,14029,17351,9790,12422,15050,18958,5099
47,16781,9973,14982,3988,3940,17940,1126,7886,14695,5749,9690,17388,10026,12360,14869
48,19277,12388,9971,7655,18888,9402,2675,2720,8729,15023,2467,12298,1547,12819,17427
49,7948,9108,13606,15563,16853,1539,18439,17539,7739,11189,18238,13521,8148,9812,8079
