"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010"
1,7050,16012,4971,6895,16242,14222,13797,15067,1445,6197
2,15107,16379,19089,10544,5285,8091,12321,4061,17683,2730
3,8683,877,18693,11581,11166,11024,11969,16976,11621,10240
4,10993,15740,17095,1117,9729,3553,10577,17516,18261,4875
5,17504,7299,18583,17692,10317,6550,1149,8340,19586,14911
6,4997,1346,18633,798,17772,8555,16748,2135,275,8409
7,4895,14382,7686,5270,6880,4333,15490,16680,19899,8754
8,11848,960,5808,5175,14470,13237,8802,15558,1918,11988
9,18512,5656,15439,2955,19653,12876,19276,7309,15679,17756
10,13073,19979,12407,5332,418,13201,6350,13400,13652,8649
11,13653,7935,8628,8661,6426,12649,3275,18922,297,4167
12,8096,1316,5596,10163,8656,3230,2623,1620,4430,10676
13,17181,15455,2806,17936,14060,4317,12014,18008,8397,6370
14,919,4118,17403,4064,3356,5457,3291,10298,17882,10815
15,3221,9712,11146,14027,16102,12975,13637,10371,7342,12284
16,8726,5444,10268,9223,16138,12819,5636,8843,3586,9019
17,2036,12766,14402,9920,8000,13312,13538,12773,19645,5765
18,9498,284,10634,7989,14442,13859,879,19097,12093,14103
19,16852,18857,1106,14543,2356,16348,13623,10601,7928,13531
20,7356,18765,13208,9515,1480,16481,3983,15421,4116,14072
21,1472,5672,7614,11206,19656,3320,352,9142,16650,2963
22,13821,7861,6688,19062,14222,3529,9516,2437,9740,6527
23,16074,4362,3030,13669,535,2809,1389,16573,197,12336
24,2268,8830,8471,16963,9952,6708,9074,1141,14775,13333
25,7415,3915,18563,17891,10344,963,9931,1717,311,5109
26,16199,16975,16017,6403,17687,518,3154,8303,10983,357
27,16907,457,10500,8631,5074,14466,2914,8038,10587,5538
28,7753,2968,2453,14956,16969,17049,9343,14322,4724,3081
29,5772,14909,8790,7131,18930,4664,6157,11342,2063,7191
30,5761,8659,6257,4553,8368,4941,5550,15485,2004,4565
31,17586,6595,3287,5132,17769,14636,1604,448,10545,16177
32,11702,18088,6600,5180,18882,14916,15049,13276,9789,6434
33,6274,18598,16043,17931,5786,857,7328,3718,7496,7275
34,13753,3380,15496,14139,5724,19409,7427,14219,11149,366
35,2893,3576,4481,2013,5887,11962,19792,3123,19424,19162
36,17522,11424,9445,9943,4672,19016,1807,5969,8401,15977
37,1386,12851,15863,16708,8759,19974,3232,7315,10234,3702
38,16811,13994,16103,2301,12127,236,4049,1306,2261,4674
39,9074,1862,6511,17213,3399,9311,12932,6898,6371,13593
40,1876,19465,7209,19055,14519,17637,3664,11317,331,10386
41,2033,6506,5768,12622,14723,9613,6611,8401,10589,4330
42,2837,1390,1893,13931,12050,1330,19020,14036,19583,18908
