"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013"
1,13238,13739,3794,10653,10421,15782,17674,18926,3518,17549,6880,19096,2633
2,5075,6120,16319,7981,6732,5563,8997,9130,9775,3453,17539,519,16118
3,8930,16743,19450,10056,1528,18032,17576,3308,17577,4380,2303,9698,13438
4,18478,1226,1569,17444,9508,14563,3125,14960,19960,14676,9277,1315,12951
5,7125,1985,10523,18842,1289,18788,11524,16445,10785,8315,8239,9374,11678
6,4627,9029,19628,6197,17160,10425,8541,16264,9179,19736,12577,13927,15983
7,15265,322,15106,19687,12500,16151,11578,19870,19814,18021,7436,5962,8617
8,10023,7372,15725,16756,15607,16195,7684,17986,9371,1526,7208,1023,15213
9,13442,16278,6459,865,17390,3861,3330,10982,18279,15370,6679,15172,8078
10,6388,165,7421,121,10595,9067,685,6751,9668,12376,10958,1633,13998
11,3173,5321,7599,14552,16680,13612,14952,19109,14545,12060,10913,2426,6238
12,477,10687,17116,2705,16860,13941,3604,6349,5611,6211,12789,5614,11665
13,7950,6773,19862,8884,6335,7233,11184,14548,5572,12085,7155,7765,12281
14,2989,16775,15086,1201,1579,2462,10557,19047,12527,10624,7929,12651,17562
15,2486,8020,338,15878,2204,12790,6656,19272,3943,2070,1383,2698,11253
16,13063,18900,6683,7886,11884,8527,5608,7191,19381,7812,3929,11381,11011
17,15854,326,246,15128,4668,13527,14663,13536,8334,12312,16023,13429,5163
18,8307,16069,13132,1479,14877,10676,5384,10797,6108,1290,4192,17946,1258
19,16174,18595,9871,7629,13728,3122,8420,15257,4530,13353,13279,1174,19581
20,13172,14441,19453,12252,12270,1249,4035,15266,8625,16932,11367,12266,7266
21,14135,17632,7201,17149,13072,10696,8542,12155,14811,12676,2351,18842,10509
22,3914,11739,17996,3684,16555,305,19586,5564,13672,1310,19812,9713,5595
23,1867,14734,13492,9854,19138,6992,19678,5155,13363,8551,18882,10056,2716
24,11525,2154,5730,10086,10178,356,18897,16249,19986,2526,11729,15470,7347
25,12872,13091,15467,19485,14743,6500,4926,7400,3908,6184,2285,10466,11459
26,1188,18590,18245,1951,16549,6146,5875,11473,18752,14453,5839,7969,3735
27,18254,12488,2979,18591,693,7284,18235,10709,6606,6675,1476,3346,14096
28,14826,1427,9545,12471,5651,16532,10115,18080,12850,19056,15520,9145,4721
29,13980,14799,15340,12107,14946,7752,8908,11367,16010,11529,15333,1230,10917
30,16030,12397,6509,5284,11572,1095,12960,7317,19180,10396,2412,10781,13205
31,5315,5514,12190,1351,15437,6263,11306,9292,5598,14485,11600,4862,17222
32,18813,6860,15966,17471,5475,17863,3255,6448,8326,14272,15770,2589,12822
33,164,12450,16957,2045,7543,18566,13825,10931,4391,18587,14518,9321,12134
34,16508,1039,15404,11716,8115,9656,5675,14236,2878,19595,10730,13979,10768
35,18228,12188,235,19777,19499,372,9948,13013,12299,16988,2502,16010,162
36,3935,4548,14047,4309,18379,17710,2321,7528,13471,4948,4740,7137,3487
37,11978,8106,1431,431,19144,10574,15531,13764,3431,19135,15541,15537,13695
38,19657,4866,12690,8412,19630,9638,9027,18876,12807,7477,8965,12095,12217
39,575,4373,221,7013,1965,7973,17006,4404,1738,10553,2243,7100,4784
40,13049,18376,655,14150,9399,2846,18714,4342,15982,8536,15279,15431,8230
41,19624,5720,2684,19462,18144,14647,6373,914,16916,8636,10908,18594,5877
42,19819,7509,7537,18546,17603,11737,16033,8731,17790,11552,6575,19209,18946
43,2279,3388,8101,10126,9691,4533,4667,18958,16190,8421,12877,12903,14710
44,2627,8287,19701,15485,19999,9205,6466,17567,16658,18179,4291,8477,15053
45,12712,12241,13109,13843,10235,2387,8455,3430,4966,13971,8275,17316,12277
46,8340,12730,7173,12368,363,798,6303,9142,10295,14149,12320,15401,19756
47,13723,12086,15397,12369,155,5174,17132,2466,4543,12145,7687,8682,8706
