"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013"
1,9669,4354,13093,12147,10928,6229,13900,4576,12542,19248,12418,5677,14236
2,16541,7820,240,19067,16423,9645,17667,10865,18607,14168,5199,6245,19171
3,15674,2566,1235,8125,9533,1734,8845,5798,5498,14223,10716,5603,10258
4,14218,12059,14447,3507,8174,7432,9114,12797,1225,6114,14048,6376,16728
5,546,718,1282,8626,5200,16524,15435,3443,8909,2183,19700,3142,9906
6,12062,11075,3344,16770,17036,9947,19851,19391,14108,3604,3136,4092,6285
7,2693,1868,13468,2060,14143,14044,3282,14760,15620,264,7671,5849,3238
8,2983,2469,14534,6518,3333,12475,12146,381,8138,3507,443,4241,6858
9,18597,16328,4339,1029,3086,1444,5726,16577,19711,15479,18988,6162,15919
10,489,10180,693,1565,10393,9760,14629,14836,11828,6444,17649,262,8405
11,12377,15440,18295,5565,9111,5973,11304,9906,16343,224,308,16688,2545
12,9155,14011,14906,12464,3738,2374,19585,5494,1967,1242,3938,4763,8305
13,11116,9428,16026,17503,9090,17365,4067,9633,5982,12675,19510,19813,8661
14,7878,12443,6153,1150,16650,17118,1634,15717,10040,15381,6318,6951,14821
15,3450,18410,10757,131,7404,16063,2102,980,11554,14786,11049,3727,3834
16,3670,816,12908,11900,11996,3503,15485,4616,13633,9204,6194,18107,5192
17,15906,3527,2735,17894,15320,10543,16292,14441,7259,18150,13530,16572,17887
18,17210,10871,19235,19890,6849,18691,3781,7747,18810,11880,14980,1175,5425
19,6363,7785,14771,9749,10614,18000,4580,7783,9895,17060,15771,15188,15868
20,679,19963,8522,4193,19735,19374,19655,8399,2690,4221,15185,18265,17134
21,18390,12562,14003,17100,3702,16346,17931,12527,1195,17634,7067,11569,6179
22,5707,13763,11656,15039,7966,7241,4740,8835,11379,16890,18807,2547,3476
23,3806,11546,15512,7919,15672,12683,11000,12806,7318,18286,17159,16388,13943
24,6365,7087,6805,14298,13841,10198,12874,1270,2969,7064,1193,16975,8755
25,9809,15955,11749,9977,16520,16357,19580,17162,19432,2672,6184,201,9334
26,12170,13903,280,4511,16142,18570,15703,7318,18941,19992,6880,5088,4797
27,5176,5546,18062,12042,2908,10600,12554,5327,9023,4455,2360,642,17810
28,18498,6706,2978,7467,18380,1634,945,15649,19073,1615,15803,5707,13481
29,17211,13527,12685,2161,15128,16367,1275,5290,17117,10031,13875,12375,12562
30,7454,18810,17274,15019,7358,8083,8169,10570,11465,15117,8424,7979,2804
31,1157,3201,13382,19722,8698,3672,8517,18977,12659,13784,15357,686,8150
32,12179,6033,4104,571,15172,1612,2479,8287,1427,11140,19634,15155,13032
33,19141,7746,13625,14748,1317,16906,13129,19681,6031,14497,8849,14120,6747
34,3382,15612,19713,3548,4379,16404,16662,10096,8616,8224,14015,10233,8573
35,6710,15756,13764,16544,15724,19152,12389,16373,17306,2266,8058,5036,128
36,18288,16633,12060,710,9911,6765,4144,5505,12490,15300,8088,273,6817
37,14948,14116,876,159,1778,2200,6038,11361,3158,5712,1860,18023,4617
38,3674,5663,2241,9542,10454,5870,990,735,16084,8324,17466,2148,2264
