"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015"
1,17501,16553,8652,9309,7877,11813,17284,11645,19821,11439,11040,15653,8999,7347,3125
2,1592,5382,16069,14198,3557,11286,5069,402,17788,15888,17198,16379,7433,12922,684
3,15698,1705,6038,3549,17056,120,13971,10770,16399,15876,12789,13241,13932,8680,9706
4,8851,8307,8172,11885,15788,17148,18440,10921,5486,4999,7375,15867,16015,5787,2436
5,971,5159,4475,19799,14486,6044,7834,3329,11726,17515,17233,7277,6960,14573,16317
6,17844,5556,15034,7836,5826,16947,14308,12553,15483,445,12657,17550,16604,130,8614
7,14655,1088,3419,11418,3207,3912,3984,9305,13421,4202,226,11126,18431,3383,9818
8,2093,1224,10906,16616,12210,18633,15795,8034,12587,15474,4254,17539,2651,4981,1370
9,8429,12764,7768,928,2671,2207,15456,768,4044,6645,1119,8977,4333,15498,18063
10,13174,15942,5504,13061,16228,13837,5965,19998,10237,13152,7084,7554,1977,16619,10032
11,17081,6229,4736,189,16384,13334,12400,4813,8509,739,17284,407,9960,14654,17154
12,8362,798,8316,7532,9994,12470,872,11651,1036,9070,19020,10198,9755,11210,7865
13,8488,10682,3881,7670,3559,14986,18773,14413,8092,8316,13585,7161,9201,18732,2896
14,10151,19712,19138,2325,19885,14538,18839,6463,18981,18988,12446,9873,15547,17438,18383
15,13172,3289,17842,2496,4210,2900,10767,11887,2215,11181,2405,17446,18240,11297,16681
16,16777,2041,11269,8229,9138,17478,2310,4142,13837,16721,7618,16804,17111,13931,14780
17,4032,16401,2889,18748,15558,2661,1234,18000,19899,11040,13095,19854,6299,2789,7799
18,18730,10900,6828,7720,13993,18391,1941,14705,16678,4851,8276,8616,11192,17716,7067
19,12023,1416,1713,3266,9249,4932,1944,17096,12702,5967,17109,12228,6019,16412,15004
20,14339,685,11879,733,18272,8099,5253,5163,1357,16580,19219,4646,13286,6370,2551
21,15747,19734,9520,6886,11848,14280,8918,9714,6814,18204,13005,14714,16524,11641,5274
22,200,6600,11507,3927,10618,12966,13790,7189,10746,1553,18498,9493,7193,15880,12049
23,17044,3174,14475,12294,18808,11926,2930,6346,18676,19233,18551,17561,18309,14839,14777
24,15699,10030,10808,8312,6600,9750,4634,18397,19376,16271,2412,16922,14882,15977,9598
25,13111,4274,8435,5222,11127,14611,11139,16379,5272,5349,19073,16640,210,4097,9231
26,6754,11322,17191,6220,18870,14769,6794,15353,13446,19137,11909,14937,17368,12920,19359
27,891,13249,5666,3375,12235,4148,11281,8419,18567,9973,6668,12728,8100,10215,12084
28,3096,3522,3728,10234,5084,14181,2236,815,9521,1934,17012,17456,4805,10688,1031
29,17091,19281,7573,6430,1596,13551,3831,5397,5490,2648,5701,5953,565,14892,15982
30,6891,13148,1750,848,7476,2716,10736,9137,10686,2428,11594,10899,11729,11018,8934
31,2370,5897,3319,13409,12522,11916,1782,11000,2097,8104,8904,19490,11672,1048,550
32,19775,10540,265,11776,15842,19237,16676,19296,12202,7208,12325,12480,2239,9353,17050
33,5697,18427,19558,16189,13838,13508,17961,16600,18825,2902,2683,4337,15807,14551,5015
34,13217,10818,9107,11677,9722,16395,12899,13777,12927,1745,17875,5531,7909,19254,6762
35,8524,9014,3461,10546,11635,13630,18395,3163,12870,13688,14511,15377,6393,3743,11902
36,19675,10710,5575,8903,14962,16169,16865,9024,16205,15672,5891,17606,14517,15311,6538
37,6370,7831,7018,2808,10279,1313,1795,8583,7232,2933,18443,7883,9087,5930,15386
38,4555,12803,11564,10867,7536,13049,9758,7362,9391,12180,4283,16900,3094,5260,9836
39,355,15494,6146,5901,18403,7738,6599,1810,4057,11902,8136,5371,13662,19955,5924
40,3477,10914,18880,15151,4598,2696,1114,3774,18527,13995,3956,2760,5830,16887,19708
41,3502,18557,10262,19063,1888,847,6887,14979,8962,12433,12566,556,12753,9643,11421
42,4235,17610,18777,5530,1621,17536,18137,8358,11416,6418,7447,16059,11600,18462,11888
43,1335,13170,18333,7310,9405,10235,6640,1665,18198,7384,11908,18813,19489,5967,9449
44,2324,13330,5503,18819,12163,11749,9702,17968,17106,7056,7294,8158,7520,5475,3826
45,9808,5354,2797,3211,11473,16554,16579,16133,14356,14707,4236,4977,16132,2063,17102
46,7013,18871,9246,11315,5651,15085,7617,14149,3401,15380,13072,11762,3891,9969,16435
47,10818,12695,8331,16955,5860,2592,12985,14215,2929,17489,10201,10781,7413,18014,8827
48,357,4866,8224,3656,19405,14722,8389,9341,833,4923,504,17753,7803,9382,13212
49,10208,8923,16227,8334,3549,13084,1874,17405,16088,2192,19502,2011,11066,8243,5542
50,6921,16275,19012,2421,18350,10528,5874,16973,138,16667,17727,5815,14930,17530,364
51,4554,19354,8872,18734,14487,1683,18212,5846,15187,11686,17288,19531,17325,12540,17894
52,799,9317,5022,7299,2687,17143,1320,6066,8537,5129,14796,18286,14942,14070,3608
53,17648,5893,13983,8444,824,17497,14479,9802,18240,600,18024,1155,14819,3904,359
54,1272,9108,17024,14686,17383,712,14666,4374,17500,15749,2499,4577,13780,1961,12657
55,11757,1906,9024,15232,6846,2081,13492,17472,3186,12960,1822,5935,14955,18133,566
56,14543,17885,5361,1852,8911,16270,2380,2924,4961,2041,17417,17728,13116,5281,2490
57,5410,17332,8088,19049,13736,11099,12286,19696,5529,2635,8912,1155,9011,7233,7800
58,12587,1957,9149,1706,4014,14840,6819,2576,1299,5789,550,1231,4975,6571,3611
59,6682,12350,3636,7713,19700,213,17056,16714,11962,4268,16600,1192,2034,10475,7191
60,4888,891,9738,17461,10398,12689,585,386,14974,1422,8239,5068,19651,14901,17950
61,5386,13175,19591,13130,4285,18972,5992,2709,899,15770,16292,4201,9617,16763,2957
62,2097,15149,10636,12348,8488,15483,5383,17478,13319,8799,9027,16256,1560,6221,18062
63,9188,1635,16335,3027,18813,9201,15071,2678,2971,11295,9548,12479,6931,5927,18631
64,17544,14191,794,10563,17513,14854,13365,19703,5383,5679,16489,3364,1484,15451,2676
65,11285,5528,13029,12173,2511,5334,10470,19434,14581,10938,6250,4099,13494,13342,11578
66,10106,11511,12447,14842,8057,13170,6515,7358,1685,19053,145,12382,358,10824,18529
67,12213,15589,3839,16639,3962,14482,4820,10920,18963,6249,7820,6219,16363,17809,4939
68,6557,5523,3249,7262,1229,2404,6630,18140,5867,1803,2366,7080,4521,15431,395
69,3834,8058,4462,4839,2960,5422,3222,1193,4460,13532,3300,17846,3011,12594,3859
70,2158,4666,7992,11565,19325,3171,4704,571,4281,12273,6084,11654,12927,9982,4155
71,1499,19080,8725,10511,15777,183,10483,17775,3103,5611,18168,15956,17212,11965,2598
72,14767,13141,18446,8632,6849,15370,8347,1664,5669,19440,18524,7171,14895,7561,19418
73,18677,16060,14832,19529,7576,324,8201,5051,4605,9330,14161,2677,16718,17064,15063
74,912,3372,8259,1577,8696,14968,16842,7489,5766,9539,10621,12615,2832,859,18000
75,2431,10851,13572,17710,11151,16670,1509,19777,13479,6257,4975,12489,6866,10873,16792
76,17680,9638,17647,6015,2761,5386,17647,11472,16305,1890,1721,12494,11551,3974,18063
77,19675,6859,10462,9224,17440,13679,10828,19937,9474,16992,11831,2338,12600,294,16621
78,12828,14302,4433,19369,1063,9357,15785,11982,613,2012,19453,750,6263,8125,16653
79,9802,7874,6433,3976,13392,8539,6111,11433,14695,1908,15904,227,5806,10263,4758
80,13147,19075,15728,11543,286,961,5867,4912,8892,4094,1235,12192,793,13178,1163
81,12141,7463,12707,5707,8036,1282,1026,16538,10471,1239,12814,8929,3433,18604,3343
82,10515,13503,18978,8515,12661,1741,13267,18404,12889,14367,5127,13676,7649,5718,5892
83,15762,5013,5733,16438,17368,4848,18265,4504,19704,128,13153,11926,19088,16545,12026
84,267,2809,19467,14745,7399,17720,11696,16911,7066,11666,17862,9942,14675,9560,854
85,15057,8116,11752,17340,6686,19946,11993,4862,1903,1317,9986,12253,18613,4444,5362
86,2672,12615,3808,299,3945,7035,14205,6086,4515,8004,14600,12115,16664,16624,17170
87,15512,19791,15289,12929,17195,8946,8158,12812,19357,14756,5738,4675,7247,7307,8950
88,13094,18826,905,2716,17160,3800,10799,13661,10305,1716,323,17849,13917,1652,11635
89,16370,9900,6793,5553,2144,5557,16987,946,17567,13456,813,2481,7744,11845,2189
90,1032,2307,6027,6653,19110,2121,8811,14777,10858,10921,15148,2918,13555,889,6387
91,15172,12003,12596,16183,8532,13395,10452,9595,8735,5659,3779,2244,10494,17777,17306
92,3735,1129,2827,8122,4097,18871,18899,18094,6152,5367,6414,2483,8014,1059,5990
93,2915,7005,1656,3774,8389,6716,783,19685,15952,15907,11456,5612,11430,4421,2852
94,5051,15299,131,1820,6351,196,12893,11813,4816,14629,13069,16163,4583,15580,2581
95,5355,11645,2759,19851,3203,3436,168,4380,14800,16393,15183,4808,16627,17944,10351
96,8959,2716,17540,13192,8936,1522,16153,3805,3522,19405,2263,14954,14114,15538,3125
