"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015","sim_016","sim_017","sim_018"
1,13953,9393,4703,7144,15092,2380,11212,5203,10235,4869,9176,10405,2709,18351,19724,13737,15050,957
2,6870,1453,18513,2680,12362,18356,5732,551,14549,18205,4976,17036,15058,14139,15939,17365,970,12620
3,12628,11086,4979,4129,817,5655,7039,19720,1314,4831,18940,9767,2456,3246,3032,933,8923,4206
4,14161,15298,9478,11839,9958,5902,4039,18975,12738,17586,12692,4057,14222,12578,15454,16445,188,12653
5,17366,9263,1371,16887,855,16462,2253,5918,8065,15690,9615,11084,8875,8703,17972,2509,10299,5111
6,3869,1143,1847,10207,169,7657,15804,2559,6855,6647,8744,6038,18684,15509,12833,16637,14782,2703
7,1112,15249,11856,6952,4744,4737,2123,10745,18248,6108,18608,17451,8393,103,7688,5086,17993,18791
8,10759,6924,2534,1740,18527,12715,4245,7520,15299,2498,18932,14700,13741,8436,5087,6464,18998,17291
9,1953,7264,4782,17251,7925,9013,18005,2852,2881,13555,19761,14400,1449,15599,19372,16247,18467,14435
10,19549,12892,5564,14450,3490,13936,16151,10959,228,19862,164,8795,533,12383,17049,11211,7530,19602
11,17423,3574,17745,14636,6108,7840,14970,19840,1136,9132,4074,1164,15148,5906,10435,19912,18999,4418
12,773,12793,18335,7554,14886,4573,11508,17897,12573,6100,6417,410,16762,5786,2469,8174,6029,1732
13,1830,2414,12566,16684,3377,18076,7769,6053,15426,4073,7147,10938,9179,15291,4723,18146,12751,13809
14,5619,11782,18759,14577,889,16082,14472,4568,10495,3715,16682,8602,14671,4038,5779,15594,6476,16999
15,5470,18181,9302,8348,16637,11810,16708,2648,15142,5593,17553,9631,6233,12747,733,10691,11880,17070
16,13914,9205,14737,19967,1408,13696,19426,3743,17794,12488,4706,13273,488,4714,8393,17892,2947,5399
17,466,15991,10407,16981,15180,8131,13449,927,918,17795,19141,8538,6443,3771,7464,11879,4305,2302
18,13988,19874,8850,14680,7815,7378,19087,18395,6437,365,1925,15765,255,9023,568,16851,18645,10596
19,19865,16723,6584,14937,18820,7833,1695,1011,5895,15037,5887,19740,14375,2052,3539,11294,13747,1705
20,12594,13899,18665,11267,11446,5596,4461,14795,18742,12485,940,16418,2586,16569,407,19754,4899,18812
21,8827,11622,10053,17810,11712,9508,17992,1784,18744,4612,14389,14711,8578,12682,3302,17476,8150,11506
22,9788,2023,10310,4994,15917,13960,9886,17312,16036,8449,9187,14755,10911,9722,10637,1100,878,17380
23,10982,1129,1916,7308,11101,8440,6314,3981,2206,8447,19408,18341,14441,19657,15228,12884,18265,12788
24,12337,1072,11269,11389,13171,19403,5424,14185,15905,18907,11917,8346,450,12724,2155,16168,3434,15952
25,3376,1874,2278,14254,18965,447,2558,8589,7531,13806,10876,15829,15154,16020,286,3523,6894,7778
26,12512,9062,15219,477,10876,1238,4297,10945,2636,1041,13701,7900,18646,13563,7570,7869,15101,2978
27,14661,3748,11057,3071,19844,4134,11628,165,8262,12563,11172,5160,8240,10366,6636,5782,12461,14240
28,8506,7846,10121,7349,9061,281,18285,1112,6922,11347,4380,18691,10925,8565,1422,1737,5132,6655
29,6663,9317,6028,4266,18657,9485,11100,9722,12606,11527,12348,6960,18107,13311,5636,5000,3125,6013
30,3918,2940,9946,15399,7197,15139,1227,12297,9990,13660,4559,5911,5853,15175,18951,5567,12090,8745
31,17724,8200,17246,214,3818,15263,9708,10353,2792,19094,8021,2146,1091,15517,6207,16461,11598,11288
32,17299,11284,14143,16839,16045,3611,4137,8897,6609,7793,9292,4789,7483,16980,10857,12637,1145,16857
33,15898,18352,10891,18612,8318,4271,9834,16783,15023,17106,9359,9083,4396,8902,8584,15991,3707,14442
34,4886,18916,9852,8463,10096,12203,5030,14197,4058,14662,9459,4015,1530,14959,11969,2465,14170,9952
35,902,10230,6414,2516,8712,3143,12832,13232,7222,18515,5234,16185,12231,10502,19648,15373,15195,2674
36,4733,12448,5985,19846,1616,13751,7692,3882,17439,8376,17314,14680,18506,13406,9046,2658,19137,11563
37,2697,19286,18613,16731,14038,12137,852,4472,17785,10818,13329,4565,13321,16367,13414,1740,15807,2077
38,13550,1143,19597,15733,17933,14219,15999,9448,5631,4548,19231,16013,2823,18621,13689,9569,971,11527
39,13773,8799,4858,10431,13608,13146,183,9296,8466,9676,12554,6783,3701,1255,17090,16546,3851,15073
40,15582,6936,1933,2791,18601,16825,18008,2115,9547,3386,16331,2132,12164,2865,9071,18528,10591,18417
41,732,14302,313,14009,4243,14875,2265,17337,1754,15750,16667,7609,13277,6603,649,14855,10269,10293
42,15220,16535,4170,9935,9489,9759,7847,18085,11044,15034,3734,10495,6858,3191,4770,17680,16162,16449
43,7492,15256,5327,14451,2871,18125,2450,15209,9385,12606,4049,4970,2607,11539,15614,17026,11035,10374
44,10376,1590,11070,3373,1496,16363,5436,3479,419,13922,6082,16392,374,8028,7910,1723,15431,694
45,19345,6339,17852,11170,18693,8329,19061,6561,14281,16245,12335,6493,16265,1919,18843,5220,17141,16584
46,8342,17559,465,17910,19574,11355,5452,6725,12872,8181,2543,14995,13982,11118,14796,2374,1246,14837
47,9384,19487,4033,1238,9586,19370,4614,16270,7070,6826,587,11032,3969,3241,17329,5838,12080,10874
48,11269,11949,17173,3954,16167,13512,18134,6370,15959,10190,6213,4377,13131,4482,19533,8069,9197,14657
49,11715,15902,8312,4038,6962,11823,2956,11246,4630,7414,16959,9910,13178,9314,6202,8994,5648,13470
50,587,10649,4121,17848,17872,3875,4254,16002,10105,14661,114,4482,18855,13728,13590,6703,2356,11941
51,349,7087,17800,1869,2589,4235,4100,7381,8087,2301,9036,7635,19661,18102,11861,9966,5720,19895
52,293,19246,10766,3101,10427,15510,8600,6063,9858,19969,13006,2807,12319,3520,18964,19152,539,5909
53,4627,15079,4129,2022,1627,4615,11802,15038,15420,3933,10019,12491,5820,8765,12674,12124,14705,16975
54,15857,18470,19709,5716,4559,11753,16561,17585,10866,11203,894,5101,3222,16250,7988,19811,10510,19392
55,9992,3546,3923,14831,1719,15119,10088,16911,8138,12508,4744,19589,13714,9401,17359,3718,996,13719
56,2776,14844,12216,5258,8205,2391,4066,12024,6574,6173,17011,4144,17796,7890,14256,4699,11582,12032
57,13344,12862,8880,5938,16201,7881,8470,18081,10328,9107,14025,15205,13053,11412,16384,12410,18907,19625
58,19915,9230,13285,1013,12289,3048,19640,390,7226,7165,10931,6331,10178,7732,5233,2182,16240,12233
59,601,14894,17429,2427,6791,18286,8045,6993,4509,5130,8366,10849,13897,16745,16887,7921,3771,982
60,9049,684,19161,19214,1046,13240,9388,2644,12614,8795,4364,922,15566,5078,11431,16904,14930,9061
