"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015","sim_016","sim_017"
1,5236,17022,14364,17106,14932,8671,7882,2290,2021,5631,6352,142,10680,18159,11323,7204,14308
2,9905,5727,2193,9899,7012,928,7699,10877,15193,19416,14030,15255,12627,8637,14175,5576,6252
3,3264,2000,18525,7708,1510,5227,8329,1843,11176,13540,5975,14644,6542,2353,17820,11643,18686
4,4764,1663,2432,343,6389,1807,5317,3603,15686,4325,19414,8947,5443,13200,8518,11825,1352
5,6181,10585,4472,12435,16888,1972,17377,8323,549,5364,1936,17749,11909,6138,729,649,17953
6,4404,12795,1717,1615,11786,10963,3064,11649,6777,6821,7454,10782,4939,10120,7487,14619,12687
7,271,18245,18547,7111,9114,3950,11753,2872,18259,15444,14060,11618,16448,13228,8765,6095,12789
8,2135,19762,15453,1035,5373,1215,5566,17380,19949,17238,7476,9136,10407,8814,11065,8484,4264
9,13713,9295,13672,2890,12659,3584,14565,10108,1904,6834,3881,7527,9879,15601,12004,13739,9000
10,4673,6245,9243,12114,15760,13272,6843,4420,1052,13308,17956,14894,4345,1217,5984,2884,18853
11,14597,503,14818,18208,15463,19159,16888,750,19227,18003,15556,3397,2511,3260,6293,1473,13839
12,12283,8415,18159,17024,13711,7735,1287,12756,4519,9124,2619,6408,13917,13490,4346,19205,14006
13,8896,360,7880,7579,6178,9698,601,17686,16848,19739,14469,13685,18963,2585,11298,3674,15209
14,13586,1117,3808,3191,8293,3213,2097,17272,11090,8394,1468,2473,2999,2907,10954,2760,5601
15,12935,1795,5301,12896,17242,2961,5715,11308,14082,10414,4037,12096,3866,18968,11608,13682,18542
16,17939,6376,8441,13460,3488,670,1196,5751,5952,2836,10607,18423,13876,2983,11900,2430,5839
17,7771,3256,16324,17167,1821,8700,19830,19445,14671,15660,10561,1375,1904,17172,14085,8531,3446
18,18600,3173,6288,3898,16350,3997,11328,19052,1564,7809,8913,6823,12019,10414,7679,3960,19319
19,15346,8847,3757,19804,19547,2778,19337,10259,14688,514,7736,2849,17327,19346,5178,10452,19463
20,2423,8558,15575,14734,2042,4556,1106,10082,17105,14245,8094,13603,11426,11540,19551,10324,19996
