"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013"
1,8971,19291,1246,12942,15310,11165,6045,3087,11578,5846,18129,18375,17237
2,14834,9768,1006,7264,7495,6013,11296,7365,3326,6757,1933,239,17602
3,15435,19955,758,11044,10463,7916,4821,16959,16805,12547,16778,19375,1112
4,15518,287,2492,11248,4458,18167,3795,9426,8412,3017,13014,979,13992
5,12237,8079,1013,2437,19503,16902,19750,4694,3093,14835,17318,16371,12728
6,3815,15089,11973,13478,18255,606,1677,11679,16715,5463,10563,17984,18026
7,10078,3517,11150,4765,4914,1222,11250,3447,13368,2164,9231,8468,10662
8,5353,2005,14926,9443,14573,1319,6424,10255,19955,4439,19181,18324,10905
9,6018,1721,16066,8542,14753,19426,7021,13100,1104,2468,6279,3871,2248
10,4607,3860,15106,4807,19358,3566,266,16621,160,10940,11973,4699,12446
11,5712,12055,6150,8044,2165,16793,16958,19777,5951,18763,3963,1249,14943
12,15723,9834,3204,5806,4284,15180,3309,2436,5919,11533,13636,13437,6449
13,10034,1672,18795,19400,1689,14120,8497,15533,16982,8459,18839,3213,19923
14,19707,7266,7828,19615,11052,14765,1268,3986,5326,10818,18705,13573,362
15,16115,9128,13235,9571,7370,16922,8503,10434,19885,3636,4562,12368,3137
16,19182,14812,5497,15587,8852,17255,10759,10115,17630,8717,11994,13072,6590
17,1494,18064,2344,16328,13126,19916,1681,4118,18463,18067,12660,11954,11000
18,8125,3117,18374,10589,6438,13971,15582,3276,10198,18242,4724,11060,17550
19,8818,3134,793,11880,3184,9635,4386,11175,13406,15269,12249,16202,779
20,543,19116,5380,176,6971,18570,615,1277,962,9858,7780,8382,10715
21,6991,11685,16160,17524,17917,4578,2653,12060,19774,4034,10024,6213,8725
22,6939,17491,9873,12349,8677,18622,14764,1957,16719,12391,2041,4679,2510
23,13874,6000,16939,3020,18359,14444,418,9639,14356,5628,17350,19716,9156
24,3673,12794,8486,11367,4094,3376,5341,19234,9099,16196,417,3508,13618
25,9650,6897,18516,6266,1160,14613,19193,8884,7132,833,10614,3246,2001
