"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015"
1,18915,9157,2344,10371,11831,7180,15694,962,910,1235,12465,10599,9348,407,1936
2,3819,5509,1131,529,12515,19322,2275,14346,3686,1723,1257,2439,19136,8533,16605
3,7893,9546,14309,1151,13311,12507,5998,8420,2969,8466,18500,13423,10410,10985,11225
4,15761,7108,11743,7126,8028,645,17469,3386,8233,12728,1458,1088,14141,1425,1790
5,5908,18524,19453,17358,7100,509,2032,13897,1904,4662,14249,4017,11632,9235,17701
6,6014,15993,3079,957,17369,18538,12015,11928,6300,252,18140,13216,18207,3999,15953
7,11859,9201,1993,19813,13477,12076,7481,8827,16679,14275,13949,14716,9678,15531,13087
8,7400,11510,3175,5134,14438,12503,19250,18777,8015,1114,3066,967,9596,7333,16921
9,6181,4924,9974,12300,12514,16003,8239,15367,11624,5931,3618,1394,7069,19262,7809
10,6999,19683,16583,9484,5324,18090,6706,7558,13714,14774,19850,10905,10402,4720,12737
11,16897,2082,6941,12977,6332,17816,18384,849,16188,1204,1358,6615,5467,3074,10633
12,17377,4846,15653,13896,11541,9644,2842,1242,3707,8164,11816,13274,15067,11275,6842
13,18457,18682,2365,17455,19298,18065,733,6513,12458,15354,8671,3517,15868,8751,10931
14,9130,10333,19838,13883,1139,11904,7684,10153,2027,11874,14344,5667,18710,9511,7042
15,7167,14089,12679,5269,2930,7416,19369,13986,8637,17150,7588,15050,13784,6709,8079
16,14849,13665,2209,10191,12820,4248,7386,10048,19491,328,17667,2043,526,8373,12630
17,8756,3895,15301,1673,855,2239,9930,9258,7550,2650,15050,19616,5129,10896,16289
18,6500,18681,11532,19098,4889,1659,18887,10303,1533,16895,8840,3861,1765,16820,11779
19,15523,15556,13731,18456,1260,3333,2223,14226,13319,19602,679,17527,8071,5863,15718
20,1964,15369,10308,15228,17253,12843,7061,10066,16171,1823,4919,10138,15953,3528,10763
21,1910,5026,13503,11402,12880,18232,7500,5544,4693,8644,8038,19769,1627,16830,6548
22,19240,5317,7776,18435,14525,16021,13159,8396,9916,9577,19734,17691,18555,13093,17107
23,1267,15833,13665,12788,10674,14611,608,5268,1004,2954,19267,7434,2499,17645,7577
24,19051,601,10071,14409,6103,19531,8275,3872,17176,5078,15118,13245,13452,17990,19406
25,17075,2698,942,14036,3421,16924,15482,17553,6195,16928,3650,4923,12004,6905,15860
26,10819,12038,15268,10896,6694,13474,12205,12250,4455,3791,13264,13767,17818,2029,3862
27,5956,762,16685,10407,3672,17360,5619,19984,4536,19926,13010,10444,17358,6308,10012
28,637,4542,11012,3930,13146,17496,13683,9336,13423,12725,11249,5698,19701,11864,19940
29,13783,3327,17109,16888,14341,13995,764,4536,14531,8036,12013,13199,3917,810,6267
30,11738,8074,12746,233,4823,15091,8208,9523,366,2738,15934,7425,11900,16028,19525
31,19501,8026,4748,9021,15200,15050,885,19714,13717,8274,1862,5863,2500,10393,2071
32,19573,17367,10338,18119,8577,15881,17535,15276,1700,13265,15956,8282,6341,17263,19700
33,11052,7727,9682,13762,141,16842,3672,4980,12957,10759,6588,16485,19624,13426,4188
34,19812,15161,11774,1954,15236,17008,11935,13863,9650,11421,14466,4817,10989,6115,6309
35,10759,1924,6509,19456,15783,6983,10611,14028,10762,9377,13442,4736,5577,3949,3587
36,7780,13366,11934,15502,17869,8966,18613,4937,5200,7511,13028,3326,10388,14000,9281
37,9073,2771,19690,9062,5003,10807,8545,11824,3470,14623,914,10340,5036,7800,14175
38,19451,1508,19413,1061,17320,1381,8654,8587,19915,17558,11643,3858,15020,14028,10567
39,8290,15010,6305,19299,18401,14975,6969,11552,2065,14956,10645,18706,2094,1568,10976
40,9394,18586,15944,14809,9585,14552,13549,10316,14335,9727,16106,1455,6811,12300,5152
41,7485,11218,11903,15253,3962,18537,872,10824,16133,16623,17931,6172,8646,7355,1568
42,570,16107,19709,16275,16139,10067,9391,9693,12503,18465,3544,10656,6889,11520,14047
43,15722,16960,11687,10523,9033,2418,11313,14577,19217,5869,12480,17377,17942,3937,8592
44,323,7135,6452,19971,12818,2643,11261,3100,10993,7307,4465,2150,19651,12750,12186
45,16064,1586,6922,12828,7015,19164,9945,7125,2486,4085,13680,4502,6295,12244,1491
46,4578,3608,19627,16170,3301,11089,2435,7528,8302,17753,15208,6827,19572,4238,14785
47,6842,16093,1933,9604,6213,1594,7792,9534,2864,18003,14955,8135,18972,2684,9913
48,7862,13316,8406,6018,17324,17483,789,13645,10115,8746,4006,1580,16809,17484,9664
49,2801,7521,8516,6993,9202,817,7689,14706,10721,300,15430,18574,13193,16959,2170
50,10969,11822,15635,16024,16954,2026,7016,8012,1495,1062,16649,13500,6196,3787,17282
51,8222,3998,6823,5840,1098,12942,12161,1197,10134,19610,3006,9156,17041,1693,14545
52,13164,18547,16788,17983,8734,6246,15158,15552,11130,3919,14667,1625,1719,8839,1359
53,14446,11188,1004,17767,3519,1214,12680,877,14176,6613,7765,5354,304,4849,16299
54,3115,3693,13458,8621,10380,15503,6859,18981,16386,3603,5209,12824,2699,6654,11377
55,10135,14897,14410,4219,9868,7458,8283,14407,19360,4781,13878,8653,4497,15484,16504
56,5900,16295,14306,19799,4449,13289,900,16937,2528,4511,16592,4261,3766,14691,7162
57,1605,1213,3160,10375,3481,16441,13866,5825,4071,2635,1209,5698,6283,17782,4434
58,8370,14383,19057,13442,17477,5233,10887,14876,8677,16669,1059,4194,18039,1100,15502
59,15260,7923,16256,16644,18552,7128,7467,7545,7296,9518,4934,7953,2039,10199,17268
60,3613,9315,1479,13581,3069,3426,16612,4238,2464,2479,14532,2024,5256,3515,9476
61,19510,18711,14457,16722,8076,3955,18373,7227,11972,11526,7179,2478,14779,3659,3490
62,2918,5587,16162,2149,4644,9224,16564,9772,6409,5547,19079,11369,19709,14498,8330
63,1517,7058,16737,19871,10045,4829,5344,15349,7170,984,2780,2107,16682,1103,15203
64,9847,2531,9154,1777,15365,1583,4045,10892,869,18341,2704,1895,3911,10161,13945
65,18892,19215,14807,11248,5890,3453,1318,488,13726,17410,10270,399,350,4121,7505
66,14574,3056,8602,9562,6938,7054,948,5111,19965,15643,9209,932,8421,8594,7535
67,19810,14279,7033,15962,13446,4156,8370,7730,19318,17351,13576,19125,1229,12662,381
