"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012"
1,12344,2717,5235,13808,14533,549,1198,2710,17552,4195,16421,17391
2,15897,12852,1940,18779,11094,15922,14736,17281,9607,4001,16507,4500
3,13107,19253,15956,490,10874,6127,10013,12323,10010,10891,12250,14732
4,18838,19368,5539,8078,6085,13066,1527,14279,15710,12109,8386,3652
5,7775,6475,11937,4545,15005,18892,10931,19101,2028,18129,4683,17305
6,8201,17473,3107,19917,19551,16826,17363,18202,19921,11378,6281,12049
7,7248,10224,9756,1341,16897,7274,3595,1745,19825,15622,12402,17717
8,8367,17655,8669,1431,1808,14968,1330,17723,5127,16776,16990,2050
9,17391,18521,11038,19809,3993,19533,15731,18732,11351,10515,3164,19161
10,13862,1923,19219,18906,3805,19927,5291,4767,13843,17994,15551,7604
11,15586,2600,1664,14530,14184,7372,12867,7589,2612,18974,2954,5888
12,15241,12989,11772,15574,17138,18530,16900,12846,19153,9810,366,4738
13,4829,19590,988,13528,7387,10494,390,5966,7025,2397,11140,6947
14,14273,3742,13026,1384,12611,18681,1627,2750,3717,1491,12131,7623
15,19312,14626,2176,4953,14486,19350,18195,13433,18505,11000,15954,365
16,13344,19403,17198,5990,19820,19921,17616,10411,12115,3865,16608,10484
17,3960,2305,774,19498,213,9159,3266,12998,13468,172,5199,190
18,13906,5722,17626,4051,8182,8937,11175,18040,3693,7518,19056,6010
19,5399,10657,6571,375,16422,17100,9958,15052,8521,15632,18697,12478
20,9848,15351,13553,5101,11483,6281,17831,18930,17832,17861,4675,10344
21,4310,622,6029,18372,17019,7066,13245,11831,8334,10635,7098,19323
22,14882,10156,14064,19428,11642,5478,8172,12922,7404,1038,5521,12104
23,5097,10478,15333,2639,19238,17203,1749,9389,14679,16176,7572,13248
24,4322,19181,2446,7351,15664,5434,15682,5703,6847,2931,3048,18968
25,11741,6783,13894,3773,12677,12199,15179,3619,2093,14449,14085,16811
26,3985,222,18989,16533,5841,8112,12723,5443,5419,7663,1883,14442
27,16279,8097,7840,7008,17164,14877,12041,13473,19785,6442,14767,5453
28,8092,8712,10033,12188,2151,10481,8229,15702,8356,4333,13808,2385
29,19184,15561,18531,17237,1630,5718,6401,16648,13285,6224,9552,7536
30,14962,16327,6796,7847,15125,10992,14561,3430,14546,9313,1266,11331
31,10587,3710,17056,10240,7450,4982,15398,17721,299,2855,2791,10480
32,420,4718,18288,978,5989,6748,10944,10132,11691,17359,19271,7226
33,2915,6375,16977,14730,13542,8397,2035,13048,6832,4656,1745,12161
34,2967,12412,10795,16144,19842,5897,15005,17055,8646,13874,2284,12508
35,3909,16925,9576,2875,5882,4465,6965,2254,756,4289,18115,13909
36,15748,13584,5029,9037,1157,2291,15181,2834,16177,14328,12582,6900
37,6563,1616,19994,5287,17340,19096,18686,13419,13466,4604,650,5952
38,1988,7998,19590,7265,6458,9103,7685,19428,5068,13405,923,14764
39,17528,13588,7677,2174,11574,11176,1033,14786,8953,9611,2551,15707
40,14843,10357,19328,11620,12408,18413,15488,15670,16961,9929,8111,743
41,15301,5852,12467,18251,6256,10170,9403,14234,1267,6807,12432,17233
42,8281,4868,9974,2456,2285,18719,7833,1266,3587,5732,13101,14505
43,9466,15399,7790,14410,14253,4664,3100,2439,11647,15338,5579,4485
44,6933,4440,7102,17769,17908,2081,13493,13816,125,1118,17957,13368
45,17425,18527,11246,6370,4402,5452,6113,8851,14532,12006,15989,2223
46,17421,19645,909,18221,8546,8355,1384,9970,11609,19889,4707,18590
47,7033,15847,10024,16466,6881,945,4241,18669,19011,13640,2328,16175
48,18732,9924,7791,12517,14360,17463,2677,13275,9578,15189,1608,2343
49,9839,10698,815,5356,17078,6548,17109,13481,5870,166,960,9288
50,12293,9112,4320,7775,4899,1649,17555,16043,3875,4985,4664,13520
51,19624,2653,7760,9621,6971,13959,14486,2216,3133,1443,14445,17303
52,333,10223,6800,3756,2291,668,496,12104,9522,13710,5620,7236
53,7483,5004,6091,16458,4812,11395,3150,11226,13591,4208,250,9040
54,8372,9995,14147,331,15694,3260,8343,15521,7644,2410,10332,9903
55,6651,13335,8938,658,16690,1910,19882,3728,10251,11930,17456,10320
56,16794,13970,16860,19012,3421,14576,13182,14557,14606,15456,19306,2438
57,18754,1590,15365,12679,18999,138,9480,3373,6528,7884,8043,6420
58,18119,16280,1970,5630,19413,13107,13756,7849,837,18715,19938,17239
59,2788,2078,10265,2404,15721,12515,17237,19848,1061,17603,7642,3401
60,12371,15155,18424,1937,9427,18742,15851,3702,910,14336,8792,17411
61,7997,4072,18194,11620,5121,10076,3888,5495,19495,7150,9672,789
62,7438,7681,801,1632,5710,12056,10862,8798,7457,10717,9670,14757
63,10525,5925,4650,2473,13948,5444,3474,1368,13798,803,10658,17127
64,14645,3576,1625,13427,14354,15915,4660,9656,9800,3295,10143,4619
65,13276,6492,248,18780,11119,13900,7874,610,6717,12678,5349,8149
66,337,18959,7553,8991,6902,9028,8306,19720,6453,15233,1857,19709
67,18127,1898,4619,8515,13656,5930,13573,19381,2042,17665,13946,11760
68,12375,15898,18398,3867,718,9837,9103,2393,10536,8026,19630,17190
69,5364,6969,8434,15176,19839,4404,197,6505,2439,11354,9318,14702
70,10105,10239,11185,5548,11702,716,5896,3263,4108,9866,321,12678
71,7027,14359,10523,7469,12834,4719,16361,13919,8115,2915,19066,1122
72,9087,10264,2287,6244,4511,10394,16671,18616,4621,12983,1680,5037
73,8873,13089,8092,8101,1162,18735,5282,1875,14599,8017,1221,1430
74,4585,9785,5209,14099,19018,14681,164,18655,10468,18738,18820,11792
75,13087,3845,14907,5692,19936,16117,5266,3163,9628,9424,12921,13069
76,16660,13776,7302,1301,8187,4294,17840,5230,484,17124,7247,17870
77,7716,15433,13651,7219,18366,9114,2031,5044,13913,12098,13757,12579
78,18059,9679,15834,6886,1727,4998,15305,3614,9402,12916,6683,15106
79,5611,18960,12164,10359,14076,12398,15952,1549,2500,7392,11805,9666
80,15567,8326,6637,3394,3819,19313,2514,6935,4337,4672,6691,5358
81,13293,12363,1675,7698,12312,4782,12374,16944,11089,1954,7850,16099
82,8044,348,4782,5324,6342,2699,12786,4639,1097,3050,11274,19793
83,15299,12498,13727,16126,13677,18804,15081,19223,14846,547,12624,3748
84,16262,11326,12118,6947,11662,3229,8034,16474,18480,8021,14568,5748
85,135,3694,4818,1702,7524,6970,2665,11603,9569,4245,14794,262
86,8596,1475,15225,15085,15040,8546,10058,5212,17529,10858,11427,5498
87,10816,11869,16627,11537,7913,11428,17542,2678,15530,9631,5196,8466
88,15946,1013,4309,4375,18421,9748,11731,10687,10473,3193,6870,19730
89,8276,1684,15239,11407,13565,5187,16582,19557,8127,17931,10940,10686
90,12353,10888,2308,11576,4072,8302,16370,4487,18490,19276,14302,10313
91,10355,16998,15702,2561,2072,9449,7850,9561,7734,8784,19697,865
92,5019,13345,12905,2309,9746,5734,18615,16943,1780,3846,3846,2638
93,18281,13739,10137,536,5241,14838,3674,1868,6171,7097,7458,3897
94,1577,2746,6543,9454,16748,12985,6374,452,11568,19368,17637,11670
