"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015","sim_016","sim_017"
1,9780,5019,18038,14195,9760,12779,10380,12957,6206,5572,6847,13885,17631,9951,10105,7676,16968
2,16813,3731,17804,15732,9982,5204,15791,14923,12772,2094,557,7755,725,14087,16538,11651,7550
3,15960,8764,1166,7717,2661,7936,18734,17832,651,3234,8157,3605,16263,6766,2829,2066,10212
4,16618,17478,12432,10583,1753,6598,11948,14385,16638,606,4193,10420,16744,2081,18034,16397,8691
5,16227,19423,19440,10057,11358,1103,9660,3119,19368,4786,18346,3512,18922,12648,14814,18237,14169
6,4312,8183,17971,240,12798,3594,10352,8090,13900,9018,12064,10797,16213,5270,3427,12212,17573
7,13693,13888,15309,19608,9694,16543,3130,7903,5507,4721,17194,3827,11072,19782,1645,7810,10298
8,15779,1849,14606,1276,4758,7182,10298,10845,4231,10600,670,14259,18093,17554,15439,6349,18468
9,8828,12440,18956,13981,5262,6017,2630,10907,10426,16299,1617,11771,12006,3338,12778,1569,9851
10,10893,3393,7101,3679,19558,951,6851,4703,17884,6381,11046,13510,2413,2843,13839,9962,10584
11,1158,2297,6874,11060,19904,19762,12679,1361,18664,2220,2138,13248,18023,12462,13308,14557,7336
12,5865,1537,3518,8589,9852,12217,5997,7341,2548,16163,16203,12045,12790,3711,8988,362,10241
13,2257,8103,8790,10719,18326,11610,18263,4331,5644,13574,18232,19921,1976,9917,4948,18020,8617
14,18011,17015,10105,10458,16849,12736,19916,16016,772,3805,4745,3093,3625,8148,17728,597,16225
15,6833,19672,18008,9460,7824,12708,13977,2037,12268,16468,12988,12341,2913,6380,8955,9830,16565
16,13602,16190,14247,526,17937,10515,8746,2187,7959,10509,16756,6662,3970,9234,2960,17415,9659
17,3855,18573,5685,17283,7457,3443,11457,17075,19735,5589,12662,3232,3686,19064,3230,970,634
18,5324,6863,292,124,3080,1073,4553,11869,519,3024,9412,10169,4543,6802,17121,9065,4669
19,4872,19524,706,8581,14079,10628,8729,552,13969,1151,17613,4553,648,7705,12225,4668,11641
20,8971,9532,16283,6957,15661,7248,5153,17141,4254,3032,11001,18073,13292,7904,9376,17755,10871
21,9327,18960,10407,705,19170,6611,10041,14427,213,18882,13046,571,11061,3516,14833,6050,5362
22,12008,12318,13215,9139,5800,18631,1423,19089,3666,11445,13526,15956,4113,16952,19022,18139,14666
23,873,3135,15683,294,8367,16768,13291,13742,11542,1675,17609,11011,16037,346,16829,6003,11958
24,13611,4909,2605,5717,17239,9212,15442,3016,14005,8904,4740,17455,10789,9470,7603,12746,10416
25,14039,12354,2135,14466,431,10600,16735,16606,3221,5209,14632,1387,803,6729,8154,12266,7847
26,19960,11566,14012,4391,15613,1705,2917,14394,7152,13822,11985,269,7919,8739,14790,9391,2650
27,4181,9117,9733,7876,5368,8783,6989,16310,15800,4193,1924,4557,468,5193,8819,9726,5654
28,19254,12746,13109,13969,8219,3070,18426,11987,3465,10572,17102,6814,13460,1625,1214,1073,16664
29,8468,2840,17716,17347,11970,18377,10253,2166,6624,6363,16149,12896,1025,7278,4471,19442,8745
30,7866,8311,779,5223,19251,16403,8501,8424,5978,18455,7840,6970,4173,13759,12096,2553,6898
31,16211,6157,159,19626,12205,18164,610,13466,15094,19953,19963,14853,1911,17651,18065,12308,376
32,18220,5021,4123,12240,12373,7840,14655,12612,3590,10408,7450,8908,13205,6280,9242,13454,11234
33,850,13079,5117,15712,17407,2253,17838,8992,8520,15038,19925,19711,15483,8809,1059,16251,16479
34,408,18861,5662,12613,15983,12174,121,4756,16247,13842,8893,11471,17140,18075,897,4092,19719
35,2772,5543,14072,6899,18835,12792,6561,16159,6273,10538,1656,316,11561,1848,7785,6759,16484
36,7586,9168,7078,8127,3545,14544,3944,18709,2358,16499,11754,12475,13281,18207,4024,2720,19976
37,11812,9436,19389,16330,1905,14512,17471,13876,3187,11637,15854,11077,1556,11449,18736,1025,13902
38,17421,14983,13902,12120,2242,18313,11493,6017,3016,18100,3444,2455,14105,16186,5731,16088,17698
39,8662,17244,17073,14505,8050,19964,642,8161,3844,6215,12717,2151,9605,10785,10038,3370,898
40,15608,13235,1167,1990,11075,8649,4599,17322,12129,15406,17256,9002,2538,13223,17669,15735,3023
41,10760,18689,16570,5338,573,2623,12043,2267,13663,1619,3253,1456,160,15186,17794,18405,18597
42,3114,11520,18765,18362,10793,17838,8853,12478,14685,11582,8962,7293,8764,1564,2322,3671,4479
43,17595,15842,1221,19147,13462,14367,11474,18623,11520,2025,423,4420,11857,7135,13683,13987,7146
44,1125,17852,9617,5247,16426,18802,5364,12331,17945,14208,6806,19048,14543,9668,10250,16795,3882
45,10985,7926,8678,12542,305,10361,5550,1795,14540,18251,12497,12609,19071,2613,6142,13368,15186
46,6270,12975,12447,17590,8203,17545,5154,6541,6697,5409,18815,16857,1633,12049,10732,17807,3377
47,1700,17104,1076,19781,15572,13961,5549,19690,253,7350,15268,2641,6891,11479,14664,1879,10325
48,17353,8632,3941,6081,10074,9813,4648,1718,6298,16027,4082,633,11959,19248,12441,4298,7388
49,3014,18609,1988,11312,13695,3096,4919,16014,2933,9697,16601,2181,13981,3693,847,8024,15578
50,18175,6837,10082,11389,10834,2293,10178,1646,12328,14642,13180,17402,7867,8614,624,14054,14493
51,14692,18558,15442,9734,13674,15954,526,13316,13116,568,617,607,3787,19553,17932,13415,6829
52,5049,11859,1345,14994,14344,10569,17723,8593,19860,9712,5508,9350,8684,1429,4167,7071,1073
53,14709,17297,15807,17732,13074,4989,17660,17991,18215,14419,1789,6532,11897,9899,15019,151,1241
