"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012"
1,15283,9362,7033,16382,9033,15558,4903,3798,3885,1723,8627,12987
2,11429,420,12294,3971,6058,18978,19695,9490,17278,2115,5907,6862
3,18179,1950,8571,12713,3739,15704,18978,9254,3077,1005,4467,5705
4,9675,8547,13229,7670,11069,12588,13146,4385,2026,16705,11987,931
5,16050,6543,16366,15459,19009,6528,9573,9269,3819,11384,7561,12339
6,11311,12815,14349,10998,3041,16618,2202,4831,10440,5203,9731,3667
7,18483,1167,7574,7544,1886,2118,1383,8124,14152,11996,16543,5770
8,6433,6270,6784,5780,4060,12543,2959,18730,2086,3624,10829,13044
9,3270,19598,4389,1612,12995,2159,675,14320,5752,15631,1765,3637
10,4314,4272,3953,1237,14164,16278,17523,571,541,9068,9229,10475
11,7303,17208,4762,17635,10127,10587,6570,1497,11875,17034,3976,11955
12,7684,3816,15690,5741,9162,15842,15024,17331,18558,13375,16031,14836
13,17371,19806,6842,18440,6280,15786,5481,6438,2309,4017,14572,14640
14,2046,7909,447,6321,4065,16517,12370,8501,13060,19205,10668,10301
15,19974,2099,15035,3087,4049,121,3808,13166,6492,15785,16888,4921
16,11268,19625,16068,10390,14152,15020,12806,17700,7021,4413,1544,8952
17,11317,15290,7176,8942,19034,1676,11797,3197,5349,6114,4045,3620
18,9577,8334,686,13015,7328,13632,3759,13538,6358,212,6296,2811
19,16312,18348,9524,3726,2758,16110,6378,4599,12685,15247,19452,19892
20,2633,12814,4254,11888,2655,13573,5450,9814,3139,19479,11953,9050
21,2345,15554,1001,5557,4289,9138,336,15323,15488,19121,6715,15970
22,13740,1193,8855,7773,2363,774,15342,10954,7304,19023,5650,17387
23,10678,10893,18485,11455,6541,15505,1511,7889,5287,7902,11958,15527
24,11416,18496,14497,4242,8100,233,19344,5605,13845,12048,10851,10933
25,2217,1013,5935,17556,19359,6030,17298,5697,11912,11535,2276,14206
26,8960,3653,11085,2187,3094,12850,16752,15626,9995,1287,8835,11614
27,14207,14190,11421,18740,1931,7691,19634,6720,8316,11406,17849,6879
28,11206,15064,15410,11773,7075,7262,13950,6217,2340,17305,12791,17903
29,16829,18283,5902,13113,10215,11775,6332,15832,8548,12239,15173,12908
30,18570,1296,19418,689,13324,13330,16730,15002,7222,16873,15046,3040
31,13335,2885,943,13461,15534,9923,18036,5819,7170,19753,19207,9407
