"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012"
1,19667,3391,11666,5423,12698,12654,3806,7623,13497,10030,311,13214
2,16024,10338,9296,17388,705,4792,19676,18520,7485,14276,13603,17113
3,17855,1495,3486,1589,2000,14545,5189,5944,10896,8371,16667,12481
4,15567,17924,16374,15473,18224,2103,7668,8425,10814,921,10761,9344
5,13713,1713,10418,7532,13979,6629,12866,18883,14062,16297,10596,533
6,11770,13026,9271,11298,6923,19977,6200,18741,3252,14178,16494,6966
7,17850,180,3865,1015,10796,3149,17412,19772,3919,10828,3799,879
8,13180,16581,18374,12446,5697,6199,12966,320,8509,1372,3896,17932
9,431,1598,1125,14370,9158,11698,18408,18445,279,13781,13559,19345
10,10770,5657,10603,6902,3175,18959,1931,12460,15280,18267,747,12997
11,5405,8751,16816,9589,5432,6879,16050,12138,17591,5729,15174,582
12,1403,19887,17965,19635,9287,16936,15566,2531,14716,2890,2779,1190
13,12588,15670,15088,11857,14509,15016,205,19613,1923,7328,13492,5748
14,14338,6455,793,9384,10736,8426,245,6351,3066,18618,6968,8599
15,4117,5416,332,18699,742,574,17649,5227,2899,17246,14161,4881
16,19950,4196,9384,9167,18410,13149,15070,16436,3374,5560,15902,18967
17,2094,4388,6191,18099,12549,2539,3309,17917,5884,6625,12266,18039
18,5625,16236,2887,13790,12502,12506,16246,9073,14607,3004,17230,12512
19,19529,13939,13578,19075,2741,10727,10715,3282,13097,8670,15378,4442
20,4544,850,12591,14256,8524,8049,1955,15737,8298,17739,17629,10346
21,3658,14433,10444,8158,15862,13798,10456,10800,14087,18219,13411,14047
22,15395,15053,1095,4552,18714,13685,1635,7817,3673,5648,7498,9592
23,5507,11393,6126,16525,17184,3332,3282,3868,4249,7243,10561,9852
24,10362,1101,5224,570,17706,5352,3887,12104,11770,17010,12639,17591
25,4140,7036,11051,263,3809,14774,8258,18672,9425,8333,19056,1716
26,12574,13650,4704,15441,642,7720,11389,17201,3773,2697,9664,19044
27,321,1099,4095,12656,13883,13382,18690,18035,10151,5789,7930,11937
28,7418,15306,8556,13112,3864,6615,9292,9938,5128,12198,2935,4712
29,6085,11914,17047,10275,9562,11184,7632,6874,16959,10131,9746,17030
30,12525,7544,15677,4259,12971,12880,476,11798,3135,896,8588,14117
31,839,17637,10079,13201,1774,12573,6314,18030,7800,9993,14718,18949
32,16115,152,8098,3905,12260,8301,3978,10116,12306,13675,6241,1485
33,1110,13967,15885,7671,943,7873,1151,6594,7471,11878,9914,14851
34,14467,10777,14785,10703,4634,1568,5210,4812,12330,7674,16032,10180
35,12513,19695,10227,7840,15388,3201,13572,12526,3306,13760,19791,15342
36,8124,12519,1867,7184,4867,10928,16981,9126,5837,4064,17236,5173
37,7805,15016,17028,14660,12931,10515,12409,4563,12642,13721,15285,3158
38,16286,3812,11466,8743,6926,631,15447,11387,10490,18077,6986,11790
39,2328,6714,8171,16571,4582,1202,16638,9327,2563,14617,13546,17818
40,4112,19609,15196,2587,19941,12123,15613,984,10699,15721,8534,1545
41,13572,17322,1610,13699,8480,5563,18945,2268,12719,17419,14535,17314
42,19576,2703,14158,6118,8852,9183,3668,11563,14733,19107,10268,4666
43,16913,785,16518,602,13026,4741,19649,8207,17337,289,9814,12898
44,2616,15709,2907,18072,845,12126,3765,17011,19480,2967,271,14855
45,11877,9063,6833,14646,5670,2003,3738,12070,8223,12704,6608,7576
46,5047,2834,1535,6734,19206,7080,6673,5684,16614,15596,19122,14336
47,5094,1224,18704,6976,11935,2099,13609,808,2012,6100,13961,18056
48,4877,10398,2763,4201,5247,7078,17554,17961,2898,1485,4566,12745
49,11154,4332,19544,4337,6723,3931,18695,17559,14843,2536,13838,571
50,840,983,11781,9617,5855,16505,12848,7196,1331,2954,14401,6302
51,5721,14859,17362,6168,3021,6475,18953,17345,10885,3361,17499,1763
52,8430,12488,6018,7350,10944,13521,15091,14716,19304,5507,1597,18855
53,4245,8183,3039,17217,5126,8048,6202,16165,12541,7097,16304,2038
54,9563,6167,16597,3928,5433,1256,4584,15700,2109,252,621,4463
55,6782,6307,2982,13958,526,6791,6983,10417,19754,15942,15234,10866
56,13098,10208,13010,9433,19997,10062,16651,1239,16275,11596,19887,18177
57,9099,7880,8838,19544,3786,10916,16982,7947,11580,18837,16856,12337
58,17490,10679,1122,1297,620,16711,19762,11535,17599,15902,9110,5099
59,11805,12293,2695,10265,19534,2158,2059,2819,18044,2137,4942,9440
60,7458,933,7286,15681,12317,18914,5805,2771,13372,14219,7365,2473
61,16960,1952,18097,17580,18976,13058,10996,2397,10317,7384,13800,4966
62,5361,13327,8447,1825,12666,7812,17386,10432,19054,7824,12311,2883
63,1220,3656,13205,3288,10635,5945,7776,17778,8785,6640,18532,15100
64,1898,19810,19065,12933,12562,14110,5693,6643,913,12401,1669,16018
65,15173,17960,14202,19635,14855,13307,6546,5815,5384,19311,18294,849
66,15343,4448,3182,4999,17344,17747,7389,19834,1636,15744,16736,19269
67,17094,19514,5256,7967,6922,4840,3192,19619,6142,11073,6926,4681
68,1880,463,18550,13076,3097,5137,12453,5257,12265,392,4118,10066
69,2528,14471,18544,17397,5177,10433,3072,19359,12105,222,10331,8260
70,14492,17434,2250,19958,5082,19395,6487,8798,9142,11421,12247,15528
71,15041,5863,9621,5360,13350,6884,14943,17619,14570,19932,19321,1000
72,15648,19261,9089,15417,5445,15389,15241,17197,19884,15166,5276,9899
73,391,17470,2884,12323,17473,17656,4394,5674,13364,10746,217,19518
74,1152,16860,3485,18779,11449,6852,1040,6538,13825,1010,11610,15784
75,6096,12282,8151,4394,10254,18561,10291,6135,17228,811,5697,13228
76,18465,8381,19149,15549,1139,587,13011,11212,16051,5453,12704,3845
77,17459,7472,6280,5938,758,18061,3377,11037,592,10833,15972,10791
78,10669,2131,1440,13813,18904,9179,5251,7895,10902,6170,2294,9520
79,6634,13426,9489,3078,18767,7214,15931,4419,9182,15286,15261,3847
80,17078,4341,10946,16432,4750,9939,13013,5448,2207,18433,11567,128
81,17441,2529,8967,17535,14203,16886,11248,3665,15239,6966,18152,123
82,3425,2015,16276,17204,8804,19833,17025,13324,11108,7518,7537,3939
83,6765,14418,14616,4166,8825,12524,9288,9385,4563,15646,15134,15638
84,14497,13453,16979,10960,14211,17504,10744,2849,11195,15270,1704,8189
85,19184,7628,19052,372,2970,4716,12657,18999,11989,17591,2493,18613
86,5369,1531,18843,2281,12241,10286,19938,2149,4486,11103,16406,3546
87,12694,2956,2951,5696,6820,16627,19301,2477,7832,1810,10996,19634
88,17438,15746,4384,6199,12293,6925,398,8102,12436,7228,18455,19835
