"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012"
1,5066,13907,7286,9129,9209,8469,8387,5815,17997,18654,14158,4390
2,3764,9388,10320,17697,2406,14275,12561,15449,9592,18767,8041,13786
3,789,13745,15583,8370,13382,4878,10931,18050,4964,9442,14356,9964
4,1502,19686,8019,16795,6490,11500,10028,13874,15292,14722,3705,10168
5,16330,8316,13320,14823,7588,18788,10725,14686,10574,16593,1432,5865
6,5358,13852,7423,423,10785,1991,15157,16860,3501,18362,8112,14147
7,17622,3858,15108,18981,1010,5615,1904,2219,16213,7002,17372,18925
8,16217,17447,3896,18339,19975,9696,4719,16804,11669,18114,1445,16009
9,622,8360,16743,7991,11380,7151,8429,4775,7209,1064,13408,4584
10,18044,7856,19266,19769,5550,17300,11373,2670,12886,1882,11421,12688
11,9681,13292,16717,5990,7946,7650,770,13400,13856,14271,14230,6157
12,6657,2089,4953,19406,12120,18836,6832,15552,10235,6700,9659,4471
13,18257,13401,663,3397,13073,3887,13937,2722,19192,19516,221,3275
14,4753,13450,11670,8694,18586,12801,173,17129,3978,13661,16757,10280
15,3024,11464,11462,662,19670,235,2344,18698,10904,11000,12045,4393
16,18588,790,11420,18143,16703,19475,13825,19598,1506,7218,19024,18197
17,11039,18386,6111,9667,11793,16446,2485,17868,13351,11331,12445,6836
18,17857,11723,17284,17131,1143,19907,1703,9366,853,14883,274,17927
19,4576,199,9796,8472,9599,9612,8698,9689,7668,17824,1889,6603
20,14334,4316,16431,2133,10143,1401,16798,1036,2187,8091,19536,9971
21,11818,5199,849,12875,11493,16723,1416,15317,8526,15642,13750,7671
22,7997,777,11929,16215,1975,5089,5813,14068,9470,11542,12212,19135
23,16741,14048,1480,4478,2889,9442,8373,19778,7431,18334,11949,5272
24,2368,5542,11664,11090,16732,4200,5454,17332,16045,5054,9789,10287
25,16543,19382,10937,1210,19606,1754,11466,4613,12371,15795,8688,19875
26,17556,6665,14942,11867,19324,18750,1960,5890,17309,347,13967,8427
27,1048,8531,6478,19578,5340,9358,9151,12844,16110,11086,19784,11844
28,4258,15788,14048,9780,12096,5514,14675,4854,2595,15440,8835,3015
29,11801,1790,8523,3981,6473,4388,4658,8170,1093,5209,9918,8591
30,7442,9519,18033,16052,17858,9016,3241,13427,13876,16851,15565,18699
31,14928,15542,4024,10160,14261,1257,4335,1340,19057,7104,10526,11535
32,8518,10232,2132,19495,11346,6757,17130,7252,14247,5883,11281,6477
33,11599,12767,14733,18707,1343,18603,15508,15757,3074,17781,457,3060
34,457,6267,7298,12152,5913,5886,1811,8331,18229,11469,19315,318
35,12659,11790,6544,19705,13169,2388,3090,10641,9230,12754,6347,1486
36,9178,3439,18227,12406,19854,11603,19703,13898,7484,15461,19208,9800
37,16147,5840,3024,3647,5669,11303,11049,19663,17134,19726,4675,2402
38,3155,16109,16353,13736,16452,485,19679,19458,6436,13765,1574,1373
39,5878,3186,7462,9554,12012,1364,10511,18124,16106,18895,17955,5106
40,7576,11185,9584,11395,6113,8926,2557,14840,6487,5746,7763,4558
41,6798,15303,5362,10593,2865,16425,11699,18590,1119,14437,7997,17155
42,19418,9644,11297,3215,12971,15732,6079,6063,7706,19876,12577,8444
43,1832,4678,2806,5351,812,15978,4043,9991,11511,106,9460,7610
44,17950,7726,10685,8430,752,16001,860,6855,2236,4931,18183,10375
45,18150,14941,2913,2902,8910,13261,14537,12236,17049,2867,5204,13270
46,19394,3699,14068,12183,6481,4654,17658,11913,11879,8206,6658,18834
47,17781,2910,12302,15499,11209,16357,8449,4671,9018,7640,4473,11758
48,16312,6723,2087,5462,13368,14310,13784,6115,3758,17672,19148,16815
49,14321,1563,3714,14709,15342,18760,2726,6293,5617,16269,5105,4179
50,4797,19852,10875,5609,17222,9448,7252,14813,19886,8177,19902,6465
51,16878,9459,11475,483,2028,3801,5474,3099,16947,7219,16540,8545
52,10853,180,4716,8644,9393,10353,18132,17284,13971,14386,3306,2300
53,7543,3310,10981,14821,5688,7824,559,17769,3083,19791,3747,12268
54,18858,7772,12877,4291,13891,3116,16008,19934,8711,10457,19317,6499
