"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015","sim_016"
1,10673,11473,541,5451,10645,12817,8830,1939,17905,13964,14317,8673,19663,4406,15098,8153
2,6096,7493,3005,12866,16342,6425,10799,5461,17389,12919,8496,4584,3868,9696,17986,1985
3,10885,18413,8445,10074,12487,1830,1283,14757,16513,7514,7264,4653,903,13675,18888,19530
4,7089,16186,1549,778,5846,5212,6765,16562,16516,9425,3867,2361,11635,2709,10470,7327
5,1169,4810,8460,16017,14010,13651,226,13668,11958,19236,1058,7596,13521,4565,9974,4344
6,14086,7610,17339,5829,9032,4369,14248,16981,8925,17007,7451,3739,6337,3543,4417,12242
7,3715,954,19315,1687,16279,16657,141,10995,1321,13229,10387,1419,15048,9677,5007,4184
8,10585,15844,9022,4366,10903,7714,3648,710,16500,8221,17647,9934,6312,9595,19266,15196
9,16799,3568,553,5277,18812,9617,1533,13005,8317,14974,15125,4393,11673,18530,13035,12741
10,8132,8788,7184,9774,14551,3705,19993,11217,13939,3890,8488,18154,15683,12997,13801,15472
11,5507,1487,14548,5151,1451,13594,4324,9479,18355,7488,9320,18608,17395,12324,6074,9540
12,1190,15883,4683,7288,18400,6809,19304,9896,13628,15493,9852,13188,4092,12507,345,8924
13,11563,4979,10130,3890,19526,3125,8140,2747,16095,8642,13545,3619,5303,1345,1531,6789
14,12512,12178,13550,12391,18174,18632,931,5149,6647,18574,19426,1278,15669,18292,8856,13602
15,520,16531,14490,8945,11930,12984,5956,18197,4138,1467,15635,3578,3100,10303,6198,16948
16,13162,15105,1938,13238,5529,16087,3414,15857,12898,10546,10248,367,16299,10647,9587,5862
17,6006,19290,10608,12206,10011,4207,11656,12874,19630,6486,7417,5187,10763,12188,16362,2769
18,3341,7285,10863,3377,13306,4186,18985,9128,16586,5643,5374,11349,8477,14290,17904,5133
19,13386,15724,7655,15490,18517,675,887,14688,5136,9830,12207,442,6664,5130,14667,1624
20,16537,12215,3666,11188,4857,11709,2429,6936,10579,3524,15392,8361,13725,11119,3598,6577
21,666,11062,7594,15552,2229,10505,1039,11386,5154,7010,18439,14528,13425,5052,13766,9953
22,10962,369,7110,3190,5563,11432,16072,5537,10406,4679,18997,6057,19288,6346,6727,18200
23,6721,4075,12118,6137,4545,3683,1477,19853,17468,3449,10314,18022,7013,609,12261,9823
24,4410,1971,197,15847,10638,18116,13897,15890,12628,6422,6205,5271,8741,11152,13705,15633
25,13695,13357,4446,10387,2787,19819,18909,2840,13096,6800,18477,12788,602,19578,18433,3072
26,11177,17176,1334,13448,5587,13818,19638,7708,2918,12648,2845,10479,16382,19398,6258,4160
27,6385,5333,17269,4734,14814,9414,4631,3458,16826,14445,4888,8797,16202,3876,10580,12769
28,14056,15045,14432,11088,2521,16256,824,10774,10217,2918,4543,12348,8613,15490,12772,19226
29,16804,2574,2437,5453,8129,4463,4246,6751,13506,1527,11230,3483,10631,3351,18257,2134
30,8094,15869,5107,13695,16974,770,4817,4932,909,19139,4859,10535,15431,14325,7521,9117
31,5678,18280,18709,4392,19761,6933,19045,5187,1223,16226,10625,475,15959,7725,18626,9516
