"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015","sim_016","sim_017","sim_018"
1,10307,12520,3632,12502,14577,5859,10170,652,17567,7399,19207,12111,12554,11411,3410,8458,8940,6824
2,8555,10342,4468,409,8862,14438,6092,18286,4887,16250,583,12026,9264,2908,17632,16359,10955,18620
3,17215,7594,5836,16654,8798,16516,9301,16989,1579,4481,8392,16142,8182,4548,16987,12439,12063,17377
4,11407,1995,14071,1869,18764,6544,3180,15535,6356,16618,5073,4089,7858,12606,7186,11341,17942,4553
5,1194,19370,18432,7242,12462,3903,9293,15534,17633,10351,10370,2295,5442,16490,5029,2829,12991,3519
6,11046,10575,4299,13629,4500,13581,13736,8376,3910,19142,6179,7347,14608,11933,14716,9760,6690,4974
7,19609,3610,9131,18720,5069,5910,16660,5309,2317,8035,2727,17393,7020,18830,6783,18600,19487,10338
8,18063,17825,18180,10428,16199,9521,14990,1324,13238,13340,6418,16898,18591,5163,5823,408,18994,6764
9,9043,17067,3447,279,8546,4304,11270,5392,1417,19978,968,11704,7466,10615,585,14331,17026,7044
10,4786,5315,2427,689,12687,7664,145,17890,792,4137,10004,4820,6518,12130,19564,17037,4755,19190
11,8148,1185,15371,574,14455,10309,15045,1913,12601,11324,16646,3945,8380,12898,18108,12811,9644,4301
12,5915,11484,9670,4455,1915,17849,2888,7766,13624,4274,7313,14123,9007,11347,11824,6118,4925,16897
13,9406,19930,15923,6584,6883,12206,12483,19292,6421,17565,10636,9354,17416,16396,19738,15559,17347,8990
14,5471,18415,9685,3454,12189,13305,15488,10923,7064,5504,824,10725,14543,6440,7836,13894,2986,17583
15,17121,1107,4924,18815,12430,12826,681,14743,9285,1099,7191,15070,842,15907,16661,19199,10780,17375
16,11899,11747,7282,12928,1557,11883,10759,9264,10412,6671,17330,6771,13641,15402,18221,18220,3308,3995
17,7103,11789,17235,19405,5467,19145,17287,16233,19073,13947,9901,15755,6505,9548,2718,11020,540,1832
18,15931,17166,3264,15182,12074,6523,19701,18102,10300,3193,5007,11602,7098,5458,5672,501,13042,6092
19,7474,12363,6730,10578,577,15459,12361,2400,19915,1913,17384,17617,4577,18456,17001,18768,13410,16945
20,888,19616,10767,10114,1972,16765,4011,15821,16962,18601,12729,9275,14458,11793,1317,4886,11179,369
21,17856,17026,17228,16018,13120,10975,19923,9843,16680,18110,9332,8508,447,12065,4500,15343,18857,19170
22,8274,16680,19587,15567,10568,5456,3576,19478,11573,16706,5329,890,1846,6938,7946,8452,11110,10866
23,14570,14333,4520,6269,4760,611,3471,4922,1839,6248,14356,13490,3842,16185,9630,10799,3146,3150
24,12431,3705,10115,12900,7396,9196,14878,9162,10238,13407,178,16556,14737,10017,17805,6704,18623,5663
25,13485,14044,16521,5792,12816,15624,14631,14113,100,11086,10850,17940,8501,19670,18316,18853,16363,12432
26,7703,17773,13606,18586,13564,15094,18766,16935,12068,9648,8922,19093,1993,13389,8362,9949,6459,6651
27,17519,839,12516,16133,16115,12166,8651,8139,7273,15458,11253,13328,10810,7698,12866,5911,2850,19442
28,12565,8226,9163,16167,4159,18870,5329,11995,12509,12291,9374,1948,13282,856,17893,11085,3333,19570
29,12636,15300,15181,10237,18550,12247,3913,6794,17097,696,18560,9465,2279,3904,6567,10670,1465,3129
30,6543,7459,1599,18553,2659,5507,5412,2444,2366,13881,6736,13758,13003,5465,18087,13403,3783,9127
31,4902,16910,8590,16529,19400,9379,11534,15035,19196,2135,1481,11223,1907,4448,3030,4873,11683,14680
32,5763,11670,18204,1155,5545,6980,16170,13782,19738,11963,320,12820,5338,1252,19475,653,16110,3118
33,16756,12075,1855,12738,6698,19270,277,17786,6078,11876,2469,12999,8664,16969,9358,609,3425,2483
34,3439,6608,18429,2060,925,3063,8419,2487,12428,13853,7530,13084,10829,9463,9200,6482,6922,15041
35,17290,17186,881,10536,5692,19172,9818,11569,7818,18617,9760,11008,14276,3208,5800,18013,8862,18526
36,10832,1956,17571,18752,19432,3736,17104,18876,4650,5729,10564,3564,1176,8535,5195,5055,6410,14885
37,8303,17739,2759,3011,10866,11774,10833,11447,18050,19552,9787,3275,7262,6862,10387,19340,19195,17542
38,13330,750,13405,6517,12957,11882,15094,2463,18101,15167,8765,16483,10377,1469,10363,1387,10004,11787
39,9070,1588,3986,13211,11889,1921,12370,7188,15342,15844,17557,15214,14415,14049,6337,7023,9735,2311
