"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015","sim_016","sim_017"
1,13349,6261,11063,14596,19070,17264,12435,13796,9744,18948,17800,19381,1796,12759,9373,10479,4833
2,19369,13005,19510,19844,13140,19972,18931,19256,7865,17547,10856,14349,924,3964,16367,7573,5374
3,7652,4074,14873,12069,7646,4209,1751,10508,7043,4958,6529,15278,6897,13946,15526,15626,12382
4,7687,19557,6304,1214,7772,14158,4051,4562,6242,11574,12496,5343,3735,1725,12136,16535,14002
5,4387,13540,9676,13236,15520,7301,17548,12747,11582,15000,6260,2810,1254,16367,10828,6095,11056
6,3779,11374,298,15428,16820,18738,8930,5383,13482,17208,14929,17369,19273,8213,4246,4737,12737
7,2780,13695,11748,2657,10062,2401,14838,12636,5384,4577,15895,11370,7288,8048,6916,5236,3653
8,15183,16190,18207,10828,16057,8197,15577,6602,5080,14090,8577,11878,7019,19663,17965,4333,11280
9,12141,17102,14646,17078,12917,3607,5893,18428,12320,19196,17890,15653,5637,616,9235,13575,10446
10,19033,14305,3510,19758,7883,12051,11712,8690,18261,17895,388,17593,18184,8756,12350,152,5055
11,1738,11823,5961,3609,541,17638,15918,1231,6828,9322,2426,13556,9514,19886,17543,5220,5801
12,15655,3803,2343,8141,6608,7190,16912,3826,19846,6324,125,3798,5308,3297,11175,4105,5732
13,1399,17151,552,18511,14397,17935,3113,11734,7630,2382,4634,11120,2663,15633,1340,152,12540
14,16129,15054,19269,781,12416,7856,17736,6136,5485,16827,16423,899,11428,1746,548,6388,19934
15,2443,15854,18997,13576,7108,3781,17939,10402,15908,10644,8973,9208,9542,19688,9449,13216,9581
16,18527,17747,3925,5840,1612,3097,15430,5337,3493,11907,19791,10586,16814,17471,1678,7103,11490
17,5215,665,18428,16792,8801,19492,8975,6958,7040,14738,3126,7424,16680,2220,11385,1942,2127
18,1534,4900,6227,4805,10177,7854,4808,8587,16650,701,6256,2636,9121,1001,12145,18755,5093
19,10900,9724,785,8115,956,367,15085,7176,3476,5306,4487,18395,5074,17293,11769,13513,19606
20,18381,19450,8023,15411,1831,18280,13028,17160,13922,7450,8664,13672,11393,10611,3836,15786,18595
21,15192,5491,14893,8642,7133,15781,4134,8561,520,6860,6180,7735,10504,12081,573,2753,10546
22,17079,14159,12479,10738,3510,12863,541,11904,4712,13255,3803,13079,18604,11619,17200,725,18620
23,3805,18037,8673,10985,4674,18132,8123,14017,17067,4137,19411,12524,11507,18474,13939,14583,11935
24,11815,6946,6180,3637,1840,14285,7487,12612,8872,16919,14008,13056,3171,8190,4252,8466,9428
25,6755,3315,11985,17136,4917,18707,825,4834,17539,5524,10922,17387,16805,4964,12173,8505,17858
26,12629,10077,3519,18035,15106,18141,6989,3478,7462,18912,17313,6169,15222,14163,14911,15682,2956
27,10450,13195,4249,1012,12217,12539,19698,6589,18904,13606,832,11661,8135,15806,1947,18060,7041
28,14936,12474,18868,4457,15767,10251,15326,16606,17645,19582,10117,14917,16869,18164,3015,11510,19349
29,12753,17536,5634,19950,18767,15243,7524,18699,9671,18782,5326,14631,9391,4246,2967,7236,16646
30,15617,4785,15552,1488,5819,8341,3154,12791,5668,6289,7706,3528,12295,15273,17222,6608,18797
31,9932,16524,10453,16374,19295,3014,13354,2479,3529,5624,9249,17550,7814,16901,6898,16475,2840
32,1712,958,15445,8469,19815,14525,17657,1806,7291,5778,14529,17103,2376,12730,18069,10961,2074
33,10534,7047,19033,5915,12592,17863,2720,4336,11198,13546,12868,9550,14420,12693,6230,4769,13075
34,4166,13046,18354,18448,7268,8305,8262,18729,2003,2731,16194,5504,7706,11578,13145,11765,5398
35,2503,13256,5507,15180,17002,18871,2291,1025,8781,15213,18388,7185,7398,13695,18221,5061,11704
36,18499,13355,4046,11544,7791,5479,8733,1368,3533,14612,1839,10537,18070,515,6789,697,12965
37,9590,19002,6190,14462,4674,10904,9643,19415,15524,14137,239,11619,19046,19932,18471,18948,18243
38,14964,12829,9663,16841,13677,6382,5983,7085,7838,5727,14794,11182,17396,11415,1872,17561,6849
39,1137,2908,18008,1631,17263,19974,11981,8498,565,7887,9467,14850,10315,7157,6856,4825,13007
40,2084,4158,11829,3837,647,5523,13086,5893,5240,19204,1147,8911,7511,3363,15571,8689,6601
41,2810,12586,16412,5288,18699,5740,4227,12023,10099,2478,1210,2541,11940,7008,10110,3877,2305
42,16833,17254,10857,15911,17827,15327,8506,12668,230,19645,7018,18809,4499,2327,13520,7566,14377
43,19603,12054,2756,1095,12029,6523,1940,5205,18633,18488,13147,2894,8562,7091,11950,8926,17802
44,12279,2241,17411,10481,12963,4015,16492,6476,17700,5725,3814,15239,1744,1902,3963,3558,2774
45,9777,13099,6240,10493,2901,5188,18768,4061,924,6219,17435,4824,15133,12663,864,14190,7323
