"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015","sim_016","sim_017"
1,13315,10163,6937,10710,12500,1075,6143,17322,18068,19869,10376,8907,6031,11340,12199,13816,15542
2,11901,8350,6843,4132,19576,17894,735,8649,4617,3959,2845,7497,11170,582,16603,2996,7993
3,14973,12925,14148,13216,6980,19524,8908,10421,14062,1389,4502,5929,18387,3026,4100,11619,2787
4,9637,198,2865,19952,18562,14149,7255,17079,11467,17361,11583,6737,18947,212,12368,759,16988
5,1411,11963,9651,17896,10643,19072,4075,10957,16136,15147,873,2557,7219,2302,16687,5346,6394
6,8473,4102,18311,4212,9831,12960,1480,11945,18203,17207,13292,16094,8811,5832,2293,9161,1274
7,14304,2055,2324,18735,370,6051,15050,3796,11869,11819,3663,5651,12447,4130,18263,1599,16326
8,3821,10198,11875,4095,10590,331,1546,3381,12964,14060,17634,14417,6240,17335,7915,7109,7573
9,2417,18192,14808,6619,7845,3766,19524,6556,11122,7641,8628,14349,4928,7550,16113,18988,16115
10,11563,17122,13160,4798,2368,8875,10408,15442,12575,19224,5218,12236,15783,9660,315,13058,17087
11,17844,15054,18631,3447,2916,16154,15611,18282,12589,3873,6354,19946,15119,12404,4402,3457,16676
12,3489,3045,3916,6964,3613,13930,6462,19415,1995,7924,6963,14653,7517,2689,19148,13387,11442
13,7745,15707,15760,15056,12484,4135,8529,15350,3712,8638,7532,16217,12947,14298,15088,19742,7963
14,14880,11329,3496,15084,4847,15114,524,15980,11520,19120,5013,6993,1483,6831,371,6974,18174
15,8182,9254,12480,14534,4698,1075,7740,12753,12504,11905,11496,7952,14307,729,4084,4089,7735
16,2264,10854,3024,8529,1165,8535,12285,740,3606,18483,7084,14397,14639,1607,8260,979,3166
17,9577,14740,10806,19933,1631,2261,9592,11600,4819,17301,2785,3806,16643,17894,2526,7615,5948
18,8169,6799,16214,10343,14297,4725,12520,13479,19656,18589,2200,2463,17727,14241,14498,3038,512
19,13636,15463,19512,2223,4096,8979,13565,15604,19675,4894,2064,18698,6739,1196,16143,14242,15726
20,11367,11234,724,11827,1306,7561,13909,13632,5422,19466,14373,14839,12633,13770,13025,9210,5894
21,6511,4132,9802,7348,10921,8842,3202,3062,702,15495,361,8457,10844,1480,16704,13575,7784
22,11925,3660,14104,4308,10889,1515,7232,5201,10450,2229,13674,13732,3693,19923,7886,3534,14244
23,4007,10249,8741,12079,8341,4089,5945,16501,12815,4352,863,16405,18444,14925,18124,13873,6210
24,8951,15205,10880,1814,5656,17442,15684,17587,6257,10537,1659,17151,7067,8776,13965,13516,10483
25,19494,13170,9543,7552,9064,10935,1085,14933,9655,455,18762,4233,16977,14665,16272,1067,7518
26,13749,3087,7314,10607,11528,7986,2266,482,2846,8863,10854,5081,17622,13224,14764,104,11188
27,7336,2043,12232,12769,12796,11611,2492,4368,9039,16099,4692,12078,8371,18699,9955,18959,5522
28,16073,8452,3213,6947,1176,3564,6812,19742,4841,18603,19490,13506,19151,10907,18483,3699,15335
29,4032,16346,2483,2695,14332,1493,5153,8672,5178,17324,7790,10679,1566,14790,8738,14099,3716
30,15743,2349,8216,2756,3354,11590,8057,15192,2222,4714,539,558,2804,9258,10243,6708,6715
31,8136,15130,3381,9256,12634,7295,8757,1941,15741,10858,18474,1095,12767,17626,1106,8280,19217
32,147,2476,9381,4972,14521,636,8678,16482,9691,5750,3008,17819,6147,2616,6873,12006,18092
33,12994,11103,6035,19865,3936,19510,15559,14159,16684,14986,1228,651,13916,1267,13237,7454,5681
34,6263,5122,10662,2905,8298,9346,10452,9059,2572,7202,18127,11837,19446,18851,3357,5758,7550
35,3530,4471,12163,4890,5194,13534,227,8468,4164,18996,16565,1519,5866,1582,12189,5977,6625
36,5100,12627,18686,6602,1438,8022,5670,11717,10023,1356,9204,4966,11109,17760,8576,15604,12658
37,2025,3445,583,14546,620,13022,17926,2900,16668,14303,16272,15379,8904,13122,13945,107,2090
38,231,2044,4341,228,19958,10708,15479,11322,2101,15346,12432,8603,6874,5311,14611,18319,6811
39,11862,1820,15674,2548,17094,14827,3447,19109,15312,14679,1976,10429,6545,1046,7415,3854,14454
40,7106,2003,1309,9417,14848,6631,7419,10463,16516,14579,10787,11852,10420,7366,16081,7860,10140
41,19138,10380,15825,18101,12494,19144,6599,1748,4271,5776,2585,11099,10839,2377,1671,2354,12632
42,3327,4478,4689,7346,6271,15504,18791,8480,19044,18584,19984,14714,13784,3577,18208,15085,7910
43,9190,1210,9671,15757,10490,9507,9415,9742,11137,6707,5143,1021,6051,18001,5721,19274,16593
44,9805,9797,13429,12020,8998,7337,538,4471,15929,15177,5804,703,14104,13058,19689,9075,3870
45,17700,3709,3886,13103,15659,10112,11726,19362,14502,1654,13126,18478,11708,3394,18310,12088,17396
46,10948,12300,9718,9758,7643,9899,13823,3240,8835,7816,15095,19665,14396,18402,11868,13718,1597
