"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015","sim_016"
1,8546,9539,15978,9458,9978,4616,14519,6029,1920,3772,5534,4668,10725,11250,5063,18240
2,2528,668,7018,12425,7798,18966,3965,14239,12689,6563,10178,13869,2623,5494,6989,9283
3,3324,3206,10545,19816,17608,3117,1954,15824,4869,15007,13883,4291,17752,18226,14708,18063
4,10373,15309,7277,5181,9823,16610,11736,6759,17887,3550,11637,12157,3978,9608,13294,12137
5,2863,2830,15341,9543,9403,2218,17046,17241,9928,5949,5737,962,18819,19336,4693,13872
6,10464,336,13071,14919,5962,4638,16826,4344,10046,14874,19609,7518,17197,4732,18649,15203
7,17026,16750,19046,6151,18661,19219,17968,7183,18022,11356,6197,5591,4423,15031,18214,8765
8,17749,11408,19009,12139,3320,16379,11562,387,11913,16862,4502,3808,15720,12685,2630,18321
9,16721,1683,10702,2288,12272,19624,18096,6370,2856,988,14408,3062,10862,18903,4009,1779
10,10981,2512,8013,12102,6036,19414,9319,18685,7031,3575,4372,19002,8595,9886,9535,17772
11,19767,11966,2986,10784,13978,19427,7626,4332,3174,13320,8512,17297,6031,17314,1864,13575
12,5879,12465,6753,16892,19535,13056,5919,9806,3219,18947,2756,7739,2759,9782,3377,8782
13,329,7912,2458,19524,6234,18685,1506,18295,6854,9462,3265,8367,18455,7353,19732,15942
14,151,3009,6141,10004,1838,13552,1317,11020,7860,5028,8837,4320,19523,7462,9437,5700
15,2801,19979,7929,11742,16791,13599,11912,12426,19153,14903,14216,3315,8287,13585,13913,11883
16,18495,8375,15381,15860,7147,6819,12678,15677,4207,17758,15476,2499,1735,10507,18056,19871
17,745,15077,19436,17279,19097,4172,8023,4470,16803,1292,1619,7461,18147,386,17393,19417
18,15970,839,15037,119,14748,18540,19440,6710,10914,3679,10206,6785,15834,10083,2606,3903
19,17855,8005,878,2189,17569,8135,6233,18188,3706,6513,5199,13259,2677,11701,2482,10155
20,829,9268,7955,7457,9093,14396,5275,7985,6816,19760,7145,9898,12714,4314,463,691
21,14069,17436,10380,8756,11372,9524,1757,15686,8549,1730,13921,9465,5226,4008,15266,3533
22,11943,16547,13544,9346,4944,2578,2847,19121,16572,3530,16808,18856,10009,2137,5060,7480
23,2838,417,1244,7046,1882,1062,18992,6959,5400,219,18929,15362,7466,1483,5367,4429
24,8191,18632,12919,4321,8184,3048,7428,8259,8402,878,17833,13674,15880,13193,11773,5850
25,2498,16179,16095,3107,11254,14900,9714,16623,4314,7953,4770,3397,1853,3307,17593,16775
26,1773,17026,7654,10533,11072,16216,11559,19808,5786,15393,1098,1350,7878,18288,10695,6824
27,15672,13332,1958,11135,8454,19125,6232,16112,12541,16602,4048,13184,15244,19846,7397,12845
28,6525,17650,19628,17804,16654,5144,12574,19231,8702,9709,11544,16395,7632,12721,16661,10885
29,18905,885,6701,9392,16702,2356,6133,18899,12911,4493,7132,6824,7379,15977,1383,5346
30,7298,5576,11658,13107,6446,4147,7307,11874,295,466,2647,6435,11484,6792,10325,16360
31,3380,776,19006,12989,7660,19405,7996,7643,5891,9680,9534,19839,6196,6963,9277,7450
32,10637,6753,15916,948,18002,16570,9393,4635,2114,7150,4154,5999,4290,10213,17153,398
33,13057,14970,18914,4098,2450,16445,1483,3889,19779,16863,16607,2387,6346,9182,1224,9412
34,3239,19140,18899,8955,17986,2453,18677,18441,4716,7450,7370,16072,12800,467,10582,6261
35,2378,18847,2124,9736,1433,15439,15988,1500,10724,7791,12422,16415,14455,342,8174,1573
36,12947,4549,12163,9974,14035,14537,2918,10190,6411,16422,6722,12447,10589,12866,16379,14774
37,14665,3861,15961,2970,12160,8721,10992,10559,19416,19555,2895,8414,16277,1491,1157,830
38,18105,18304,12608,3635,2992,15004,7221,16498,15073,14794,4252,12730,15457,5547,18152,1877
39,5985,9019,1741,10697,10021,6605,1772,8871,7125,10714,19381,10183,13557,4339,13424,15902
40,18813,13855,521,7759,2067,1357,3225,4969,14441,9475,3548,15106,3679,10568,10526,2223
41,11949,8380,18633,9231,451,2052,10821,12838,19553,19846,2253,17445,11192,10831,3285,1898
