"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012"
1,6357,12164,11008,4526,2046,3479,2450,17321,8449,7747,9881,13169
2,6963,9128,9875,11300,19833,4439,874,16990,17134,16612,13840,16579
3,16185,12495,2358,18138,18823,13282,1000,16566,3222,12453,15971,5939
4,6603,5966,2725,11531,15186,16935,19266,2113,12631,3953,4606,11939
5,19880,3666,12383,8562,6599,19935,13374,11233,9081,3165,18118,13533
6,12309,1843,6232,7345,3694,4714,3876,11696,15151,4940,12708,8071
7,17684,7564,17635,15642,2808,12619,15566,9675,8738,14407,10583,16353
8,10614,19975,17820,17033,7029,4229,4928,16320,2375,19972,15818,19906
9,14113,11285,19349,14859,7043,19078,5853,7289,7371,17729,9502,18813
10,2053,11087,2412,10419,10609,3236,15437,16716,1633,9025,15114,15755
11,8835,16493,5693,17031,5675,6450,12786,10611,1382,831,17401,7549
12,18852,6450,7845,9801,7213,12727,19447,12185,9275,6966,5369,11493
13,5090,4715,13124,9762,5499,13065,5831,5329,307,4174,9732,11334
14,19114,11008,19590,16004,14084,13634,15297,12667,3880,7798,2757,11748
15,13232,15127,10853,17897,9887,7882,4459,16562,17878,16865,9028,10433
16,706,13734,339,12520,5604,17777,3516,16859,5567,15017,13215,8036
17,18187,5522,9807,13173,13363,8307,11588,1210,14988,15799,4864,3489
18,4509,558,17238,11224,9668,11160,3621,458,11735,9519,6083,11528
19,19542,3176,2459,11939,13121,5753,18633,1519,16218,17138,8975,1856
20,10123,18890,12077,18125,1547,5940,3882,1606,15830,12173,6667,2267
21,5141,12209,9637,4993,2955,2918,16778,2530,16466,5952,3298,16709
22,14403,13488,17399,7419,19196,11919,7417,239,15576,7172,15779,7426
23,4331,4343,3541,11905,5280,7023,14805,9474,2256,12720,10287,8501
24,19031,11033,17464,397,3635,11294,2689,19483,18628,9552,15889,18941
25,16043,13157,6960,2092,9720,7290,11786,2927,10814,14320,19573,16269
26,6211,4157,3330,19533,2441,2599,7954,7626,5583,6027,18152,1972
27,10457,4504,17327,4218,10999,1801,4965,7307,16533,13676,7977,6293
28,10698,13489,11531,16931,13001,9697,5808,16749,6944,4196,13466,12271
29,1303,13736,11042,2002,19731,4614,5959,16194,8439,4267,19680,5540
30,19354,7170,14887,15938,938,17548,7060,15275,18649,19414,3296,847
31,8667,572,11272,1573,3135,5682,16107,2564,18366,18612,2849,4038
32,9440,8404,17006,2289,9021,2625,4256,7970,15684,19624,10534,16813
33,6710,12311,748,13932,18492,18588,16034,2932,6631,119,18249,19459
34,5319,9165,6393,13268,9006,643,5787,16225,4333,2691,19112,4708
35,18964,12526,18232,16148,18968,17577,8583,4483,356,18047,2645,9205
36,6510,4862,1029,17256,5883,6796,16549,14896,5752,3244,13232,15576
37,4867,5430,10430,11636,9720,10333,3227,8296,14423,10479,2134,13883
38,6229,1559,4768,12813,14024,10816,13924,2606,2164,9657,5747,4209
39,11938,9038,5847,19303,5451,6663,6270,14120,12073,641,8920,13573
40,4103,9550,9337,12410,4683,1923,10656,3781,14003,19435,10294,18154
41,12546,4683,201,5801,9591,15015,19762,18311,10235,4147,11347,17577
42,210,11968,15291,13389,15307,9145,8445,16589,11280,10824,19707,7927
43,17427,140,19445,9241,9446,18052,18278,108,15996,758,12599,13379
44,8878,19249,5390,17211,5816,14258,5949,16628,16549,9075,14531,19008
45,5475,2455,3501,10203,6100,14771,19845,4139,8547,11460,4969,6711
46,8478,5927,3108,9799,6744,3887,14869,11471,15575,3379,16280,8205
47,18814,13676,8223,582,19397,12567,18605,6319,18566,3181,16567,2910
48,18545,7665,9843,7561,6845,16856,13566,16528,6702,17108,19519,5930
49,14743,2293,16002,9223,14416,8405,6290,18843,10561,12072,3326,11733
50,5765,9485,9777,15551,1532,5309,5377,18871,5999,17735,3668,9813
51,4453,14405,15075,14697,6315,4325,15766,14487,16906,10916,15074,18056
52,2191,2006,6780,10107,9975,9777,1941,19911,4621,8465,17446,15756
53,11718,5054,7083,8687,12572,19104,13769,1723,3413,2221,4710,19752
54,9075,10085,10460,18021,4432,2809,19861,9150,15235,9551,6677,4360
55,13852,19397,15247,3918,9775,7515,13583,13838,18048,2908,2002,16671
56,692,12689,9484,16465,15972,3306,2328,233,12601,8475,6532,9644
57,9962,14517,15860,4671,14573,7229,14093,2625,13279,11812,6803,12885
58,8696,11675,14007,15392,17073,13956,12308,2033,16475,11591,7731,10427
59,11499,2028,1383,19229,10404,15772,18058,17063,1337,13215,10477,14988
60,18432,19267,3387,12970,16039,18260,3602,8417,12400,17545,365,12044
61,17072,12771,16861,4952,1068,17567,16037,11033,10126,3893,15052,7639
62,2351,14151,10881,2580,11763,13160,14697,17564,13699,14471,11422,856
63,8338,13968,933,19008,3116,8650,9335,9808,17460,8943,12212,3686
64,6997,12534,12936,9306,2122,15353,16478,19895,12446,13320,9492,2311
65,13205,961,10676,1505,14132,5786,14321,13215,5798,8799,13114,2407
66,2954,12668,17090,13152,18371,6415,4860,7374,5397,3518,12259,5477
67,384,9437,7763,12069,4567,1337,10244,14845,16317,15162,4073,706
68,1903,5241,3313,13131,3064,2226,18459,452,3417,11036,7576,18647
