"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013"
1,17156,5463,13824,14780,5728,7694,18038,3188,17385,13061,11936,19478,19976
2,19604,6101,9175,19938,7540,6749,17016,19085,15959,12897,2238,17585,13703
3,3894,2880,7590,7559,7056,17516,16683,7118,3109,6260,708,15092,16160
4,17049,7235,18936,7192,3726,4534,2275,12519,16320,15150,6743,9729,6212
5,8936,11919,13583,2531,17451,5293,10615,1306,10502,6155,5591,9232,15159
6,500,513,147,8972,17390,16827,3664,12257,11968,13357,9869,4503,682
7,9525,1833,13189,252,8792,3881,11215,12981,10453,13982,12371,6559,18891
8,1565,5733,16716,19763,11773,10412,2913,19391,8599,7615,1624,2648,4587
9,13113,2534,7089,7901,14409,13753,10535,111,6587,10537,2992,4684,17004
10,12763,6798,10997,5579,3220,1517,9655,6117,3294,17994,4058,2045,15934
11,18783,17327,17385,4109,4151,3683,8125,18720,4369,7029,10978,399,8352
12,19716,4788,4326,2256,18341,8586,1652,18358,16905,16900,19546,16104,11956
13,8227,4338,13182,15962,16664,4995,14545,3515,8729,10210,11873,14735,15841
14,10555,4252,19726,7218,3556,11353,8984,11312,15682,5795,3842,19617,17095
15,6006,17567,18755,16657,8676,9594,8490,17101,4822,9902,6792,9002,9739
16,5665,8554,13119,18185,14860,1301,19223,6673,15852,3439,8507,6750,5301
17,13595,1997,19245,2016,3466,9169,7266,8438,1544,5349,19156,18644,6051
18,12653,10986,12384,8572,5209,14251,15632,5420,6748,3948,18823,9921,19874
19,10130,17290,9695,3958,7541,1774,4194,7223,2925,16857,2988,13821,12193
20,18529,3057,9412,19738,112,19546,14367,6195,11022,8493,5166,11693,11358
21,11769,17345,16888,16520,6870,17595,7584,6813,13272,12303,897,15858,17966
22,3390,9545,15417,14323,3237,12678,13680,7600,19821,7199,16611,17034,8453
23,764,2065,17162,17782,7211,17108,17977,19681,1575,13303,17464,7469,18728
24,16878,15100,6871,8573,12843,18594,14980,4422,18964,7820,9560,10807,739
25,13819,2652,16493,17565,7432,16588,15404,18642,10587,11065,19904,12917,12983
26,9669,19285,5340,2325,16671,3197,19792,242,10745,12109,182,13132,17288
27,18179,5610,10486,5431,17633,9620,120,10932,14591,17754,2111,9017,19877
28,10927,11589,7515,18312,19222,1405,2982,458,11485,12223,3786,12300,11364
29,8136,2690,2386,1696,5993,8943,8596,11117,3796,15911,18735,19941,18739
30,2785,8224,10922,1579,12002,18494,1923,3857,5706,7531,1562,18969,6731
