"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014"
1,14385,9183,2028,6044,14048,13086,232,709,17812,12343,12256,12838,5012,463
2,1541,11886,4235,15088,9823,3082,1731,7164,1393,19675,17688,5131,14751,5995
3,13347,9512,12730,1485,12777,10754,5892,15371,3897,15047,16449,9089,3216,2729
4,14603,15543,15265,8964,13397,7316,11179,18397,8903,18687,16703,3415,615,17737
5,1915,12429,19242,3706,14542,608,9249,6702,9206,5470,15767,3854,13915,4473
6,15025,5988,4896,221,4846,14616,11785,5634,19269,11061,14247,7530,9039,10554
7,1575,12267,562,342,16562,7647,3278,18755,9499,6136,15448,1469,5136,1304
8,16612,14509,16226,5033,8858,17847,10101,7305,3698,307,413,17636,160,11664
9,3270,17249,7040,15836,4486,19128,3081,669,2165,8442,6511,12824,19826,15229
10,18909,9867,5173,9473,3715,185,11459,4381,2803,18425,2366,16581,4713,9455
11,15177,11092,14469,15406,2944,5035,4193,11961,8516,9261,13307,8418,16620,10871
12,18640,10140,5017,2582,1168,12815,17807,5476,8857,14039,12123,10911,3919,14939
13,5852,19552,11352,15225,7476,11337,8436,10039,8331,2444,11649,17878,3664,5576
14,4054,1186,10016,682,14871,14748,19509,11225,18639,15020,14112,6174,10997,18162
15,4525,12207,7726,5960,13479,18620,423,12211,8484,8953,5708,3380,4585,6090
16,10844,6236,14040,11939,19822,16942,9669,7265,11834,4981,4855,18870,1624,17334
17,12508,110,2859,19302,18920,7156,19054,12174,9578,5193,12695,15232,18334,17340
18,7586,7924,19743,6095,6487,11287,896,4651,11226,19511,9043,2554,19494,5518
19,19482,4357,13821,3371,19604,11671,13657,14076,6765,5569,1042,2286,1026,17406
20,4513,15809,7287,8539,11879,9520,9150,3243,19819,17881,8077,10784,3301,216
21,19140,13044,5835,2898,5250,11604,12030,964,9163,1761,1215,16964,18208,9783
22,7593,9082,16994,5887,13260,2907,9065,5551,966,14674,6146,4680,6169,9110
23,11384,1528,10363,11766,15370,15945,12319,3325,8229,7955,19862,2114,18149,9533
24,2885,800,14644,257,13408,11291,9620,4811,18091,10961,8537,13689,13489,11624
25,120,10296,2815,10536,16285,10302,16748,2862,8997,11910,16642,15690,7040,17214
26,19440,4890,19700,15812,4576,11648,225,10973,12447,14161,9595,15716,7292,10448
27,12430,170,11612,12234,19435,10343,8589,16458,18644,17961,328,14250,9294,7887
28,5835,2236,13442,5998,14467,15008,13545,17166,15599,1321,9538,12709,11120,19729
29,5703,17713,18552,19877,7238,15499,3533,189,9846,18564,2805,10035,18120,18109
30,16829,14337,13693,7223,16561,10678,707,3177,835,12861,14423,8271,5589,6703
31,9495,12207,1286,5568,2177,17780,18950,8468,12683,19119,12209,15471,10558,17212
32,12542,17597,19699,4051,18000,17080,13036,5315,12345,12570,18330,17751,19459,10160
33,16647,7983,5513,9296,13315,14573,16544,2984,17659,10755,8077,11218,13461,4194
34,4417,17234,1709,3530,9084,17325,11624,19280,14305,18061,3007,2796,18935,4926
35,4544,5655,6707,5191,13176,15345,5357,18868,16416,19693,13821,14199,9225,18581
36,18950,956,17237,19595,9170,12528,14472,6846,9409,19473,15390,15823,19045,10480
37,4089,6050,7858,13749,11861,8091,7666,12224,655,9824,18749,6664,18534,6671
38,15312,14520,2330,15470,19398,962,678,10657,17912,501,413,12524,9082,16081
39,6022,6181,7025,9489,13740,12073,11235,3124,7144,18636,1087,10200,773,19126
