"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015","sim_016"
1,17150,10574,17645,8995,13320,18078,7588,7102,17736,5370,5203,916,18053,4079,1123,13698
2,15957,15223,8022,17602,10570,14219,934,19657,15797,18363,12177,7819,356,15660,18098,3364
3,3155,5274,1673,15444,16146,12405,8305,603,15989,7507,5898,3939,8450,12002,19313,7088
4,16198,12998,13183,18002,8741,16388,5055,2417,17916,13454,16071,4074,17212,14929,5885,13249
5,16717,15880,16324,19240,19078,4190,11731,10868,5016,17598,13073,5359,8154,5708,13597,10402
6,3833,2354,12785,6815,10244,1661,3933,1825,14183,4380,4689,17543,7617,19646,16969,3223
7,13995,19865,3965,7082,14183,11359,18038,7483,12178,15070,1042,17917,10033,12030,15215,2538
8,17530,4844,1461,6193,2431,16910,4823,14421,13259,8779,12997,5906,14258,17117,10423,13764
9,10750,12354,3719,6189,17522,9175,1602,19607,16911,17292,7382,3014,4834,12162,3143,19672
10,10159,8546,13661,3784,4119,17171,6938,19779,5748,6756,17369,2772,17209,8423,13371,18506
11,4271,5756,13707,17199,16027,14452,10746,16414,4166,16681,11083,18299,18112,14311,1965,11244
12,1312,18808,7709,7368,7482,991,18377,8345,7346,5923,12253,19935,1383,12440,2715,13993
13,12433,18438,16815,13734,109,17715,12020,16410,6626,1043,7785,8248,6558,4584,14580,3438
14,3804,3045,679,2677,19347,8914,16367,10037,15908,18527,4396,2522,9609,2634,16665,15633
15,18980,4118,14161,5018,19833,17131,9035,7271,11720,11272,17187,13586,10672,657,2936,15321
16,19772,17359,10758,19909,18267,13603,8108,5492,614,11392,16225,6132,10314,19007,10114,19556
17,10044,9622,6483,19534,14709,9190,10571,17666,9211,1221,15890,7770,2145,15295,2711,15178
18,13367,16675,13253,11195,3727,15700,14976,14554,1978,9588,9211,15792,17530,6028,12165,13979
19,6954,3904,13399,14851,12244,12422,6864,19439,8473,19847,15349,9002,4199,4435,7907,18345
20,278,10423,9788,9021,7913,7343,3206,1359,15346,13225,12574,14910,19693,12324,16046,13611
21,12078,18830,1734,8903,13822,10845,8042,10858,1697,11095,3236,3054,15334,7744,2541,13140
22,2438,3856,18571,8486,7912,16974,16940,11051,3891,2309,1385,16192,18846,794,10310,19515
23,2828,12736,14326,13460,760,6634,1279,2632,14386,17344,15090,15684,13810,1146,7183,2430
24,1445,14015,15110,5268,9515,16395,111,15026,17359,17043,7124,3840,14779,4334,14008,3542
25,19846,11910,15434,15636,7377,16693,2533,3310,9659,2525,16543,14915,12552,19314,11667,3111
26,15391,18312,19426,949,9655,16851,14072,4942,9277,6419,8601,16956,11972,9604,13573,18752
27,6149,3914,8178,1977,14340,12661,9731,2829,19231,12515,14854,311,12834,957,2188,11783
28,17342,2071,14644,15069,16530,1217,17614,1566,6854,12357,9553,4961,6353,4557,17086,9389
29,8406,12343,7032,8305,10503,6797,9132,13681,4331,7620,13625,1676,9285,3675,1780,2888
30,17448,6874,3844,988,1154,10948,13140,13095,19507,19634,13322,1395,13820,8938,2308,6820
31,13170,12976,2624,8774,7494,11793,5306,18284,6051,10719,1940,8335,4964,18709,6120,16422
32,9380,13191,375,11772,13095,13397,5768,521,16392,515,11107,1726,14014,15760,13452,9532
33,5299,5964,18134,448,14131,16109,16854,19550,19227,4997,6044,2563,5530,17722,11637,19384
34,19090,19911,18839,15229,4360,8643,18604,14265,12686,11536,4734,2740,940,11991,6047,5383
35,4965,5790,14417,9467,9498,2247,7316,16373,14291,6154,15236,14740,14809,12053,19395,2584
36,12457,1005,9218,8373,2686,18118,16109,14951,7601,11571,19773,2046,16698,18836,9211,17456
37,4662,16675,14264,19688,7416,3037,15684,9440,6071,10869,16493,8087,6954,14448,9382,2105
38,10229,9043,8005,2359,2935,15870,9381,730,2079,9909,10259,13677,14892,16292,4132,19286
39,12894,581,1251,1923,3051,10256,7367,15997,4154,14760,4838,2931,17412,8979,13890,11803
40,11775,5536,19681,1926,3744,19882,1752,1577,12527,594,3859,14749,14595,17400,5807,10682
41,11702,3426,19700,10300,17022,6138,14188,18239,11949,16618,4119,6358,14943,8475,15964,19670
42,3636,6457,17515,8841,5187,16452,11917,19501,4161,19169,331,2218,10914,310,13935,10494
43,8333,12096,9255,8491,4401,13527,2791,3607,18922,8148,179,13269,19749,6032,2925,19534
