"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013"
1,14027,9066,4469,6084,16407,9925,15327,3758,7964,15853,13566,14495,520
2,4996,11370,11984,2013,15847,7287,12229,9024,4410,2321,19308,2777,15587
3,17445,3284,15879,7817,16345,7608,19360,2515,14944,13771,450,2058,15017
4,14499,3551,5662,8201,14919,10687,12928,18193,7615,17419,6259,16050,5880
5,11939,1937,14567,5411,19386,9823,4057,973,11854,13984,17639,9337,15998
6,12162,12606,16758,12979,11967,5043,16082,17712,16219,15086,19309,9496,11345
7,4272,19062,4427,6770,15605,18512,19393,7181,9903,3065,10545,2778,11460
8,19729,10861,2743,12389,17721,1499,16116,18560,8292,11996,14617,13685,13716
9,15398,13446,5904,2551,18795,3848,10221,14805,11761,7383,5929,8935,15801
10,5311,14843,7652,5295,2716,16400,11444,11779,5584,15853,14827,9255,8878
11,12429,18969,1766,9699,3749,1880,8524,2625,5904,16648,10758,9364,13824
12,2758,2191,15521,8462,1920,15509,7165,9924,4138,16973,6350,7474,11478
13,7281,8859,19885,17633,1790,5059,11206,13513,14914,10710,15745,9009,12903
14,1382,11701,714,18787,17204,5533,16215,10336,788,14178,7342,8523,16128
15,680,7130,2373,3772,3335,2559,9334,13037,10758,1840,15838,6835,11188
16,3251,6981,4066,645,6766,11203,8889,14271,8579,4553,15017,4029,17424
17,10346,10740,18005,13015,14691,17039,8687,11681,9047,2240,9899,7870,1695
18,2563,18184,10848,18577,1720,5948,8049,991,9734,10913,1371,4152,14804
19,17038,14486,18767,16327,9245,8460,16250,2323,7064,4909,19881,18353,3969
20,16349,8815,6443,7607,14067,4823,18996,5817,6345,12710,8198,10552,16200
21,10393,1031,4108,560,11842,3019,9716,15218,17867,8561,8954,192,11773
22,18349,5603,15699,7014,12711,10987,16635,10739,18472,16115,4639,4947,18435
23,1489,4210,5649,2932,10622,9108,3027,12900,7956,8741,15550,19246,3654
24,1014,17652,10328,14228,435,13941,14066,5202,10839,14307,5453,11116,13302
25,5032,6760,7663,18326,8396,7361,14542,6056,18808,13743,4743,1144,15431
26,19562,12079,13645,18991,14260,14340,18841,3323,9845,5376,8937,2918,9193
27,11834,17422,14821,10316,3014,5335,2170,5729,11084,2584,10681,4595,10969
28,6969,10436,12094,14889,9960,19270,18084,15580,9641,18482,14627,9313,7513
29,3215,16249,3703,19038,15915,7904,17294,7672,12825,239,1180,3441,18137
30,2330,18828,8337,18119,4620,18606,18265,8834,2573,9555,17353,12533,2201
31,7083,7657,11774,16269,2907,14273,1507,18340,292,2812,3054,10710,5509
32,6910,2636,17870,18220,9964,15206,11602,4369,14637,7095,6022,12158,19626
33,9840,15955,460,14674,4013,9720,19048,10966,12883,10596,18229,10408,9778
34,4923,12912,3826,11282,2151,6259,15795,5094,10858,5055,8824,10700,8126
35,17092,14297,16636,2580,8091,5028,9130,19784,19049,9997,6296,3916,2900
36,3781,3187,14670,19197,742,12444,4081,4239,19889,12522,19153,18087,4583
37,8805,13635,12946,14075,19026,6668,8254,16384,11297,980,9020,14699,12442
38,14681,13180,2827,1627,12179,6073,12785,3812,12588,17752,19716,15322,17424
39,9297,12730,2518,5693,7933,2117,3555,2148,8836,7012,19701,362,12831
40,5798,4093,5569,6683,12064,4062,12994,8855,2357,12365,1465,12512,19029
41,16878,3329,15194,10086,16006,8070,14388,5118,2185,236,16161,12435,10130
42,12825,2644,11537,9478,2335,1997,9035,4536,11927,13128,17266,3691,18157
43,15953,13999,11812,7266,11529,16214,15673,7060,12760,11469,16817,2887,10497
44,16270,13737,17412,4120,13486,12734,14726,6280,4275,9462,18708,14389,7157
45,2565,15066,18730,499,17573,9801,1851,3187,6349,18525,10159,15845,3346
46,7541,2100,5491,5292,9446,15971,3747,16859,15591,15086,16302,15035,12922
47,8257,6705,15159,814,15869,12523,3197,11890,217,149,3611,17598,12209
48,9347,13692,14790,19464,19852,9541,6356,6535,17028,1542,14222,18761,11889
49,5111,13808,6151,8428,17218,13031,16590,17017,4740,14728,13626,7894,12526
50,18568,17590,7585,9475,10011,17686,2201,660,12380,8466,12170,15407,3327
51,3703,1094,3961,3051,16946,3149,7569,9135,2598,3326,6335,17856,12815
52,3121,18136,4137,18438,11635,2976,8856,19061,2891,11089,18741,9863,10050
53,16351,11702,1008,10291,18576,2472,7994,9230,13235,3910,5900,19394,5834
54,2403,1946,3035,2786,17617,208,14556,14448,16422,7073,3143,9875,7912
55,12006,12138,11071,6161,12142,2010,3833,288,14631,9528,5380,10990,18732
56,8426,16420,18837,11574,16119,6658,6258,2086,6903,4521,13256,12628,9463
57,1937,16916,12126,15593,5501,1649,1215,8228,14074,8252,5950,9886,15500
58,109,693,8008,9155,6824,6717,14919,10115,4874,13604,10611,5612,6466
59,10042,11732,13733,8787,4965,1301,6945,679,18189,10203,7290,13669,10533
60,8957,9251,1682,5428,10328,10799,13938,19733,19748,14438,14046,2317,13130
61,6433,9138,1898,1384,4009,11517,19063,1962,5016,3797,19447,8976,13682
62,17391,19393,6898,8867,8356,18662,13911,12927,5314,17400,3159,12303,1349
63,7086,4517,11441,19300,14376,4822,13901,12705,17289,1800,14784,19549,13625
64,1623,173,2805,14655,17763,18614,7222,757,2509,3648,1750,8717,8128
65,9056,14135,15244,3158,10740,3482,19003,5943,18353,16989,18555,7536,18689
66,3419,4359,13912,3246,16496,16103,872,6573,8232,2126,297,260,5460
67,2779,1513,16156,14373,19333,14011,16888,739,3284,2317,13586,11549,12758
68,9575,2518,12737,7626,15088,7731,6840,1764,850,13844,6791,939,6948
69,7228,14211,1675,15428,4854,8642,17300,8442,2399,15677,3035,4588,6393
70,19164,11421,17626,16769,13917,2697,1447,1683,10082,3549,2439,10744,4553
71,10650,4594,10918,8438,18891,13842,1810,19443,6009,5313,19395,2052,14038
72,18901,14853,15739,5031,17468,7398,8485,10500,1187,18064,8954,881,10885
73,13648,1208,301,12497,10893,17128,1592,7680,7339,16873,12048,16566,18088
74,18391,6742,6439,5296,15124,11779,9055,18695,10576,8519,14776,11351,1941
75,10893,3268,5191,7129,11312,5715,15200,6853,428,19318,2055,2723,9856
76,10797,2421,4776,17926,6364,17874,7026,17736,19691,19641,17101,4873,6622
77,14687,9287,17567,6202,12166,14633,19686,2144,16179,17172,18331,16001,16238
78,4277,5466,5765,1571,2338,12790,2259,8085,5590,10712,8631,12468,19039
79,3434,6844,11239,16388,2290,12884,10315,6589,18295,10244,18011,483,4264
80,1254,2794,16677,17271,15993,8115,437,14058,3069,11703,1367,5230,1345
81,14466,18752,6972,10410,2878,3432,4748,13921,3720,7337,9732,715,15399
82,13404,3621,4560,11173,18498,9295,10155,1793,6315,5624,7507,15356,761
83,10145,4437,7601,170,8822,19003,7131,16995,5931,495,19842,18768,3857
