"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015"
1,15219,15230,16326,12369,12703,320,5709,6483,9177,11544,6228,2390,5914,10632,7880
2,17888,4064,19183,17182,16852,18128,8132,9538,3808,5996,11434,6132,1748,15578,14602
3,18931,8275,13343,3563,5300,10718,18210,16229,5165,8341,18508,4251,14973,10843,8743
4,10936,2263,10420,13960,2873,3581,4666,17191,10641,4067,7709,16687,14467,10783,6165
5,9983,7825,14611,3795,9975,3412,11752,10574,11729,13069,14796,1040,10274,13614,9925
6,8448,11408,5203,9896,18163,11079,4211,3136,16272,11378,10592,13164,4447,5042,17494
7,19725,11405,17692,8981,8852,10047,19218,12724,6036,1895,16714,17870,15927,15521,4692
8,871,9803,14522,1674,1270,14938,682,13317,15490,6143,3065,3448,3363,3988,3963
9,9912,16580,2889,1589,1750,18394,5163,18952,9885,8693,6218,13134,12302,13139,11724
10,16753,19987,9649,11003,10805,7054,14545,8019,17182,19234,3468,12055,826,15720,3141
11,15374,11502,3013,17786,16332,19309,100,2048,6571,8467,3515,5333,4926,11039,7492
12,19409,9400,19990,15941,4153,6743,5421,19929,3771,14352,12672,13244,12433,7295,8788
13,3543,10514,118,9227,9286,10420,8321,9615,15695,6800,15243,13738,12632,17924,13416
14,4851,19047,4844,19367,12585,6761,15559,5939,18177,12202,8350,13846,8529,6585,17727
15,4777,11016,18638,16078,11412,10362,4103,8274,13921,15179,3612,6236,19568,13950,13437
16,13248,18209,4229,4950,16649,17331,16046,3687,4332,18041,7380,4206,981,19776,12203
17,12813,13400,4836,14107,9433,4308,6929,8070,14838,9604,15726,5761,16632,14840,10874
18,11194,13795,13255,6411,3649,3080,8804,17718,2734,15735,8511,587,11645,8183,9537
19,13233,5497,5765,9838,6714,10567,265,7503,9496,15841,18903,16682,19167,17253,9485
20,18066,9897,7565,16947,6904,17244,17912,3668,13082,9357,9418,9684,13147,15698,13803
21,9888,9278,8317,11396,6384,8928,15465,16480,19082,11430,1735,1938,7248,13151,2263
