"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013"
1,18531,5635,11782,505,4407,12713,14084,13403,7931,10742,17554,11575,9136
2,10026,12679,3258,19044,18282,18855,14473,12615,10014,14849,13861,3080,15053
3,16256,18841,9092,7985,16191,14056,8404,9034,2458,11231,16032,18742,13781
4,8134,17148,16774,6597,3810,10162,2646,11499,19273,169,12536,5702,7855
5,6559,4850,15734,15367,16207,13087,14950,5869,18261,5768,13214,19981,3179
6,4669,1638,16981,8337,15100,7536,896,4073,7446,14866,1098,3268,18288
7,8778,7024,10441,5779,18256,11475,7372,11480,116,3787,6566,11721,2969
8,19161,13831,15066,3563,6198,19573,19542,6348,14086,6221,16764,7133,17858
9,6750,8413,10835,12474,16015,19758,6133,8815,9283,10898,17932,11826,2281
10,1596,15248,18642,2218,14608,2229,10690,8052,12293,2690,16966,16832,15052
11,1840,11652,2744,2480,4452,18538,16874,15315,8457,8601,14461,7881,13471
12,13078,11084,9006,16596,15116,19868,16545,18820,16894,5066,1224,3474,18277
13,18442,10237,4045,12559,13116,9263,16810,10956,17284,4951,3384,9600,18357
14,15659,9134,13251,10242,495,5937,6115,4807,3916,14100,10460,7588,18663
15,4740,13326,6220,19570,4404,4877,3322,5484,10397,10950,3609,9864,8362
16,11165,13651,16339,11662,12758,2309,1013,7544,6150,12659,12112,6154,19357
17,7369,4035,17041,1914,15558,7246,592,17175,19157,13563,3078,670,12273
18,11249,7833,9656,13548,1412,18519,18821,16847,8963,8175,12217,5738,7541
19,19183,17120,5460,8939,5014,9650,898,15446,285,17008,6262,19634,19741
20,241,3319,7455,4573,13875,11771,12952,10663,19384,9088,10570,17374,12412
21,9257,15316,1166,17119,13518,4204,12041,14472,16507,12381,15103,14390,6825
22,4889,13290,18475,2321,19597,5430,2174,8891,14138,12307,11685,2426,12237
23,3202,15090,19477,14054,3219,17922,17519,745,18951,4249,4660,15590,7281
24,4751,8284,8788,17605,8594,7587,14285,11508,4968,15417,6419,19605,18306
