"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015","sim_016"
1,723,11624,1969,10126,14730,2933,1161,13223,4001,19688,12706,2845,16105,5218,12265,16641
2,9603,12287,13596,14900,7350,15619,2229,15186,8665,19595,334,4195,6944,4561,9522,13003
3,11535,12711,7533,2008,13607,9762,10316,1564,10220,4814,8359,892,9269,15568,18574,7528
4,7804,19902,14522,1281,4411,9016,13362,7135,5921,12907,4937,6674,4442,8797,17312,6083
5,9059,8627,12095,890,16415,13722,16150,9668,4471,16474,9421,6884,7529,898,11507,12900
6,8745,16408,13708,3950,18075,16166,16107,2613,17705,6769,11080,1174,9713,9949,10653,5768
7,10999,18690,15794,1720,6355,1191,2334,12049,197,10111,17974,2274,13318,10466,8870,19737
8,14094,10243,8095,19536,8555,11559,4320,11479,2478,6517,5858,7173,7349,4077,9402,7243
9,2612,14272,13730,5832,4502,18362,9817,19248,15567,4323,12190,13748,4394,4970,5658,7058
10,4303,14176,4328,12912,1268,12812,10175,3693,16444,13191,10079,3400,15744,9681,5327,17346
11,13857,10829,8129,8174,5989,1456,4018,8614,19790,2808,14053,7273,774,6369,5992,19501
12,6804,7144,11534,5309,9241,11908,14059,19553,2595,7349,17158,2430,6088,5477,4774,8104
13,14087,15140,4749,737,12720,15486,2085,1429,9284,19584,2088,16561,17380,14775,17610,1430
14,10077,9042,10898,16070,3690,1749,371,9899,119,5415,560,2258,7172,9019,4917,7210
15,8446,16485,14175,5965,16872,13688,10877,9716,19685,12774,10052,12319,14616,13075,251,4785
16,218,7568,10492,1541,14980,12056,2298,16724,8352,6160,16261,14606,19585,12724,11447,789
17,8794,1716,5594,4959,3092,4103,6565,14431,14360,7782,19718,19429,8604,15410,10059,11854
18,4579,6252,10307,12789,13565,19723,17317,996,15966,6298,11172,4391,17621,12115,9655,17367
19,3823,18065,11007,8363,12993,5463,1989,868,5817,14389,14249,3012,19414,13476,7041,586
20,5240,14304,12406,9510,6030,15298,11181,16285,19885,12706,13172,19959,17305,6204,15903,2836
21,527,4051,5007,3732,15913,11745,658,7904,14949,9058,17269,8004,2892,9401,480,5647
22,8209,5689,12933,10703,3332,7360,10910,12114,12289,17457,5519,10167,13530,16915,19646,13013
23,5492,7183,10615,327,14805,10372,9111,12663,17620,3010,2975,9629,14515,154,16654,9741
24,17738,13789,3452,3189,10575,11769,9142,3845,5161,8901,16853,5121,2114,1674,8850,12649
25,12220,202,11407,2426,5176,4953,5839,6590,2989,1781,13388,1406,1691,4606,15698,9857
26,1146,17675,19456,7650,12283,11555,7835,14506,12542,17537,6198,14335,1099,14055,12195,11120
27,7258,6676,948,18311,3193,5260,9841,8501,19483,2161,7051,12208,3278,8502,17869,8569
28,15628,13974,3954,14855,16923,6513,5838,14254,6590,16116,8544,9114,6941,8933,19285,2392
29,11299,2855,19599,7740,17588,4181,6436,7899,3291,14230,3498,11571,10067,7280,12080,2504
30,4346,18915,9410,13865,18925,969,2650,1723,17759,9877,2021,11141,17762,16184,6439,10694
31,2710,4615,9466,17876,17050,15482,19325,6187,13905,3342,18554,13053,13582,2428,5649,11686
32,5036,5990,16866,17192,14373,10805,15410,10057,6103,11067,1360,9400,4204,18825,856,14434
33,12629,7949,10903,403,273,4204,12757,12275,9786,1489,17434,5614,1394,13952,11711,9956
34,8167,1100,15682,4124,13197,4069,19168,4102,17475,8370,3309,14052,12135,19135,14081,13870
35,18710,10144,18302,4592,15022,15843,19247,3073,16089,10135,16140,7391,2226,17867,2457,12449
36,8614,2905,10077,5519,12228,13989,11164,6211,1776,6190,9935,14376,10212,8208,12547,4530
37,3048,6993,2641,4856,3839,10550,4401,8030,17396,17337,7127,18294,12935,9646,8329,2778
38,10556,14462,842,2609,17093,15006,1811,19280,2606,7885,499,3286,8992,7872,2441,13721
39,11949,13607,2663,19800,459,13664,14085,2432,15126,16887,7373,2913,12791,7703,17878,1943
40,509,9213,3868,1080,5214,16559,4817,10821,9465,2557,6333,19999,5053,10668,9482,6672
41,19614,15368,17571,7095,17959,3891,2781,8243,329,17694,803,4644,6856,6838,2205,8772
42,4898,15933,7026,11852,16039,17905,19801,10197,4959,1797,6540,8943,6472,18128,16517,10823
43,2044,17417,15465,3012,11092,6424,5136,16897,2784,3516,13645,15809,5665,1529,8732,16159
44,18124,4087,5871,10465,16421,13410,6619,4224,12573,17234,1541,15567,6569,13635,9714,6069
45,11658,7485,13079,19186,12878,6162,15520,19064,11955,7734,19372,5771,14569,1831,3294,6418
46,15453,9044,8669,10156,19398,17665,8931,1619,1635,14235,15810,18488,12023,10097,5131,2327
47,9788,1118,957,11053,11999,603,8485,17198,1485,8700,2537,16506,12600,10385,15210,3773
48,12486,6511,19045,2122,15207,16480,17840,5172,9720,7568,7316,19971,13123,19660,19255,13925
49,14060,9390,1267,5387,10063,8439,8418,2433,7693,16659,10256,4673,14924,12020,2004,16207
50,2841,18084,8034,3428,16580,3022,3211,15618,8732,13175,9163,536,6666,3425,15574,16250
51,15109,11366,18775,1055,9798,19121,10624,819,18016,9906,16777,4795,13119,9368,15846,4222
52,12165,4212,10513,11926,4749,14173,3683,11538,8742,15400,13600,2044,8433,5468,13636,12707
53,7971,13192,3221,540,3805,16540,14159,16315,11465,11490,13541,14859,16366,11435,2162,4402
54,12912,264,7339,9367,19413,18288,2039,11212,9343,14309,11282,12413,15739,10354,18164,10962
55,4842,2605,7026,16144,4515,8346,12341,1729,1307,10226,9123,14898,13189,17709,15517,2797
56,12406,15916,19069,7391,18803,7207,6629,5703,17564,12940,7790,14406,4638,16578,7258,4467
57,10606,11504,19154,3919,7622,16042,1237,5431,10317,3319,6812,8656,16176,10117,11832,3789
58,7283,19188,7527,9099,15086,16930,6416,4047,5198,4038,11691,10000,17487,9919,8594,17775
59,16217,13994,12924,10521,2451,5510,13691,9246,1831,5650,5063,10246,9277,16506,8440,3170
60,14925,2667,15026,18942,11231,9405,8892,18608,9689,10182,2149,435,14533,15152,13104,3168
61,18314,8790,15553,18947,13427,18078,18389,13477,9780,8003,7291,5290,12480,18410,14143,19756
62,728,5668,7239,18158,9264,1645,4807,11994,3758,19802,13890,19583,3645,3392,7007,10706
63,16863,6233,18998,4550,1756,18963,3017,10009,9899,5971,18985,10740,4504,10283,260,7270
64,14743,18903,18116,12239,18200,13772,1102,7060,12068,19837,2045,12477,6592,6281,873,1733
65,8235,8282,7487,12066,5912,299,8000,19290,7447,14243,11339,13206,13884,1043,12875,18200
66,9974,14509,17933,10860,7558,9995,5519,7378,8305,18972,10151,10059,15066,11403,17449,2173
67,156,2645,18802,8222,19305,10045,202,17125,5965,2972,16334,16500,15067,19837,4405,8861
68,15120,13687,8936,14454,12488,12952,14756,290,5062,675,18753,9816,348,7558,7127,12887
69,4983,2156,963,9926,15463,130,11185,19268,7895,14297,18003,8991,14075,4198,9614,10992
70,5032,3520,14715,6271,6379,17219,15214,11677,2455,18425,6468,16114,16927,10002,18101,13374
71,9918,16384,17429,5923,14761,11391,5348,12580,8238,10698,9440,6715,1146,15383,5205,3063
72,15419,6217,8747,4691,15179,14939,13969,3624,18873,9232,18725,4828,11826,17645,9584,13798
73,3526,8397,6995,4092,19744,15614,8138,4778,2823,13657,19041,16299,1121,13505,11473,4926
74,6808,10516,9615,19558,15103,11782,385,10580,4938,19850,8972,8751,13362,10593,19157,10109
75,5499,16534,9439,16952,18234,3790,19183,10898,4435,5822,19678,2011,9657,18629,6550,13411
76,11056,1701,162,3839,8675,2402,17653,13209,3454,16133,17417,6483,324,3393,11299,7084
77,8356,17038,7043,18073,15714,5477,15197,13917,8800,11008,9891,19302,13505,11965,16490,2064
78,186,16929,16593,3728,2854,11565,3497,4131,6529,7439,11565,6227,6045,11817,3606,4238
79,1017,16279,9834,1689,10380,14191,567,16267,13741,16225,19002,7545,16281,6493,414,1462
80,14636,16832,4550,2971,13024,2722,12756,7634,19338,4968,1245,11332,253,3130,19807,7933
81,2818,18967,6438,4514,18811,9552,2517,3820,2764,3002,12850,3438,13350,1605,5455,10231
82,15658,657,9367,2962,6565,372,8461,8785,9015,19868,770,5908,5343,17946,5658,14777
83,2327,14266,19244,13805,17360,8145,12558,12799,5861,9425,4998,6388,7130,17734,6716,11331
84,18239,278,4540,10256,4681,2946,5524,3637,9839,18363,2697,19134,15576,14641,16171,1484
85,16376,8666,18602,15995,10147,19252,17548,16033,8522,14011,10476,1689,2896,9302,13639,795
86,13026,7251,6167,5141,9516,4693,10995,14784,16925,17908,841,14558,11094,18671,2555,9708
87,9010,1209,8530,13049,16713,9985,7914,506,11589,6742,17091,10204,8699,15876,4000,18989
88,155,18564,10328,19837,2894,16497,13158,7271,12223,13763,5137,494,17345,13389,18741,9450
89,12392,14998,14881,19822,19261,12285,1255,1318,6213,4607,17927,19752,10261,17672,1613,16593
90,5330,10912,18841,19600,586,13439,13034,8584,4563,18838,5038,5472,4153,18736,2670,8083
91,4111,14432,12634,4901,17491,6069,1093,2477,6092,13857,2248,8248,2795,8797,16951,1034
92,8002,3903,4648,10677,12273,15438,9910,11740,7867,5033,2840,380,2637,19441,14788,1683
93,8387,11925,12080,13145,3571,3057,12882,12120,14591,8143,10371,6496,15919,8251,12296,12297
94,16595,9277,2775,9592,14439,9485,18591,16494,13671,12077,2198,4764,6458,11963,12664,9278
95,10568,12556,17287,2047,17750,14037,6878,1713,18656,15141,10523,14007,11100,11838,2935,2961
96,16990,7415,16138,14284,17469,4008,6739,13688,11204,13258,3445,10266,18432,18279,12955,8392
97,5900,14518,3295,11611,2458,7261,14751,5267,11851,5769,14071,16921,11492,9804,10705,12535
98,19536,6377,1977,147,17567,10524,318,12374,9537,12273,4490,7910,19404,5576,172,14557
99,2921,10106,7708,7012,6177,19141,13594,15375,8310,12584,3344,14862,13050,13284,1855,11997
100,16365,3498,15404,13839,14323,6733,6009,3336,5547,16985,12729,18725,15468,11189,17911,16895
101,5749,8919,16451,17129,4279,5618,15130,342,4788,11796,11321,18727,959,19027,13408,4582
102,13787,6428,10932,5233,3904,2663,16917,832,15996,18975,2721,4423,15997,18855,8897,10895
103,10874,415,9444,4041,4345,4148,15874,15925,11286,7164,7717,13022,8243,12233,19879,18528
104,13684,4528,11464,9895,2299,12609,3235,18716,649,3794,11306,10404,3765,643,12531,6952
105,15756,16153,17917,16061,10643,15738,1636,1015,18075,9889,5850,12694,14307,3656,18193,4389
106,17613,6116,17546,2565,3033,14802,15657,9955,9287,7663,17661,13679,5352,2993,10414,19235
107,19644,8078,9297,7997,17777,2787,17962,16033,11007,2128,9181,6145,2500,10244,2648,2275
108,8932,4913,8388,5033,4230,10715,2002,4565,6889,9165,9897,11313,19690,17253,9329,7097
109,3450,4358,11333,18197,18127,8142,8190,11399,13152,5172,10762,14291,12795,17488,6435,13897
110,8527,8627,17146,13686,2980,18504,19773,12650,12850,19440,16093,9303,16503,7374,11596,16964
111,3204,10275,17308,7615,18542,16503,19308,12218,1927,12830,9200,17723,17805,3188,12365,1964
112,7581,2854,1261,10824,3883,6593,7063,15012,12954,18638,19134,5186,2838,1118,20000,14855
113,10550,12069,8152,17046,5481,3276,7283,12435,2430,1466,10886,18289,7241,1799,4043,3078
