"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015","sim_016","sim_017"
1,12177,1988,1954,17561,5147,19218,12493,16933,19886,7520,19006,13923,9440,5667,8685,6691,12463
2,17030,16448,14456,16909,19450,4944,11075,9665,3661,2729,320,18375,10581,19447,13310,14759,2026
3,406,11832,13709,19338,7634,10750,19373,12680,3631,16340,8224,3906,2195,11495,19460,11443,13883
4,5611,19284,8032,14346,18182,11538,8439,15702,11419,12203,19212,16461,4259,4898,3194,16295,18703
5,12182,2066,11002,10890,9328,2966,7911,9957,19989,561,13232,11820,19010,6305,12740,7525,17697
6,3500,18110,4498,16576,14716,16283,14824,1569,10865,13090,2623,2638,18202,3843,8617,8484,16989
7,5444,14476,12753,5315,14302,16053,17905,7138,11981,15603,11022,7076,11112,8006,17780,18430,11514
8,7931,18907,10424,13453,19587,5978,2826,3864,17250,13656,11351,1399,19814,13977,12204,10403,2909
9,9913,6890,7831,14339,569,5080,12479,2433,17330,15646,8622,10996,14474,2414,6230,8254,17042
10,14669,9761,10048,8977,18009,166,12476,15633,6766,6032,17164,8289,5171,818,2401,17339,18024
11,10016,2591,1416,12929,18727,11024,795,14986,17628,13860,473,12641,19733,6608,10954,3307,9548
12,11401,10573,14003,19876,7663,9679,12326,10039,8740,14032,5633,1070,8824,9143,9400,835,6521
13,4338,12596,15146,7735,2796,7541,17536,9453,1039,3874,6958,18740,14115,9216,12158,12919,13084
14,19064,5276,16413,18148,9152,15287,17101,12691,2638,3137,3338,18554,13802,17115,5375,11072,6788
15,3947,13203,2962,10072,8763,11853,19990,17959,2152,15434,15659,6234,11091,19182,16287,284,9436
16,18613,18933,6073,609,4680,14743,9158,9017,15965,14672,11064,3769,4211,17520,18044,15635,13276
17,12223,10596,13382,11947,17580,784,13619,6561,4490,2580,876,3563,19628,8967,10593,13177,2725
18,2230,4632,12722,1844,15818,14042,3710,11002,5607,9168,8894,12665,7071,9107,19274,8907,13608
19,2491,9638,17823,3763,8761,4490,5522,19424,9673,17573,1478,13878,19384,14535,16416,16171,14475
20,18021,16912,3259,5116,14096,887,18515,8954,6968,1815,7386,303,7397,4477,12774,7733,10037
21,4504,5686,12458,12636,792,11926,1010,15406,6732,9333,8026,14510,17742,318,2936,8866,8778
22,7826,16709,16604,19100,5829,11663,17992,10353,3791,6637,7723,3391,8901,14471,2514,5066,10968
23,565,8103,11155,7603,9617,14739,7937,8644,11709,16629,9469,6957,14822,19627,12945,4185,6074
24,17679,9027,3501,7006,5140,8920,13775,15181,13465,14562,11313,7787,14251,4168,19331,1339,9460
25,3480,11774,4667,6406,19521,8538,16173,14732,5789,7619,16334,18070,18439,18841,6462,6864,14661
26,10924,11869,15613,1691,9465,8350,4236,16827,19153,10253,5200,9204,16560,3386,15006,2701,14028
27,13001,10814,10617,3445,14525,12674,12331,6359,14500,13143,12352,17284,1898,1488,11530,10675,17553
28,2191,8621,19588,11908,18744,10092,4576,10037,4993,5032,10080,1663,1022,3739,5866,1068,16635
