"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012"
1,1011,19013,7499,13582,4005,3347,1352,18588,7070,6830,2682,19816
2,13234,10640,7503,11099,6265,6349,2916,8343,4957,14274,1930,3012
3,12243,8929,7371,19450,5930,3531,10459,7940,12294,895,314,15141
4,19100,18840,6938,12315,19711,9120,7899,11524,19663,19262,13551,16027
5,13709,240,10774,10422,17191,11855,6539,19823,4153,6223,8600,9427
6,1234,3440,17503,3340,6652,14543,6879,4653,18720,2811,16865,3449
7,13187,419,18321,8683,2762,431,9923,10671,16701,9856,4807,12798
8,19523,12739,16254,5417,13434,17989,19950,10437,5812,6516,2001,9767
9,10983,18791,5212,1955,2347,2407,15083,18290,4767,282,6253,6286
10,17097,738,8710,18257,8367,13690,14825,12103,16860,8139,8206,17487
11,19025,8546,14291,7082,17363,9203,1507,14095,3508,547,16995,6318
12,5136,10110,14470,15695,14142,14490,17554,16352,18606,18748,10680,19070
13,613,8971,8418,9556,14936,18630,2315,14661,1249,17943,17367,17186
14,9782,9702,8441,3926,6169,104,19913,3577,2738,4962,6866,5354
15,15132,9710,17727,14264,16394,5440,9008,15555,2883,9963,4396,7729
16,19685,9235,12779,19641,7123,16951,4867,12350,2609,11065,17516,9958
17,5933,1545,8695,14153,12057,2743,11970,4443,17475,1953,15883,3029
18,5313,15672,12382,19010,6611,11897,2710,9049,8099,3901,12891,18466
19,17045,9414,9597,2020,18506,5682,14889,9345,4846,8820,3847,7415
20,18022,7300,19014,13327,13227,16758,12124,16382,14073,7980,13346,9285
21,19168,1650,6259,19956,1685,17812,120,1977,16489,7418,7488,7639
22,16410,11326,3840,17790,8815,15846,16321,13178,17128,13679,7970,6783
23,1948,19826,2123,16490,7890,17460,2419,5890,10431,512,1124,17563
24,19689,16877,10292,7033,5408,2521,6289,3717,13868,4316,6346,18464
25,2989,9340,18624,2721,19288,14380,19373,14639,14937,12368,663,6741
26,10894,9305,4628,13241,11429,6365,7577,1228,3826,2709,18714,16423
27,11884,7148,18437,872,8580,864,13953,10221,12031,2005,11853,18170
28,16704,5032,4684,13560,17784,17756,6460,3998,3809,11319,7902,11378
29,17801,11559,11989,9125,5321,14033,918,6738,2026,9731,7647,19846
30,3674,19617,19495,10952,8942,9018,15783,4286,1919,19004,19647,10062
31,9250,3019,13806,7907,8035,12163,12638,5831,11725,11071,15602,6522
32,3520,8540,12413,3437,18512,14560,13885,4401,19260,2097,11844,2414
33,13596,12521,10560,12981,18435,3813,9600,16711,18687,3540,6115,10005
34,19416,3573,16373,4245,10873,3213,4834,18775,20000,15088,4408,7815
35,9229,9257,15911,5618,16030,13357,9763,9487,7654,1776,914,14937
36,3689,17704,12306,16069,6579,6664,8188,1993,6255,11386,8984,11889
37,16942,1390,17208,3706,136,14215,19814,17358,18834,10834,6128,900
38,13771,17013,5826,2067,15878,4420,11903,3151,2565,13494,3861,16150
39,14045,17567,17474,1751,13338,6948,12831,15710,2717,2957,18385,9613
40,12712,18987,173,2926,10631,9856,14874,11311,16017,6803,8095,830
41,12725,10044,1119,3592,18757,3146,8040,1695,15629,15278,1271,6897
42,1535,659,1253,174,14221,14574,11207,2465,8135,15144,12873,9529
43,5234,13581,7610,18895,7063,15033,10305,16829,19995,17177,9232,8831
