"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015"
1,9900,12154,7155,12615,17914,15675,2498,2722,1848,12888,751,3978,2273,12836,18477
2,16709,12797,14190,18833,9221,7772,5854,6810,2411,15204,18233,7882,12763,106,1137
3,7829,18516,14502,5444,11550,10370,10882,12495,3297,11377,9909,8662,7772,11293,11143
4,5600,973,2162,9005,17462,16109,11577,5589,15035,7117,14063,12159,2454,7104,14885
5,11383,17817,6163,1946,19601,14274,16532,9700,18412,19534,4957,6288,16095,8521,14386
6,12858,18565,5997,15893,8220,5575,2759,11547,13524,10410,7015,2471,13188,9911,9007
7,11658,9575,7667,15094,5346,267,10320,7058,2135,17979,5174,771,1432,10956,19300
8,7043,14885,10136,16919,17564,3573,11649,15145,11313,7509,9434,15203,3182,528,19247
9,9731,2467,14757,14820,2347,10899,5164,3849,19908,5931,16102,2802,12066,10214,9749
10,19578,14341,19143,6760,2187,11561,2079,1745,3276,5695,8154,11864,8004,15931,6888
11,6922,10916,5022,5084,7595,17224,16039,11093,9882,14621,5120,758,2609,2713,17875
12,19981,8449,5079,5300,11098,19315,7055,4906,15726,16074,6576,16996,4772,19559,5566
13,12473,18975,8583,1189,16009,17965,863,14800,19725,18422,18290,4334,18862,3334,15569
14,16018,13539,11500,12337,10003,15644,2298,8565,8974,13056,14146,5594,15126,10449,18113
15,1442,15668,9572,4322,6438,16207,11374,12568,14001,14037,11199,6247,1644,6091,4343
16,4231,361,15941,14794,14939,6057,17204,10729,4760,4953,19331,12040,7317,13123,4783
17,17235,13314,18566,14525,15075,13529,16594,17225,5424,16550,10105,13599,7724,1445,10117
18,4916,3546,2084,7825,14740,11506,16717,9964,5844,1360,15178,2525,15945,15070,16033
19,14590,3731,3406,11432,13518,15346,19112,16751,10199,9105,17983,17076,16508,6514,11866
20,5744,19980,19821,17845,14026,730,6335,4519,17270,179,9415,12459,14039,2264,16120
21,19129,987,3807,13125,15627,12812,3314,12037,18201,9871,8128,1423,9992,10980,15843
22,5621,9805,19558,7901,19783,4783,3546,9416,8416,5215,17000,4009,11705,3890,14480
23,17657,398,19003,11498,4997,12606,12280,16292,18640,19340,14559,13358,9564,2059,2654
24,4104,11468,6911,9179,15130,17666,15202,1068,6530,12000,16595,9534,2926,13103,11802
25,12862,3957,6719,6601,3906,8667,15302,16869,19588,10998,7112,12346,13938,13377,960
26,9003,17468,3097,2892,8101,477,15396,18465,4070,10100,17902,5848,4057,7906,13991
27,1632,725,182,18207,19042,2242,5167,7407,14220,4461,5688,5880,6210,12618,12273
28,10997,12172,6996,10022,872,12895,19734,16409,12397,4861,11152,17682,945,15433,4149
29,13419,11177,14904,14053,10087,15832,1326,14853,9195,3374,7746,8801,9902,2493,6106
