"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011"
1,19706,1627,5621,17908,18543,15281,17775,10294,14992,12659,14510
2,14872,12719,19709,18335,13161,8429,13195,4030,5921,8852,1294
3,13955,5225,19108,6401,3768,14205,19356,3922,448,15006,162
4,13010,9945,4567,7177,11069,12390,15719,17214,1264,19593,8545
5,2888,11876,8415,15249,4823,3339,6848,6672,8482,6705,14935
6,18172,875,16798,15312,19670,8007,8567,11729,2799,17363,17007
7,15410,10298,12209,14517,9310,17426,14843,2681,14016,10449,3525
8,3273,477,9415,9274,3449,9982,17224,3535,5896,2739,18250
9,15078,18638,11846,6753,7353,17983,3482,1899,18404,9570,4452
10,13096,9976,9735,11825,5401,19874,1720,6222,5719,12312,18670
11,7454,12185,14145,18759,15816,18083,14742,7142,14422,7705,18100
12,12409,19488,8798,13892,2543,3292,5299,19047,16069,5067,1494
13,18323,19898,4946,13476,5458,9546,377,13089,10995,16778,6069
14,12919,6813,13961,7939,6092,2602,14458,15251,17701,16278,17420
15,16086,6230,18920,16420,14303,5719,14373,8523,19452,13861,16634
16,19288,5869,13079,4280,9933,6717,3263,13811,9989,15371,3530
17,11423,17190,16776,9521,3858,14969,7382,7138,16408,5333,11136
18,3782,18051,18475,13104,8251,4563,7352,13595,10580,14409,18591
19,1912,738,4386,635,6720,8893,10946,1815,10037,521,5353
20,14357,1305,13981,15072,4449,4204,6242,17818,4788,1238,18808
21,6770,2555,6043,11791,923,9850,8582,13447,14116,3597,4656
22,18451,11311,5166,4939,17548,4072,9795,6813,12007,6872,472
23,14732,4888,13260,9406,14325,5553,14867,13104,6530,1735,18910
24,11454,7025,2057,9063,4369,15758,3660,555,9421,7683,14945
25,18693,15740,4852,10214,4035,6500,13590,8559,4980,2022,888
26,8273,17518,14734,14957,18664,19991,15498,1023,12159,18605,3827
27,12119,505,14627,19878,7027,8782,3499,5734,1448,14401,9115
28,3065,1333,18943,15153,3033,16738,951,18133,731,10240,19259
29,18163,9048,15308,19119,1383,10395,12693,12743,16006,3402,6043
30,5065,15610,19482,2531,17118,9728,14010,14415,19558,4261,16769
31,11854,2253,7977,10941,14357,14988,10024,9674,7954,6156,9808
32,9697,7348,16559,15720,4328,14761,11445,3733,11200,13126,11868
33,17772,1362,17861,15842,5083,503,11791,18829,10366,19913,13349
34,10153,5319,1559,12122,10026,4166,15595,8407,11890,1391,14419
35,11008,16996,4029,18899,137,6490,13340,6146,16704,977,9143
36,4344,14820,13171,443,15988,10318,452,18600,14961,2089,7747
37,165,11516,1803,10269,13737,10851,161,13829,2276,18187,18049
38,5967,9241,15035,16200,13936,2405,19673,916,18564,16958,12749
39,12167,3604,13994,375,13300,3994,13525,5391,9998,583,13992
40,15561,9803,14527,16639,11789,18695,13694,4378,14391,9682,10323
41,18932,7486,1070,12518,5557,10322,10507,1895,16768,2727,14636
42,17884,17701,18630,8645,19558,6233,5682,5261,600,2701,564
43,13897,709,10069,7786,1522,12802,16283,19122,9600,4404,4788
44,15797,809,15242,2544,826,15439,10068,4260,13715,9698,3306
45,4711,4346,8735,18115,13648,16159,6073,621,15822,4744,8474
46,5085,4911,7455,9656,14962,4088,7763,12722,437,11096,4588
47,2465,10940,5532,9969,9059,7448,19166,10282,3915,17191,11019
48,1373,17278,11225,1632,16175,16521,11751,16138,10248,11077,16785
49,15219,15395,5080,18030,12132,6098,9751,19043,16093,19664,18580
50,9190,11102,7041,18034,14195,488,14554,6031,9515,4165,13108
51,8329,17410,16634,8584,15910,1913,8189,15262,6029,10164,18370
52,6290,10858,4536,19084,12353,12084,5774,1046,7758,6793,14461
53,12749,4560,1812,19551,14632,17392,4696,13576,2265,13739,8968
54,14956,5317,9992,16145,2597,19932,19041,18276,18994,6292,7320
55,292,14947,10006,18108,9501,18402,18763,3572,6646,631,5738
56,14788,19891,7779,16466,15684,14601,14995,10696,8212,17177,9195
57,5682,6938,10792,6742,3411,4830,809,14782,4854,17190,4485
58,5396,12287,9786,6768,6334,3234,1359,15051,5290,10442,8606
59,4184,7147,5309,17137,17785,13772,2966,3043,8171,325,4780
60,4455,905,18059,5566,842,13752,6347,3933,15180,10935,9103
61,6570,17003,12155,8341,18110,18906,4078,4543,11121,19001,3623
62,18325,3096,6317,8341,8144,6752,14603,5263,7381,19444,11655
63,19619,1592,13358,15003,9915,11142,9310,8576,19173,2874,15369
64,5986,16656,660,1376,16910,4133,11492,9449,13619,12163,19480
65,10438,4345,2111,7764,9909,1789,18113,18982,5637,6120,10164
66,1948,17751,2877,12294,1729,878,12699,18313,2850,19952,4705
67,15643,2414,9464,8808,5578,2833,18430,430,7411,392,15830
68,5881,10032,6673,613,19647,6899,11793,12348,255,18660,5283
69,10806,9769,3377,16324,9995,3150,9422,12386,19632,14910,4369
70,17384,9764,301,8350,9166,11367,838,8387,404,1852,16296
71,104,19238,16638,15175,5011,12297,3001,10618,16007,8173,12911
72,964,7380,10543,2034,7310,2416,4625,585,18041,1763,2440
73,9904,116,6966,9225,1586,13617,8843,19401,9838,5643,6995
74,14465,4599,3494,17375,1562,14631,15298,13808,473,18155,10554
75,19501,12589,18637,2927,14991,17623,17607,2401,8546,18240,6647
76,18018,14611,6037,8443,11898,11187,5897,7913,8545,18541,13926
77,19551,12333,9650,10450,2571,191,14875,2734,9281,9190,13678
78,5785,17583,3388,10171,2297,14746,5958,14312,16957,13623,16365
79,11947,16109,1475,14921,3764,7981,1944,18381,17967,8304,14644
80,18394,8618,7648,1815,12722,1070,6815,11597,8549,1182,6910
81,8138,4680,1675,14547,11083,16697,6369,16372,19265,19159,13725
82,4457,1074,5706,14497,5077,16303,6130,17580,16822,13220,12321
83,11349,1255,19183,15681,1315,14209,16206,15287,5284,1283,14755
84,1724,15193,11458,17104,474,17525,8359,16207,19129,11717,207
85,16280,11900,3995,4570,101,6112,14764,12938,8014,279,14928
86,16604,7276,6655,18100,17345,16317,12223,13716,14288,5866,4139
87,15845,8122,17788,8568,15803,11122,18450,1351,11241,13428,2259
88,1294,9125,16435,19001,8641,8499,2419,2049,12278,15508,8921
89,4755,927,8348,1100,7515,12624,16316,7139,18651,130,9612
90,285,14479,12753,18053,12108,17497,558,9331,17257,17507,15904
91,8380,4014,10094,10372,3700,3451,5909,1983,8359,4012,11384
92,4879,18632,9583,8034,4469,12120,2336,15147,3580,8655,6858
93,6636,17234,19758,14951,2673,5825,9858,5419,1306,17464,8758
