"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014"
1,2935,6156,14302,550,3913,7474,1146,2256,10124,1454,517,16505,10501,5555
2,1394,5657,9153,17410,7124,4316,16757,13140,4785,11020,13217,17372,6462,11094
3,2359,13666,19032,12368,14257,11633,5129,18025,14030,2319,10615,3887,16213,10474
4,6655,13812,18424,750,14535,17670,9019,13062,10733,1225,11003,16955,14022,17918
5,3960,14995,18468,17535,9507,11471,1181,16338,14052,19315,13920,17960,9074,13423
6,17583,5428,9061,9211,7391,1070,12916,1765,15700,11045,12982,15405,11428,6388
7,3532,17825,13519,13976,19037,14454,13663,7427,565,10617,7206,14776,14030,19750
8,6289,8305,3067,3943,16330,2473,6931,296,9860,12825,16836,15598,16172,3959
9,8350,6758,7297,11260,18009,5061,5792,3526,16248,2042,2014,1905,7456,1886
10,19690,11334,14325,9276,4950,12491,8278,17985,1128,2109,9007,18443,14296,6298
11,17374,405,18178,2434,16795,15881,8186,18727,3937,9140,19715,356,18081,19262
12,4327,15907,276,19413,16918,4801,13529,9204,16847,17198,14782,17376,4376,4780
13,7210,17296,6527,19296,6639,11573,680,11751,13521,14189,13559,6516,2703,15382
14,9214,17583,7449,1843,4286,19974,15304,2473,689,305,4653,10800,13293,17080
15,8644,16793,10309,3890,19223,4321,332,791,10443,11830,425,1799,16754,11497
16,15911,8878,5751,19514,10551,15597,12991,17972,8237,15287,2230,7097,7128,2574
17,9564,8741,8026,11772,15873,17943,5696,16923,14552,11834,5009,2182,3240,18737
18,18851,7083,10328,3417,6461,11369,15070,1748,12416,19315,14811,17643,2942,19226
19,3989,14102,13923,613,14168,986,12696,10250,4755,10515,3438,13150,5344,6959
20,1317,11391,14885,14270,2247,18430,6829,14410,3810,4968,8475,4856,2948,2723
21,19863,9412,10647,15508,13873,7689,19254,11781,966,17473,10818,8562,16606,983
22,17817,361,4391,6653,7991,11644,894,19440,12819,11311,8813,2753,8571,19313
23,17754,6516,14528,13918,10879,17054,6857,10395,4382,2129,10961,11948,11649,1785
24,17794,237,17699,5614,13705,8119,2895,11875,10957,4814,13196,4004,2026,16200
25,7673,9437,6370,4449,17213,6625,13081,16017,13707,1152,9858,3362,11802,16907
26,19292,11290,19220,3445,11426,1661,2551,5018,18494,1191,1570,19486,5930,19626
27,18558,17747,13160,19737,7958,973,15814,3525,9948,11234,18630,4011,3879,8532
28,4321,10475,14904,14913,17533,14684,7939,16199,140,5869,5302,1911,9304,4516
29,17771,4896,5341,13286,12989,2878,5495,11977,6298,6559,11992,19201,12930,2876
30,2630,10877,6106,8841,7132,635,17788,15572,16087,7872,14153,10632,5408,14968
31,17201,1929,10967,220,4359,19281,1708,19465,16754,15198,1109,3115,3218,3348
32,18419,12740,9563,18494,974,8061,875,3711,18851,12191,4061,7876,2895,11265
33,9726,14339,10842,14497,3279,13025,18715,3030,2094,4556,19603,13618,11266,11292
34,2202,14381,987,11191,6435,11626,3688,5132,15297,18946,15488,13974,6892,8223
35,12196,12991,5928,7117,3903,7780,7594,11765,1638,15430,18400,5109,8714,6594
36,15800,15901,10763,7529,16911,4701,15419,8060,6401,11167,5681,3938,10206,7786
37,2921,15081,7578,5372,19177,7173,3065,9237,7760,8197,14325,11624,11163,9991
38,17962,1851,10126,6870,19124,4645,6147,19541,12361,16276,19686,6792,4443,832
39,16912,7863,3065,10976,7855,2342,4161,5614,1853,429,8289,8879,16192,18870
40,7865,8049,2357,9614,1372,19875,15799,5527,14001,2381,15920,4962,7619,13338
41,14847,9471,11840,19800,4228,8847,3373,15754,19417,7166,2218,10456,13989,15346
42,5696,6612,3070,16949,2064,5785,7987,9411,1899,13736,1893,4941,13382,8319
43,10587,2633,15137,14098,7464,7910,6037,9146,19444,2947,655,17067,2217,18078
44,803,18803,19833,5471,18906,8410,5143,3292,14264,11431,14434,5610,17502,15171
45,3902,12578,16767,17586,13957,8909,1509,7535,18270,16075,15605,15765,14679,1979
46,15909,18156,15063,8633,14890,14888,997,15222,17789,18909,4241,4561,15731,17321
47,874,6312,4368,15432,13059,11836,9247,131,19828,12910,10198,13855,8292,11386
48,14777,16368,4292,19943,2046,1967,19306,1959,1504,3705,2054,1817,9730,4885
49,1413,10278,765,11019,10478,18354,10125,1719,12947,11274,9864,10120,5888,7074
50,16314,9928,19187,4894,12243,17547,13394,9293,6845,14932,5415,7845,18358,14484
51,16038,17949,14471,14318,14296,19293,12230,5776,17637,17960,11411,14690,7128,12793
52,15475,12397,11436,13701,13677,1875,6076,144,14715,11840,2896,9078,3952,7224
53,14650,14615,18040,11840,16315,5242,999,17135,17956,14580,7068,17162,19645,19718
54,17928,15775,7386,16399,12843,11534,16439,1462,15163,14695,736,8024,8198,6743
55,3248,15560,14607,4280,5816,6101,3441,10666,19106,10548,3755,164,13189,15648
56,18638,9017,1807,18397,17325,12480,4406,1173,10953,16612,19900,12924,15878,6900
57,10692,6788,12148,1955,16745,11604,10171,406,10399,18871,8598,8682,17299,752
58,10849,15013,8306,5656,13568,1633,1577,5286,8375,7817,6734,11272,13262,14938
59,1600,19600,10853,11366,17043,144,14813,7115,4446,12617,10129,5181,4957,2186
60,14362,10238,14575,5707,16765,15035,438,785,10248,19697,4492,18143,8516,18381
61,4598,12625,7449,5774,10236,18574,9968,5835,10176,3811,1901,13292,8559,13999
62,10096,4453,9140,12406,1672,13210,19828,4717,11974,15783,12533,19509,981,1036
63,2446,4310,8394,17913,6284,11099,17184,17360,19478,17748,7791,13023,11183,7953
64,17686,16087,4526,7003,10531,6291,14360,7478,17614,15826,9415,11010,9020,15591
65,15055,17489,1498,19715,16920,5487,15739,2729,13575,13863,5695,12059,2203,15825
66,9635,18986,11842,5861,11629,17183,6800,13142,16111,2201,11355,2043,4610,8265
67,8473,12464,15042,14066,13232,4286,15483,12330,12448,4069,18083,6210,3464,6954
68,14624,4417,3002,19136,11836,7712,7817,4668,14155,15245,17023,17033,1466,893
69,1829,14233,10002,16316,2061,17682,10096,10692,4504,14643,14550,19244,8273,16760
70,5806,15092,19031,7479,19486,11600,3106,12051,19656,16900,11166,3294,9302,13578
71,11142,17799,19405,17150,12218,1491,5234,18532,12737,10160,16164,14240,4778,18722
72,2682,18291,6702,13944,5013,15715,9320,9708,17113,19909,11454,10921,13429,7073
73,18125,16192,8622,19936,4862,18245,10777,12442,10385,17662,14150,12406,5708,7161
74,6562,14767,8564,7535,11661,8754,18280,10395,1107,8628,11914,6372,8782,14555
75,15584,7635,675,3628,11857,14280,1039,13253,7664,1909,14358,7497,1701,13124
76,2769,16724,10406,11088,9818,17924,7426,18365,9548,10864,17581,7335,792,2878
77,13839,16973,7981,2099,15913,12827,19347,6885,9750,716,1137,19821,6918,10046
78,11944,13040,7880,19477,1824,10282,18199,10662,13131,4653,5598,4494,19780,10567
79,11030,11122,2815,17893,3802,19735,13870,10427,2923,7847,2608,13090,4475,19148
80,6350,4358,5364,12834,14548,7075,10545,10783,18117,1318,1735,11351,894,12249
81,9185,9907,5739,6074,10920,17312,9587,3577,4344,4736,10445,16234,5527,3359
82,15888,2707,11866,6005,10157,7623,13552,11675,376,7738,3340,6126,12159,5947
83,9901,16523,17451,7723,6523,19748,9646,18357,14402,13652,13812,19577,8359,18841
84,13009,2940,12237,18050,8957,4003,18047,11446,7616,8351,12517,8624,3306,18314
85,4266,11899,9715,10632,19982,18755,15569,8056,11522,15940,3774,18048,869,3315
86,15293,19537,12665,19219,14799,19327,15354,6804,16000,7827,15157,13197,18459,16323
87,1950,12780,9200,13512,8367,18782,405,8892,5161,968,13539,11818,6499,15838
88,7461,12406,11095,4249,15173,5108,6175,7441,7936,14500,12335,615,3978,13474
89,10602,922,15164,15704,16529,3967,11330,14713,1860,17731,7218,7536,19348,5670
90,18814,15466,9040,14891,12730,2322,7513,13012,12077,8919,19113,11286,1397,16779
91,7719,1328,12544,7240,16098,10120,15364,11281,19699,1375,11164,4710,18132,15070
92,19593,3080,3075,11961,13148,303,5328,6847,816,12799,1592,12062,18234,7295
93,1149,12871,3972,15376,2973,1089,12436,8563,15405,10590,12586,14557,2261,7637
94,18423,2658,15680,10951,17915,928,18992,8254,2845,1735,9215,16459,5257,5573
95,8618,5691,12022,5114,6129,7559,19683,6189,18366,14195,7457,8609,14334,5998
96,2665,316,2516,10108,19347,7654,5758,3539,19587,17323,15546,3391,10796,10366
97,2981,10100,13311,16295,4853,9261,13975,6476,6478,18639,13263,5170,2961,4460
98,16203,2803,8257,3408,19899,19072,5897,15734,17606,9366,10613,11394,8838,3962
99,11687,6569,2817,16775,1273,13349,12114,17667,7197,18327,12114,2844,8165,8337
100,397,9103,8577,3604,15735,14881,15874,15065,13064,4124,4132,15136,10407,10411
101,18768,17481,9513,16814,17828,11235,8239,5227,2585,17814,13416,5026,8322,18464
102,12035,18163,17135,10622,13815,9952,5641,11645,11874,14354,17105,13557,12583,1052
103,1244,7076,8878,15873,17506,14640,17574,7338,10231,3344,7443,9078,2043,1103
104,4542,16341,8597,16679,4840,14411,11702,1442,9946,7472,3672,11080,19810,14114
105,5124,11396,17591,4739,3398,6545,14590,1607,1512,9170,13447,12623,12524,12530
106,4764,7806,12039,10792,15566,17386,3471,6445,563,16559,12163,18128,1861,12123
107,19104,7594,13618,2966,8747,6245,6466,18593,12260,7414,11355,917,13357,10416
108,9706,8010,17259,14686,7866,6550,13670,7187,8476,3711,11004,19635,2573,3453
109,7850,11005,3335,10134,4891,4153,1305,12304,619,12928,17828,13216,1488,2064
110,17786,14820,17715,13767,8616,15926,9877,16549,2717,14682,9555,2802,11835,19727
111,936,8712,814,1819,15105,13001,10347,9298,9466,12417,10712,7553,3119,4946
112,14312,19654,12722,2962,15752,12097,6580,13254,14967,10673,10373,13617,17132,8370
113,17816,17887,10400,6505,10917,1978,12934,11534,16877,6568,13427,861,19893,13854
114,5486,7496,16837,3573,1908,8901,4766,15785,10015,12111,17110,14071,4970,16281
115,3798,5904,7907,1531,15711,16370,19734,12544,17169,16084,15026,2684,4281,8138
116,18990,2040,12268,3484,10342,11187,17006,18965,15699,18996,13561,9694,4126,7603
117,18429,2491,7377,3459,15658,4500,7742,892,8100,10702,19608,12532,17139,7614
118,3788,8083,19789,2948,8514,12281,1319,8383,12452,5304,16060,8114,11437,1327
119,6489,11609,19191,1529,17459,11602,3472,8840,7420,4527,4082,12244,909,12473
120,3962,5099,5549,16980,7365,17582,17432,9205,1304,7172,2738,1245,6531,14472
121,9965,13189,13245,8701,12847,760,16557,9551,14825,3232,2781,17866,12905,8786
122,3907,13663,4826,9910,9860,7919,2113,12800,8647,1074,1447,11551,15290,16950
123,8918,12908,3959,13810,15319,1150,10538,18537,1824,8614,10392,6073,13741,5174
124,7108,10711,1799,5087,1161,3590,19191,4402,9958,13860,13010,11215,14126,9209
125,15367,13531,4423,16914,10074,12522,17540,14416,5014,11968,15784,2504,9111,12486
126,11005,16412,10677,3265,17177,8584,1628,6599,9356,18084,16803,3882,7662,2786
127,8216,14235,1825,14833,6985,2112,15020,17670,14383,10237,5898,3984,8022,3822
128,16667,9042,18886,4972,11097,654,3688,4017,11490,1843,7073,13949,11597,12544
129,14667,16544,17137,17069,5098,2691,15217,18981,19577,7363,11609,18957,14655,8602
130,4694,1824,1802,11048,16674,5791,2786,7045,6242,14776,19186,6676,19978,14515
131,4821,1803,17549,4732,2540,15730,11969,11171,16332,8558,4958,9048,11230,18344
132,9173,5123,3800,9300,661,15157,18291,3008,17800,8808,10817,12404,7797,14900
133,16325,15139,5135,12710,13697,17183,6978,7431,18048,181,9093,6035,2308,12287
134,4764,309,9127,13525,2399,3212,4721,6718,10358,8708,19133,17481,19276,13070
135,18696,17731,3971,15675,10958,18426,9242,9073,9077,9262,10305,2318,8817,11310
136,17784,9439,5604,15850,3016,10522,17989,6355,16473,13878,15454,9502,4577,774
137,18051,5832,15669,5773,1380,14963,1093,1346,176,12440,8062,8848,19920,10995
138,1231,16747,3721,9763,7068,10991,13356,7347,8584,2044,12980,5726,9662,12141
139,19966,4657,7608,15044,8382,9907,770,12448,15998,10108,1265,18947,8658,6655
140,14946,9676,14107,2414,2208,16486,288,12950,2702,13078,13187,16006,10531,13220
141,19340,1733,17239,18440,13645,11724,11053,775,6562,15486,9667,8794,18914,3420
142,17610,13776,8963,18547,17518,113,10937,10753,2274,3856,11795,7684,5710,14904
143,2252,13835,6652,4095,13613,8339,3363,1872,7546,16776,17167,11409,18422,13511
144,16118,9303,7907,18655,471,12305,1264,7381,3074,11150,3359,16932,1521,1882
145,8630,8354,6415,12412,3953,5145,6659,13367,390,8925,980,10292,8617,18215
146,9736,12689,6754,6586,6648,3867,6903,1003,3342,7791,8744,18465,8386,16928
147,10812,357,4037,12738,1381,3373,870,9304,1033,7114,13529,14596,250,3631
148,19708,7288,17311,19593,7045,17120,2657,5903,17787,12260,16634,16098,5739,16683
149,490,14332,13832,185,6613,6643,7756,10132,15921,1890,1409,5115,10122,1711
150,14606,14410,5481,12226,17284,9039,12223,17002,14283,4925,5429,19110,6473,9305
151,7970,15400,9865,5725,1248,791,18534,2189,12309,7007,13781,19348,12768,7125
152,4888,9611,17249,13059,5171,14401,2919,10264,10558,18264,6571,12182,19825,18538
153,9833,12499,8280,16209,14064,7977,5618,10348,5915,17700,5418,341,18167,11398
154,8192,12175,13241,2923,4258,6840,11692,16883,3975,19420,9335,16440,16625,9926
155,17227,7229,16516,11858,14627,2635,14389,12859,9808,8370,3125,1232,8112,4484
156,11889,2319,13170,11242,15243,8118,13670,6369,12976,7563,5173,2134,3020,4457
157,12602,5109,5520,14724,17644,14327,1270,17051,3665,14674,3151,6229,8414,10627
158,17313,18917,3225,18668,18554,15468,11311,19117,10310,2004,14144,2596,5648,8463
159,4078,5271,8511,2034,16265,1344,8714,15841,12169,18148,10720,16853,10430,17673
160,652,17639,8338,12148,10906,14800,3157,9338,4394,826,5312,18340,9619,6122
161,9751,12783,18336,16925,10467,3972,4253,8759,18665,124,10677,7564,10466,785
162,15475,7604,6658,15358,12898,1827,5296,18461,10641,9789,10622,1161,13392,13847
163,8863,19473,14497,3080,14187,15920,4731,18217,7850,4652,18155,11140,5634,8167
164,9334,8531,6985,8528,11918,19675,9568,5027,13417,9931,17894,16008,4866,9996
165,14275,15511,4649,9109,10625,9576,11985,8694,6924,19679,1456,13974,1801,16704
166,7833,5968,10884,7455,5462,12684,19859,8710,15483,11734,12249,17640,17649,5765
167,1648,6340,13776,8386,17602,15860,9789,4196,14728,10907,12398,19238,7608,18173
168,15802,886,1762,12120,17541,14369,10886,536,4846,10657,19662,10351,8561,3997
169,9228,7044,19069,4604,17570,10917,17542,9976,7227,210,12150,11465,979,8828
170,2031,17955,4663,2368,1971,18737,3156,7554,13802,15308,11997,8077,5472,18971
171,12370,16918,12456,303,12689,11484,15397,2974,8842,10912,13924,720,7157,6552
172,9452,4731,11330,5084,17154,16881,8092,16042,2172,6556,13351,13597,1021,12800
173,9699,16017,4092,8108,15366,11550,9796,14259,9398,4030,11362,9206,14069,8467
174,19279,1055,17363,17734,18193,2253,14604,5979,10433,695,13119,15388,10603,15385
175,13227,15645,9992,10549,17348,18589,9898,17678,18638,11082,230,1555,13232,13199
176,11402,1885,12291,16746,9398,11515,17337,16377,16677,3350,14553,11204,19661,15140
177,389,742,6571,13073,10186,4194,1587,157,8073,3133,10329,17299,16383,11228
178,10814,17589,18121,4979,7452,13477,19480,832,480,7203,3530,14297,2661,9435
179,14081,11754,10305,2159,2861,649,3883,5900,6030,12558,7034,9322,4694,13508
180,5620,17504,13336,2712,8029,14259,5085,3437,4775,12007,5875,8203,14896,13019
181,16815,3872,8650,3339,12704,1107,10362,12683,1232,10673,333,6750,12050,3164
182,15816,19760,8641,3376,7730,161,1711,18455,10563,7039,15764,16112,3126,15442
183,14808,14175,16222,6368,14811,2293,11874,13729,19084,6327,6967,3601,2031,1441
184,9771,10439,16379,1852,3376,19397,12595,5712,2393,419,14387,9046,9425,8179
185,19589,15051,524,18521,1809,16211,3609,16244,539,19684,17764,13575,10206,6845
186,13628,2689,9942,18952,11016,12923,4339,13069,7126,11795,1068,15298,9212,4942
187,16281,16200,16749,15952,1359,9362,12070,5868,14824,15326,9274,19799,3621,4437
188,14945,14832,7290,9175,2523,8491,13110,16201,8839,12191,5676,11500,12407,7774
189,10590,12081,1607,5639,18837,12672,13649,17797,165,19246,14840,4569,8293,12149
190,13998,17129,13426,2365,2903,5284,7641,12557,16284,11707,4387,10907,6373,6606
