"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015","sim_016","sim_017"
1,4345,16722,8757,12277,15742,6036,11262,4396,147,17255,3159,5539,3983,2943,19064,16627,11909
2,12343,14917,7250,15171,11533,17131,12225,18551,13706,4134,795,917,13915,13991,14688,4374,9802
3,14716,15119,8165,5370,5822,18495,11958,8361,17139,4427,2315,18489,4333,16881,15730,11614,5560
4,19981,18296,7435,13716,7292,16788,2356,14390,6532,10050,8121,4654,13704,6207,12437,15774,5522
5,14800,9381,19953,10751,19599,3145,13667,1048,17966,7592,6068,19046,3021,13308,9579,13700,886
6,10400,7184,2959,15563,17136,19440,6722,15209,11015,16618,8856,19196,18450,4752,12436,13090,10823
7,16468,8364,9065,15848,18591,16479,17034,9472,1019,10642,19319,12402,13528,1097,18123,7994,14149
8,10347,3552,11682,2458,12478,5759,17849,10740,4062,6109,14457,2966,8817,2147,16891,11575,17664
9,7252,9771,13676,7437,13066,18639,8806,12954,19920,19192,479,848,6209,19078,18431,18590,10742
10,1292,5711,7483,3646,2792,2202,11387,15452,12385,15016,7797,7610,16524,13778,3863,6534,3602
11,8054,11847,14004,8041,16405,17169,15929,15341,6910,10168,5854,4768,1000,7449,15637,12614,19466
12,18586,15245,16284,12016,7819,4278,10857,16125,18949,8947,8504,13927,8204,2971,17150,17877,876
13,19246,1039,15004,12064,16140,2238,13854,12482,2274,4325,6119,10920,12755,5910,8684,13739,1080
14,12875,9661,16021,5409,6323,1286,14821,6048,15203,19517,6164,188,13799,17714,19185,502,18753
15,11054,4405,1872,4261,8180,3321,9573,16840,12546,6549,12543,17402,4149,14562,6918,14284,483
16,3125,15020,14584,19465,12572,16874,11677,13899,19007,17729,4678,4553,12659,6741,14784,10168,5244
17,12613,5958,14304,19083,8755,17533,14210,15875,10389,16469,5889,4101,4888,11129,3574,5821,6610
18,6217,6210,17455,17309,18581,3757,19438,18260,403,14209,16135,1201,5079,4405,6173,615,19714
19,13077,19035,6971,9517,8430,6193,17154,1433,16096,6408,6373,6728,9749,19629,5388,10780,5929
20,1580,16910,6555,7287,14672,13297,15544,14096,11424,2406,15461,3469,7249,8805,7454,9591,9198
21,2856,5664,13015,19739,4223,11575,16372,3556,14037,12245,2223,9666,12421,10644,9723,5074,9361
22,18548,16657,6046,8395,9365,12379,5185,5351,2871,11306,2865,1270,17485,6972,12339,17215,18863
23,15513,3529,10976,3143,14413,12199,6137,12417,9930,11728,13109,5200,15135,8633,17198,1230,6999
24,11313,14927,3310,7700,692,12600,5057,19988,7242,17736,10706,12152,17836,14806,11903,2831,3765
25,6089,17463,8608,7890,17415,7354,10681,8288,14157,7116,14348,13407,9821,4184,16238,9554,5277
26,5984,11446,18573,5105,13700,12765,13895,11212,19239,3248,4708,5084,4774,15623,17036,3448,1394
27,10691,8764,9292,356,3059,3886,5543,18227,12598,4068,3975,8122,7957,128,12290,11398,901
28,3419,17437,3037,18590,13457,8051,5976,2597,9737,3064,1349,10886,15538,6880,17136,16540,18846
29,15364,4990,3276,724,15604,4059,13873,18010,12181,8611,1165,9366,18476,1565,6158,4154,16434
30,14453,5073,12698,16482,14263,15957,358,8622,9669,12668,10936,13845,18480,6083,7517,6693,14865
31,1245,15747,13184,14711,3509,12854,11438,8188,17925,14668,11343,9642,7694,12847,8163,3416,13768
32,4808,668,12393,12846,5462,10487,16355,5689,7988,1743,3536,12768,16748,17495,10968,10136,18502
33,13551,19107,19371,16113,2995,14989,11642,6977,19057,18415,3056,11544,6779,2979,14377,18356,5739
34,18888,2860,14735,8041,13148,18371,19136,13851,7505,7887,3396,4507,8229,11482,1952,12478,5379
35,18035,19414,8688,10354,14457,7080,10615,8113,11078,4144,8308,3963,16646,14242,7241,128,15524
36,10471,9238,14315,12863,3785,18023,9785,15379,12419,15665,1103,4774,9482,2541,8653,1504,12559
37,12878,17484,16593,484,3912,12841,17205,5150,15718,7509,4948,13140,18729,6233,17705,17351,15446
38,10448,10942,14427,13012,12357,16234,12150,8267,12663,13634,4812,2962,16086,19342,11207,13894,19456
39,4168,8138,14503,6217,15243,4354,9282,5935,1569,14880,5010,4374,2922,3165,7426,19880,14330
40,13545,1487,2385,8839,13962,5271,7496,2887,17338,3973,9776,2480,7794,2923,14373,13621,12689
41,19721,8966,18671,248,9305,13292,6982,9215,15292,3076,11602,2691,9174,19835,18224,3447,4844
42,16524,7619,4417,5083,5166,8507,4036,2725,13895,6809,357,19954,13505,16599,3901,3270,13914
43,19065,17842,18379,12740,12383,284,15469,15880,7054,10354,2481,9215,18800,13601,4831,1917,14603
44,7028,13980,10520,12474,13976,2059,18237,4735,1639,15707,2923,2588,19306,5434,18172,12102,17448
45,2247,19577,4147,17106,19685,2893,9049,4721,7358,14685,3935,16860,2600,18286,14959,7075,15604
46,8579,8716,14348,739,13297,1362,17896,19386,10717,7152,14389,13558,12890,12238,19921,1838,13063
47,300,19423,10656,8604,17143,9136,1595,6820,14785,1482,17773,1706,11584,6011,19481,13150,2359
48,1187,19782,6196,18046,4983,16149,15057,7423,14753,8522,5979,18699,11671,8064,17459,19098,3505
49,8190,11595,15714,12147,9524,16473,8546,18140,1686,8163,4969,7840,5582,10886,3549,6985,947
50,11172,5629,13809,6285,3282,13147,5483,14627,11356,16572,5841,17498,7332,14997,9640,6026,5486
51,1585,18836,17922,14246,11595,11660,5091,10149,4146,10957,15757,12273,12632,15242,5701,10778,7387
52,3465,15657,105,18811,3031,8999,13478,17334,10272,8311,3802,2642,845,15120,3151,18927,456
53,116,8913,14133,187,13471,13441,10416,17314,14398,6271,9601,4146,8758,5177,11813,8255,18281
54,7510,7258,5909,1348,5969,13399,4164,15432,9751,12241,2770,18314,12265,2128,17153,3275,15350
55,18643,12111,16051,18306,6785,14344,16993,11861,12324,17045,1128,11901,19157,13681,4302,13661,14544
