"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012"
1,8598,807,15505,11038,18212,9871,18063,16171,16004,9222,3257,9362
2,12342,19418,15139,11761,19625,18450,15053,4614,19894,19873,6160,12075
3,15531,14382,18254,1234,15532,10469,14762,358,15229,14113,2332,4894
4,12063,7495,1428,10414,10884,15510,14121,12107,13202,18490,16938,967
5,18364,13993,19503,3655,14260,291,18238,3598,10040,6320,10753,14116
6,15383,7653,5863,16415,3481,1375,6018,17286,103,7915,6001,9884
7,12876,18182,2944,7789,2684,7258,15647,12267,5975,17576,276,10281
8,8483,8482,12239,261,6434,15222,13030,8484,17427,2632,2008,2155
9,3672,5341,3081,19449,8275,117,17169,7222,2556,16632,14810,1004
10,1540,12890,19885,2906,12139,896,15473,8974,529,13156,2944,2313
11,11603,6623,16351,11372,6942,7883,18641,4353,11713,815,12987,18835
12,7209,16145,7111,9865,8703,8013,2073,1228,19747,13644,1005,15476
13,3642,17857,8558,7523,4091,14279,16820,6859,16128,15648,8991,2703
14,17263,7516,5237,10332,7366,8353,9328,14146,12548,14685,15606,16509
15,15307,14151,12054,16163,4840,3190,547,8704,2721,7955,19152,13872
16,9551,11370,10107,2886,6782,6387,4269,6101,5253,13605,9962,9965
17,14998,16780,12483,14448,7598,5076,12478,10269,6045,7124,1609,3762
18,13695,8064,12025,1273,4315,2463,15570,18487,11837,7655,5454,14684
19,13564,4962,6567,900,1692,5010,10766,14943,10029,11311,5105,649
20,4779,11089,17781,7393,15136,19098,8860,5454,19074,9202,13806,2921
21,2971,1453,13540,10051,16046,17472,364,16020,7166,13471,5365,19398
22,1088,10048,12225,5987,4454,18957,12425,14923,19885,300,3835,17453
23,16098,9726,7373,8485,18924,11176,4313,5392,11200,13063,13216,3715
24,12879,19557,13371,7440,19033,14702,6781,9795,6415,8334,11892,18894
25,151,18869,2419,8569,2312,15387,1688,17480,12134,6539,19162,14329
26,13696,7587,1541,6141,18686,10019,11895,12825,12817,2727,6201,13269
27,7427,16107,14845,7752,4335,17839,9058,2318,5896,12494,2963,11888
28,18684,4300,10246,13648,3921,4736,11738,6414,15045,2793,17033,16335
29,2497,19824,12852,2084,14966,10478,15018,13729,12552,16852,12459,12141
30,15415,13290,8041,10617,16778,4607,7324,11971,8509,2961,1594,1692
31,6564,2371,1263,4720,12236,264,1778,2510,15978,4071,16275,13774
32,15973,4378,9439,8841,8714,1514,14672,13848,6213,1072,2225,16555
33,17024,14210,7121,17408,9482,13638,12041,13334,18807,7645,12103,12825
34,2128,4290,157,17360,17141,13499,4595,16895,16391,12924,18296,15145
35,8571,16454,11263,6197,8437,19615,12563,10799,5799,11195,11948,11669
36,10945,8186,7819,7253,14256,18245,10861,1320,1493,13822,7602,2174
37,1751,2777,15468,9444,19631,11963,15625,13112,16411,11297,16183,3036
38,14925,12867,14895,17899,2013,16596,3216,4244,711,19849,17415,19689
39,15541,12381,14624,16429,19391,16100,13055,14956,18727,10495,14957,15389
40,16991,7046,12622,4315,15917,11384,4505,10573,8858,4010,16004,1524
41,8164,4330,7185,5560,2945,12946,8948,12477,3638,7333,15139,15957
42,467,8852,7381,13850,17259,3010,17494,12278,5566,10912,14819,2178
43,4147,4873,8499,16676,10680,19681,5859,3472,17992,5633,9926,10680
44,9553,16006,8467,8240,8342,18293,3351,4878,5579,16837,8359,5381
45,18174,15561,3142,19016,9354,19043,1182,3465,5505,1474,14631,7845
46,7777,14857,6968,5254,972,14307,11488,8692,2902,7405,4919,6021
47,7864,807,4923,11575,9992,19588,1235,8703,11886,10798,18198,14949
48,13935,8477,8729,13226,15095,7408,679,5960,8415,11960,5160,16412
49,4398,5189,11196,3938,11873,6909,18708,17251,18985,17250,2377,16535
50,9765,2141,7203,178,4722,7615,5807,13631,5013,13454,7408,13101
51,17178,14679,16519,3382,1335,19061,6584,8264,8329,5980,19025,10764
52,16759,13102,3194,13234,12563,12138,2263,14224,13752,14831,11382,5530
53,2645,12390,10649,11800,2320,19555,8245,13690,1950,19229,4849,5566
54,17295,4315,14072,17665,4553,7131,2550,19965,7813,9780,8199,19380
55,2181,6115,9256,4029,14708,2360,16837,2547,5274,18957,8094,7896
56,12395,11914,11333,14200,18704,18453,8313,661,11759,12713,9373,18504
57,19256,3131,12926,8555,987,4729,6952,7786,14440,14267,13377,1933
58,17189,7562,6689,7021,3704,19716,13101,6454,3661,15644,8283,12758
59,16141,10605,8186,2532,16877,1032,8019,19843,11500,7984,637,4190
60,2027,630,15905,19102,11152,10035,8162,2529,13347,11404,8396,6430
61,8798,4001,12878,7290,14033,17337,3645,5256,15218,3891,11244,342
62,4203,1028,6567,8333,5451,15601,10367,1937,16197,2237,5153,13419
63,16133,7681,6846,6866,5936,9825,17737,8741,11143,9375,17440,11087
64,17454,11415,9506,12396,4924,4738,307,14744,9968,4810,8971,9324
65,10775,18129,7089,19675,6052,1116,489,4228,7878,16547,12113,15115
66,15472,8009,11081,11768,15434,7847,3515,9845,5073,8599,19732,9225
67,17108,9154,11849,17432,12169,4839,3864,9337,13536,6083,18395,19627
68,19053,10746,13789,6601,2115,13023,4369,17650,16338,1708,8566,16590
69,19294,16193,13240,19670,10728,12935,3801,8148,11370,1382,6442,8450
70,18551,14762,17335,11844,17780,16709,17207,6931,10673,13223,16747,950
71,11404,8570,3424,11241,8199,11881,13230,9679,6470,1949,7260,14256
72,6400,4234,14382,17524,15089,14289,11898,7650,19559,18995,13982,14319
73,7882,8596,6169,3759,10439,17525,15008,3459,15455,19184,14160,18660
74,772,13033,12772,10365,1515,19110,841,7435,3458,3928,12729,11234
75,6895,2889,4968,18066,8312,12645,16019,5661,10314,10744,14743,13759
76,17381,4343,10773,5809,7857,6665,10137,5115,18949,5007,1188,1959
77,12122,14280,1310,2227,10249,13743,19848,9441,4308,13919,3487,8238
78,8730,18740,15116,17550,16223,1274,961,2754,898,19608,10913,4306
79,19150,16476,14989,146,15377,16020,7387,3152,18829,3418,7380,7619
80,17765,19821,15761,16287,14815,16627,16390,10625,19751,7457,3109,301
81,7009,13002,5142,11210,1736,16273,3787,17266,17189,1216,10307,7520
