"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015","sim_016","sim_017"
1,7936,10919,14513,11915,2896,5146,7453,10308,14425,18201,7323,18004,6107,1498,7581,11243,10534
2,16782,6456,14582,4765,4650,19314,1594,1770,9940,16789,3812,3471,17755,4760,4525,15776,17349
3,3444,1918,778,8135,10584,1425,17251,14814,5353,13691,18065,4157,16000,14602,5207,19383,3753
4,16496,18495,1904,6029,6442,862,10781,18966,11850,12396,4508,1994,14277,6492,7853,2119,16369
5,12029,1831,17409,6001,102,9296,4198,17041,18170,16886,16480,7542,13044,5480,8456,19734,9216
6,14407,16445,17432,10667,12836,7101,10997,15774,5178,12030,19518,19053,19135,6561,9829,13758,16765
7,16422,4113,10936,3587,8788,4851,4566,5732,14886,6547,15561,8993,12030,7623,11167,4090,10893
8,16706,8959,13337,1109,18911,11063,18784,19106,2567,7721,10675,7736,8013,8828,7661,16809,14484
9,4768,2614,10419,8246,13857,19154,948,18866,4520,15349,5608,13617,7777,2103,15629,1980,4536
10,3935,14162,3195,2286,2596,16134,11651,5275,18138,15611,9915,3756,12522,2616,18413,2974,5929
11,16454,6676,3290,18267,223,12178,19652,9746,12639,19101,11564,15475,8784,14380,19951,11794,14215
12,13159,15659,571,6934,2371,2783,15221,5515,15770,11137,14643,13240,7403,11483,11890,14375,2130
13,3378,6776,17208,19097,5572,9143,7741,14005,615,10891,17420,8933,1697,6138,3723,812,5608
14,131,6318,12393,4969,16512,2201,8484,1174,5851,10708,15351,1617,8714,5643,13877,11065,9850
15,12354,4506,4739,2542,16226,3357,12962,19541,15764,11728,3760,9861,10310,8758,12068,18413,13652
16,18387,3820,11310,18675,7762,18493,6855,17775,7638,5528,7085,5792,13310,14333,19117,4591,13120
17,6721,10470,9346,15486,6375,12283,13033,227,5559,16448,12882,12727,10143,6663,17125,4112,4335
18,5513,18913,15350,18991,16577,7008,1122,16041,1406,14172,12854,6813,6551,9205,13204,615,4241
