"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013"
1,10518,13881,19042,15884,7885,1758,6355,6779,10053,15682,665,16759,10420
2,12965,3092,2162,5662,12139,16566,5838,5042,12744,19271,5451,13266,4422
3,6833,8369,4455,8633,17861,7825,19871,5775,19683,2899,18057,13396,9980
4,7132,2601,3070,2185,782,12861,15570,18173,17276,15914,16621,4417,1715
5,7593,12421,17317,14784,15990,5462,8030,8080,3727,7997,18252,8537,2208
6,19437,5255,9137,3424,1444,3015,926,9100,9298,11116,9090,7107,11379
7,14230,18798,11158,19397,16326,10254,11127,2975,13308,5833,9653,17112,587
8,5956,1183,7824,4283,16830,18203,10914,16601,7994,15811,782,11644,17457
9,3623,3067,6018,4018,10317,15725,4223,18904,9124,5013,13779,14196,15290
10,7287,8856,5774,482,17258,8723,6456,389,6895,10789,18486,12951,16755
11,10738,17863,9688,4974,5310,6581,9236,17437,16146,14302,508,5121,18364
12,12831,3947,13049,11004,16431,16595,17080,16629,3330,19790,10244,15017,6675
13,8043,5001,3787,10739,8307,15202,19041,13250,15662,6543,12264,4962,1140
14,15006,520,4055,10577,5731,4915,7230,2525,3635,2714,109,4748,17529
15,14952,9484,7570,5273,1459,2033,6586,13696,14045,496,13482,18301,17508
16,9942,14715,4216,5851,3430,4332,12617,4947,13437,2121,627,11701,1023
17,19226,4123,2109,5544,3011,5631,15516,12732,10972,12792,4268,910,2660
18,3439,15351,4273,11145,11357,7929,6181,8631,323,6788,17631,7697,8135
19,18398,11128,11660,13920,7736,9933,19339,10016,13922,2216,2294,18769,6373
20,14841,12838,2553,3353,2378,3068,12325,8656,7661,19989,12139,15259,12252
21,9638,17269,6025,16477,12070,2998,12925,11530,11708,13551,11589,8133,12393
22,15414,13281,13326,18153,17411,11655,18043,15698,15271,11435,11940,11392,1274
23,9773,18829,5579,4595,4285,2633,12815,10946,14635,13427,7357,19382,4454
24,3600,13355,14653,5200,17190,5178,9373,5446,12918,4927,8394,17703,3063
25,15970,2663,14258,19764,1869,9370,2480,16673,4757,7058,12020,5698,516
26,11859,1660,13224,15105,4448,479,8382,3514,15857,2152,2294,6607,11401
27,16044,9327,6623,2649,7625,12791,9715,11613,14837,14548,3338,5595,13869
28,6638,17074,561,1929,7106,3787,12942,13275,646,7448,5372,14980,2385
29,19878,3775,12138,16292,2017,6270,19452,15810,19098,5126,11279,9710,6513
30,13132,13547,7174,17929,6227,1260,2411,13647,10681,11629,10131,1494,7677
31,18737,16022,6428,858,5786,7213,2164,11818,5255,13773,18408,15766,935
