"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015","sim_016","sim_017","sim_018"
1,3888,5407,12776,19113,11809,9753,5666,18563,5579,18063,1504,19746,14885,265,5150,12779,4803,8762
2,5163,15641,6808,15335,9109,9746,7150,18146,18810,8053,7418,1368,16283,13324,13616,17955,15090,17228
3,7275,232,3097,18805,15995,3192,11598,18380,14547,7827,2276,11004,19366,9504,6259,8110,15180,15548
4,17505,10377,1068,16325,1028,16545,12777,4861,14987,2369,3311,10993,7482,13085,107,12817,3314,4451
5,3738,19871,4515,10309,10064,19828,6353,5999,16823,10366,19224,13774,19120,16420,4047,8474,6644,16207
6,10222,3884,15409,12669,11701,12256,6194,10117,7894,3024,16924,834,1536,18758,19516,13687,14433,2830
7,11887,12628,4913,18287,2793,812,13181,19420,3506,12098,8120,14605,18910,16554,986,5421,9427,17560
8,13681,18984,15167,7251,12945,12324,3897,15215,1232,5654,16554,19740,3979,6185,1372,7703,5599,16105
9,6467,10660,13295,15921,1991,14727,14901,1298,19275,19286,19254,909,12230,8261,17939,5959,2015,3526
10,5468,2256,9401,14305,1809,14593,14555,7931,10832,12807,1414,3094,18434,5675,14625,3007,18119,5598
11,11977,4169,18534,5316,18633,12979,9162,9994,19511,624,16548,11403,11020,4434,2632,6585,911,14277
12,1029,2861,2505,15588,1610,10184,18884,10891,16486,7011,10444,5846,12519,9621,3525,1541,13518,10765
13,5434,4266,10103,18927,19342,19348,10282,9265,7634,18203,19081,17033,12489,3508,19462,10380,9081,12472
14,17990,6549,10488,7401,18809,13343,9470,4845,15934,19830,18024,3120,9251,2624,19000,9715,14237,14057
15,7644,13640,18715,16665,9375,16223,1939,13365,9148,3606,11303,19671,454,4807,14557,10111,7552,10166
16,9813,333,13086,19164,11899,10120,15651,19558,16993,11029,18746,5106,19822,9811,10452,7711,17554,10150
17,19321,7763,5122,18101,11698,403,10246,8037,3128,19902,5880,6638,3755,19245,5768,557,18472,5012
18,9258,19799,797,8659,14016,8641,13875,11939,9573,7747,3365,19618,4081,4298,8055,1019,12879,4224
19,18254,19452,6902,17859,18729,3102,3065,146,10533,10945,17425,19853,9280,18771,18657,7119,3171,1987
20,17806,11650,11566,7524,19719,4651,1088,4160,15948,11622,11814,7857,15630,9394,5247,1061,11071,18676
21,9553,4148,17912,17545,1144,18539,4139,3770,1143,645,18802,8701,2015,2113,1963,5877,13379,9784
22,16152,18951,9282,12020,8146,13711,15349,13382,3530,15710,3832,7580,4666,6985,13381,2247,19816,11796
23,6813,2469,11302,17926,17757,7125,9079,12957,19863,7811,8721,9840,12319,888,17070,12682,7115,6698
24,14231,9722,5331,17604,3799,1072,7487,4187,13734,14129,593,1124,6170,10040,9706,15048,17636,6134
25,18921,12844,14878,2756,8231,14584,14766,9477,9919,141,15875,14533,16728,16428,1920,16288,10550,14539
26,14936,8880,13940,10006,9337,9455,1588,3070,3923,5237,6078,18153,8810,9590,9676,5784,9314,10677
27,10478,7204,6976,5135,8010,18715,4790,12586,15831,8096,9519,9343,13478,8218,11559,2987,2242,5589
28,17718,19405,10538,11021,3077,11779,16924,10801,8895,2566,6470,12608,5827,2784,8707,15330,14983,18389
29,4540,14541,13327,17244,19719,8357,5291,13788,3396,4919,15817,2755,11510,15129,1306,5656,2350,8923
30,7761,18524,4661,9353,5391,14760,17910,12335,5122,7331,14268,16727,18163,7196,7188,12235,3686,18182
31,16306,7061,15536,6981,5821,7437,15006,389,16952,3864,13391,13385,17842,18145,5898,411,11830,5370
32,6927,5141,15490,5798,1440,18633,15044,5941,1676,3222,4565,18877,9756,13025,7848,8105,12967,19090
33,11702,770,4540,16897,840,17545,8167,5386,8391,10752,5132,15787,16151,15014,1089,18032,15380,14754
34,9849,5825,14017,113,9712,14147,8085,8424,6754,9464,18878,12018,2350,2843,11219,2985,4735,131
35,17646,14488,11310,4960,7755,2619,5662,793,10470,17004,878,14256,14819,14911,942,7206,9427,16610
36,15285,6871,11316,19247,15087,14398,2452,4450,17553,16566,175,13493,715,2963,19377,3063,9235,1211
37,10013,731,16327,18850,15639,6870,18218,9284,5036,1937,14220,9717,16216,529,1688,10554,15661,3385
38,12006,7447,9634,16359,2268,4256,3133,2561,427,15087,4325,8771,9244,17795,2632,960,12935,13968
39,18013,393,13094,10332,19516,14084,19039,190,8618,151,1532,3343,15970,10468,5299,5175,19494,581
40,19105,10317,15549,4809,15170,7532,19244,14313,10357,12981,6112,18970,4402,10026,2241,4546,393,13287
41,7215,10886,12516,6678,17260,9121,7613,2033,4699,19186,7738,13184,14049,19137,9193,18614,17190,17645
42,5002,19866,11868,15204,1814,10037,10151,11431,219,18708,11805,5248,9551,9967,17916,3196,12732,2562
43,3108,17287,979,4857,11632,15754,1012,15439,13131,9314,13984,5942,16976,17181,8142,2517,4946,16036
44,18211,18510,463,3203,15186,15614,9656,11603,8834,17552,320,13343,10184,6386,13842,1790,334,12730
45,19309,8856,7117,2192,13729,6123,18412,8681,17272,2265,5190,5593,19137,450,10237,5822,15818,17507
46,17068,7195,10619,6959,5054,16322,7096,2928,17847,9854,14115,15893,13293,18891,859,16610,16501,16839
47,7428,19337,2538,11403,4111,6978,1731,7034,1265,11221,8225,17565,15028,808,6494,15421,2888,12797
48,5791,7534,3766,6860,1040,18027,6703,18871,398,16720,10442,2095,8854,7052,9067,2899,587,18116
49,12364,7823,17664,13038,5592,19767,4532,4352,2274,5291,16650,425,3171,1417,10779,2090,458,10199
50,3215,10036,9330,10615,8039,6584,7108,10468,646,10665,3277,16326,7548,356,10969,3847,18477,8087
51,18689,2312,4857,7065,9978,13013,2535,10523,16092,2245,8373,3607,7502,8813,15397,17417,15622,17718
52,4687,16388,2872,4472,16186,14809,13813,1147,16412,13782,2534,4839,19298,10303,18033,13415,4852,10443
53,12373,14352,3070,17252,19932,13201,10256,18618,19132,5379,11266,19803,12522,7804,10319,12012,14565,1576
54,4470,8099,9672,19510,10514,18788,18435,11582,12522,15613,1467,16359,1454,15976,8716,2465,6350,2842
55,16192,11406,8216,6194,9136,12248,8506,15963,19721,13821,7434,10894,4000,13720,16663,7743,14068,16280
56,10702,8580,8687,10346,528,16709,8927,16256,11924,18132,13079,8985,4445,15097,11062,12184,11706,867
57,7994,8012,4971,4432,12707,2863,18538,4858,15139,2417,6042,6319,13594,10056,2655,8235,7395,5615
58,18278,3936,9714,4537,13363,19176,12333,4898,18307,3051,13314,10518,9278,2417,4587,10881,19774,15899
59,16051,10912,2765,3459,10476,6648,13776,2696,11306,4788,9552,9085,11520,5077,5131,6011,8299,13184
60,12357,18166,1504,10249,19428,11032,4438,14332,9659,7255,4058,14420,9303,3240,6675,8190,15171,3663
61,4124,544,19745,17736,7772,796,11077,11593,18492,1106,5269,11601,17678,8495,4121,4059,9205,18074
62,8535,19156,19305,1258,10399,4362,10869,9975,16927,19226,9986,7932,12461,9095,16001,1533,13520,12636
63,2306,9871,15351,5505,472,3319,7485,17041,1377,8390,15841,18040,1517,1761,5975,2250,7693,18894
64,3038,1293,12305,18574,16125,17759,8997,882,19366,17373,19622,4702,4103,12470,13336,2827,1701,2200
65,10562,745,16480,481,11764,2719,5384,13390,3303,11791,8195,3593,10713,1610,15730,4548,14819,3868
66,17908,4074,4587,12667,17554,18832,6060,4950,10393,18443,14851,15703,11924,4495,7159,15644,580,4201
67,9118,4430,15995,2535,8462,12006,18572,14924,15280,855,13295,8096,304,6990,16869,18991,11679,2181
68,4572,19318,9798,7282,13781,10684,13261,5831,7522,14961,9149,7336,12444,18804,11316,17901,16771,1586
69,14734,1315,4145,2105,2246,10181,4767,4666,3587,16457,15721,3706,19825,4373,1379,17840,5063,19759
70,19955,7312,1487,7555,14087,15490,12645,8801,8743,14424,14181,7628,9016,19037,3257,12458,17773,13647
71,4965,1851,8814,14715,15984,13098,135,19840,8034,6814,878,14482,13419,5545,9077,14880,8167,4057
72,18898,8062,8208,16659,11187,9855,16227,11131,8441,2079,16709,18700,7226,2372,18783,9650,15244,18960
73,791,5676,16922,15726,6770,11535,3697,14957,9197,13421,15575,10389,5814,7395,14128,11806,4281,13775
74,11963,968,19717,7907,11868,13141,5485,6997,13276,16532,11444,15973,11973,3080,1143,16620,19014,18875
75,19939,10181,18487,7988,13246,4731,14107,12079,8833,7741,7848,8061,17766,14885,9602,1229,8287,18059
76,1924,11404,1466,3430,13418,7924,10279,10467,15754,8047,17486,5827,5343,7730,13239,3324,13708,3971
