"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015","sim_016","sim_017","sim_018","sim_019"
1,11155,19131,10758,2192,255,19103,7387,7503,13975,7438,2301,17249,8898,5279,14296,10958,3790,1277,13739
2,1488,19297,7087,12909,1613,15928,7602,8954,11925,13572,433,10032,828,8487,14250,8566,11500,17367,19595
3,9318,1283,10968,10810,2858,14376,291,4494,8096,14426,14726,2172,11023,5464,19259,12477,10681,15286,18039
4,4965,14218,18345,17784,9434,8889,11786,6841,8453,10422,2908,7678,19480,1614,11026,19390,1574,17917,844
5,5970,7962,17096,1318,5748,15473,12701,18205,8074,18490,8264,7856,5995,11749,16200,9463,12776,10596,19005
6,3951,7981,13312,2084,15644,646,17706,11790,15386,3821,8522,11099,7183,6358,12004,14151,3090,9160,14915
7,10802,537,2162,7527,7731,8897,7777,1488,15679,5202,18162,3964,6506,13357,16543,12911,2715,6344,18149
8,9490,5463,14018,12836,2354,5414,2070,17508,7776,8028,15533,11973,1121,5341,4083,10408,5630,11492,15714
9,5829,2805,1792,1417,18408,160,134,3400,13549,15780,12329,13833,15559,17985,2024,19831,3684,13907,5780
10,7882,18925,16417,4051,762,19039,8560,6200,15907,17069,15724,19948,12912,9250,12332,16967,3446,4533,4224
11,283,9766,6449,6863,12625,9160,7951,8850,11252,1671,15455,18796,14949,6592,8850,1644,17885,6611,4112
12,19352,10562,11723,6553,4712,9203,4325,15076,12422,9096,4433,18898,18411,11282,3015,11103,8526,18844,4096
13,15053,19308,10970,19999,5869,1077,8861,17765,13258,9846,8549,9850,1853,12945,651,5467,14973,17153,944
14,14285,3272,17635,2302,5510,19844,3003,16723,247,2958,15867,12054,2340,14489,7119,15406,16184,13244,12770
15,1815,8104,18077,9512,15963,18245,14634,1456,12230,3737,3423,2062,1990,3766,4984,15264,19878,1221,15524
16,1858,13606,16483,10547,15248,6165,19190,17538,16561,12935,15072,14010,916,1482,5956,177,7147,14522,11358
17,1132,13105,7162,18713,1395,6039,11147,2840,10060,14316,6972,2366,3337,13899,19369,7704,14853,2526,2281
18,698,6149,4860,1531,4641,1199,14439,3608,7489,16131,15454,3330,4568,9742,11616,10710,13538,938,10339
19,14046,18236,13829,8470,11181,19831,17828,9690,7322,6979,17296,7859,1842,3886,17999,467,2024,5393,5979
20,14463,1190,13814,8982,5180,8613,14833,8600,15044,3087,6848,3727,19987,1765,17971,6425,14274,3030,10890
21,16569,4120,1868,14287,14075,18060,16566,17049,9858,4397,11879,13999,8296,12173,4830,16151,12867,16627,540
22,18485,14547,14870,17016,7890,5946,19747,18740,18071,5330,14248,372,1688,9791,2715,17326,6821,3635,2440
23,1039,8851,14177,15368,3544,12386,17172,6566,18222,15281,7160,15632,3399,15309,17224,10237,19983,8285,18708
24,13752,6819,19966,17193,10630,8844,7541,5393,11918,7459,17171,17750,7675,17759,926,452,13790,10718,18035
25,2615,403,1798,12222,11166,4000,19016,11791,18396,9019,14182,15906,17901,15881,6410,5889,9257,1387,15321
26,8752,4648,10746,2928,15733,6470,8998,19916,530,5501,9959,16245,8365,19016,12844,5407,15694,4300,14449
27,18003,14471,11204,8244,10446,7779,8971,15350,16443,493,581,8847,15454,2760,15653,15893,435,9382,9818
28,12432,12820,16158,8384,6848,15437,17673,4381,9928,15847,7918,16066,9049,1954,17062,4208,15867,4750,6835
29,8610,4908,15072,3359,9675,17222,5928,17815,11051,15718,916,18805,13084,18695,11053,10568,18333,16848,8616
30,6596,6972,14022,2899,7617,14163,8586,16238,520,6707,5100,18691,16040,19336,3759,10705,836,868,12181
31,1119,13554,15303,544,18835,17793,18216,17772,10503,7492,5090,2099,15210,18394,4246,18597,3169,12638,6189
32,5591,1113,19817,4371,2042,11766,1407,15875,16409,11569,15433,12272,18021,13869,17708,4048,4395,9942,16615
33,18375,15658,1882,19642,4018,12274,14343,13601,12928,11001,8723,9598,8434,8920,6748,11481,6342,10973,9820
34,4107,11807,1890,8875,4198,18257,101,209,15518,5331,19841,15911,1220,11289,15269,6737,19558,9076,8696
35,9033,13595,10873,302,519,743,13735,9256,8225,6499,17716,18809,12588,9842,11338,5743,19424,7743,15233
36,17766,6700,17862,19595,304,8575,5269,6688,2834,10504,9046,14401,12300,3284,9590,16405,6506,6917,4744
37,6861,18931,8086,3056,11328,10375,4018,19406,10952,13051,1780,6224,14493,8728,9531,5980,9135,14899,14226
38,4134,11393,8532,11639,4460,2406,16203,9617,4646,7614,3215,11130,15053,2871,9073,18673,13736,10021,15079
39,16484,18191,14114,18745,16756,3125,5971,656,16707,14766,5301,3783,6834,18384,17442,12530,6736,18192,10278
40,3416,8039,14392,2089,3268,3922,1348,15998,14153,841,2326,2334,1779,16664,11544,6570,16960,9510,1256
41,5712,15568,13785,19340,15008,349,17213,12903,1116,13952,3082,13692,14706,4100,3140,9061,13871,11210,9167
42,3621,7002,12004,975,14291,15168,12399,9400,13008,4977,17197,5567,13102,9220,5909,14440,11865,16419,7972
43,1358,1024,405,11422,7369,5968,5580,4862,17129,528,9037,19577,16965,17826,10009,4355,8980,4338,11996
44,5913,6294,12210,7475,7992,19539,2404,3112,16544,146,18775,2068,2142,13430,7076,15126,15484,4523,6223
45,19308,840,531,14812,15084,16485,5967,13925,2077,11627,3847,16069,6423,5988,3643,7326,4916,3051,2961
46,18829,13309,4216,14758,5552,502,7526,16622,2553,18494,12410,15191,13704,11501,12196,9962,13524,12441,9954
47,5744,6381,16276,10063,700,17824,10926,12555,19785,4877,9756,15776,5003,17668,6461,4617,14034,18670,5745
48,16692,6837,17811,3548,1850,799,16831,5088,17832,11220,12227,3829,14579,2674,7748,17099,4536,16900,7772
49,18317,202,5951,19969,13573,3063,11945,1741,2186,18079,9895,231,13918,9235,4166,5318,13240,9302,15329
50,4316,14342,11449,11624,10338,19883,5546,18016,6294,17375,13815,15327,18726,4182,14194,19747,8976,5375,14084
51,2062,15463,15052,12202,15107,19840,809,17868,11019,12122,11487,3002,11585,10768,4866,18800,3864,18611,13800
52,17917,6108,12053,16578,13195,1966,10343,13439,1004,12690,13228,9977,9941,9625,16932,14894,13629,5392,16024
53,6444,13451,4963,558,12457,10363,13222,17834,6244,15773,7812,14611,12812,14005,14164,14980,3796,15581,15328
54,4648,13382,5118,16930,14611,18015,526,2679,11283,17990,2769,15056,1125,4511,2248,10109,4302,7832,6939
