"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015","sim_016","sim_017"
1,13057,12795,373,9268,6478,14300,8428,12889,18126,13732,475,9425,17621,16734,19188,418,1182
2,6082,6656,7153,2130,1303,10913,8164,9048,17977,5141,11734,3706,7160,5664,10182,12152,536
3,13070,8852,1903,19403,5101,17536,7293,613,16197,12482,5094,19132,15946,17097,9174,17090,17587
4,11639,17686,9330,18051,4345,15599,10465,3978,17039,13061,16435,8467,13604,5500,17834,4705,389
5,14305,16390,13497,13725,18402,17378,9071,4215,16975,4488,11000,4874,6363,18227,10778,12898,2826
6,12752,10891,930,19592,11654,5731,13803,9980,14479,12623,12409,1767,19322,17502,15672,17408,16082
7,3786,14611,18109,19128,13407,12134,14519,2826,5949,10240,11374,8927,2533,2732,3847,778,11189
8,17655,11491,4268,11323,12088,12135,9562,15928,17911,137,1654,3841,17428,13236,5791,12946,13087
9,8587,14417,5143,17736,9014,11003,15471,8559,17338,18157,11001,698,9781,10416,5818,4987,19298
10,9590,6029,1350,5769,6371,15008,5091,5935,19747,15406,3985,19805,7137,1329,17793,11805,1354
11,19153,845,696,9168,7134,11587,7858,8677,17485,13406,938,7812,6499,5773,1426,15037,17758
12,10410,16256,11332,165,5319,2385,11873,14397,1991,16957,6660,12121,4741,18351,9434,14106,6199
13,5004,9294,8390,3014,19494,16705,15733,6218,873,8286,3453,15015,9556,4779,120,10496,12038
14,18381,17400,3902,9762,8260,17262,14096,12298,14184,15659,3633,4575,15677,2189,3072,13656,11040
15,18304,14434,5621,3846,9451,5992,18859,16392,4704,9156,17843,13743,16465,8950,16028,9957,2521
16,7987,13331,18787,19991,14892,5744,6119,7253,4865,6570,8103,1856,3663,779,6187,19624,2254
17,2482,3481,15771,19800,14638,16317,4314,17277,10200,1423,1470,10659,14577,9244,2985,10520,17526
18,19378,16673,3993,10799,486,18295,11359,6098,1747,3110,17400,16505,9154,3502,17846,14828,11877
19,18964,12945,8602,18041,17587,3911,16973,10647,12661,12708,10910,9814,9769,7268,5523,2186,1710
20,10331,18882,10256,11541,5057,3138,8591,1402,15286,798,6132,12946,9691,8807,7205,10369,6706
21,15722,7987,8857,390,7259,913,19542,18976,5478,2074,19644,2422,867,254,13728,3352,15461
22,3823,3610,14321,19579,3505,7589,219,13287,17597,19393,1953,16110,6629,8620,10320,10204,16569
23,9769,15109,13081,18314,19796,13583,560,9051,6705,17610,8549,10380,6081,9782,5614,16385,5159
24,15300,7144,5362,16796,19366,16271,3393,5231,16723,8453,17257,8566,5905,2625,13484,19781,2365
25,6087,11034,4952,11664,3420,11954,1961,7545,1765,10226,10111,6112,12875,4156,1074,17909,12563
26,8495,12674,14723,3009,15724,5166,6439,2017,6358,10977,14898,2806,9277,4908,2166,6092,8394
27,18313,11095,9898,9335,6104,8014,5241,17736,10302,17961,13839,10436,12051,12735,15594,14119,16804
28,3586,13034,5903,15953,13523,11548,8627,6026,2421,19860,16161,13063,1920,18752,6882,19553,5372
29,10440,13775,15440,18556,7167,2648,469,4379,2768,7502,6137,2835,6699,9942,1431,7766,9939
30,12702,9351,12731,17191,7961,7483,6355,10101,15707,4334,3469,17954,5475,13329,6715,4356,5472
31,5938,8780,17387,2043,9494,17722,19099,5581,4057,12914,19270,19674,19619,8911,12456,15618,16246
32,9194,3603,15528,17166,8310,3069,4493,16922,16912,18905,1329,18762,8498,9235,1368,6871,7281
33,8328,5184,2765,11842,19865,4379,1201,10367,3248,147,12102,18659,13419,9938,12547,12287,15024
34,18909,17681,13436,11147,1078,9342,11084,10167,13783,8392,1990,8176,5132,17928,5327,11070,6153
35,10245,11903,5625,18561,1094,3332,945,1783,9234,18457,994,18710,5094,1655,10739,13760,997
36,9447,11718,1107,984,8601,18856,1505,4814,13454,15321,8826,14917,14704,2284,2135,16080,7512
37,858,8078,17287,11146,6263,10140,4485,4865,19375,18299,13635,5103,14020,8628,12124,6859,11348
38,2620,538,17015,5560,9244,5659,15051,803,19528,18084,17833,16792,18099,17830,12801,1910,1410
39,13316,1198,8607,14332,10717,18914,11057,7639,5788,12026,4176,1467,1958,12700,17349,8265,4595
40,18461,12227,1993,19576,3080,15965,14848,2543,9835,10488,7680,2510,18121,13583,735,5228,19722
41,4922,15281,16354,19223,5600,2006,9020,19969,5805,14863,9121,14725,14759,10696,17757,9106,11122
42,11262,1373,9016,6112,15571,3501,15119,13480,15602,18818,2911,14637,17154,18473,8506,15005,496
43,17540,11578,5827,14222,7393,2248,3951,18964,18239,16859,8266,9732,6500,15386,13865,19720,6546
44,416,13107,13978,1934,2809,4354,4419,19452,11489,14041,7471,12711,5389,18071,3360,15193,6313
45,15046,3688,15611,12412,5900,14992,8391,13861,1566,5677,17024,18594,6105,11510,5241,16924,19711
46,16711,9089,17695,19178,12095,5567,4919,17092,13807,11644,12874,3584,17996,8424,10839,7205,1815
47,106,1322,13768,5398,6574,17423,1883,12867,9491,5032,10027,10579,1935,7702,4900,5477,7314
48,11340,17959,5654,14463,8349,436,13651,19476,9556,11450,19899,4415,3913,11055,13453,18888,16724
49,10126,15783,1604,10986,1114,893,19745,10131,16139,9081,430,16662,16503,17658,8990,16220,7046
50,16516,17252,19097,13416,15113,2674,13351,9328,9699,16079,11206,2467,5661,4560,169,11856,386
51,4980,14385,8769,12407,16458,1796,726,18666,6054,14367,5347,16932,9556,14430,19034,9450,7017
52,15589,3723,8531,6211,6095,818,17811,8336,2173,14308,10955,7991,5811,1930,17672,5181,5124
53,14131,15285,15771,2268,13051,19507,2754,7920,9702,13281,15338,3150,9638,5570,7317,18401,12998
