"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015","sim_016"
1,7801,13631,12873,3930,14021,17935,11097,4565,111,243,16830,1803,14818,19706,16541,5126
2,11289,10877,5557,9202,1626,4735,7582,1370,13241,13202,6079,10783,8865,5048,16477,8786
3,3228,2006,11420,7702,162,8468,19305,1886,15010,14753,13641,13610,4050,13219,9320,10160
4,6069,17205,14894,5628,1812,11921,6024,526,5466,15093,3185,7316,3823,16036,9807,6796
5,12435,6215,16109,11135,7391,16795,16775,421,17772,8744,8370,15131,15694,4096,3025,12878
6,8407,1892,2085,9892,10138,895,844,16173,5537,17471,8558,5479,12255,3172,6207,9221
7,6024,7185,19374,13718,9770,3278,10532,5303,918,14585,7781,13156,4514,16735,9442,7389
8,13852,9558,8628,1398,6718,13815,2188,14800,15309,4513,113,9214,19962,807,7870,5766
9,14052,7758,4757,18211,13146,5918,9561,1621,5090,16618,10617,14257,13605,17331,3549,16413
10,6654,10127,11628,12261,1697,989,13567,15749,19625,3487,2415,15197,16897,6049,5739,19549
11,8070,532,14718,9804,8066,17437,15132,16611,12303,8783,15274,16272,13629,14053,6607,2837
12,1831,1569,269,18489,18757,13755,13286,9270,18939,17477,19162,7786,10030,1655,18623,10636
13,6010,12626,2815,3330,3128,4584,3694,4019,19551,14268,17625,7684,15035,16860,8973,5895
14,9601,15404,16230,16775,5002,5520,18011,16616,17612,11135,9774,16673,13743,16864,8969,4520
15,11596,4596,618,13913,3270,9345,9488,8945,3417,1812,18480,6806,1364,16343,4928,11929
16,6331,16214,17279,10714,12484,3735,9009,14948,10835,15005,10910,3054,6354,2246,11141,12022
17,9278,17973,2989,19115,763,349,3118,14974,11859,18258,13468,2862,9153,6941,5491,14826
18,10650,765,19408,8916,19730,14765,15670,6101,1203,17253,16546,1473,2316,4728,9490,3759
19,6614,8034,9680,1994,9481,221,16533,18292,4104,727,12181,13137,18499,5371,19708,12077
20,15396,5065,10713,18871,11043,9918,15173,5362,15651,4059,18558,18667,17900,6456,15214,8797
21,2867,15667,17478,9080,14566,263,8851,11385,10222,15529,4658,8064,1638,861,5983,7929
22,7813,7512,17032,18461,847,5940,19326,11045,2914,9347,2623,6971,4195,6122,2623,14621
23,16781,3828,1716,4037,1610,7582,720,7655,12436,2446,4845,17165,7220,14055,472,2731
24,10908,2135,10365,9998,722,961,17413,17034,16404,2180,11817,2238,5134,9935,13734,6277
25,14830,3714,15748,10560,12077,18613,16145,5638,3316,1637,2662,17934,4109,4944,2721,4508
26,13001,12449,15163,5509,15838,772,9218,3749,8775,13209,13789,19950,5040,3928,14178,13297
27,15166,13153,15723,17021,1134,4649,7749,3378,18328,5599,7955,9941,8306,14431,1616,413
28,18558,9332,12670,15966,13467,9551,3887,19552,7352,8269,4405,3757,3091,14985,12888,3625
29,17198,8687,5250,9339,15455,7570,7240,8143,15629,8051,2596,9613,18166,6594,18377,15646
30,4032,10080,16255,19574,7832,14330,690,3897,7887,8569,17225,5822,13919,18043,10996,15552
31,9550,17994,16077,16429,4772,233,10232,8302,5816,4320,19149,4756,1322,10889,12179,3685
32,12768,4774,10978,3303,13941,586,7854,15310,7361,11544,9821,19592,6106,3765,17169,12598
33,15606,15690,7209,13253,9216,7044,330,18928,19071,1461,18226,1356,9793,5251,13499,916
34,15152,11615,4269,18063,13650,16717,16950,10470,16139,9348,10421,18973,19383,18866,876,9533
35,11006,1553,9480,9068,5534,9452,11643,16946,18512,9960,15786,10034,12927,1166,13151,19839
36,14222,3033,15535,13458,10414,8542,4042,16023,4070,16120,17951,17037,18265,13290,12744,4069
37,10403,7830,991,18296,2531,18811,10665,14121,11455,8630,8662,1337,13927,4057,19127,12083
38,15964,14616,13455,10253,3319,1435,6009,11698,11047,3899,12198,1059,12220,8064,15524,13975
39,14417,11390,18813,11714,9595,14461,6023,19216,14083,15079,9092,15486,2754,14833,12649,7771
40,9747,670,18800,9684,16192,3556,11972,7031,12801,9892,18551,14072,11237,14929,460,8045
41,6555,5951,18367,1511,5322,11066,6885,7530,3191,6748,13316,6205,9720,1660,7582,4557
42,9150,3354,19256,6013,1780,10843,10482,6649,6126,11966,2149,15767,11195,7013,16658,15354
43,580,5671,564,8145,11076,3941,15713,9343,4946,19646,1091,2060,7669,7087,1023,6135
44,4247,14956,676,17144,13492,5623,2774,15998,14468,6126,180,19514,12163,7295,12252,14122
