"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015","sim_016","sim_017","sim_018","sim_019"
1,18835,3091,9192,563,8843,11532,8413,11210,15878,18012,11607,9946,16549,3068,14459,5156,11563,11273,18385
2,4517,4567,6929,9268,17206,13532,1559,4969,10775,997,12524,13035,1621,9879,17089,7697,7159,2966,16872
3,16065,4009,1507,1902,7258,8150,11123,19306,16558,5843,11605,13282,13370,13563,516,9065,4663,13967,12127
4,6727,8824,2726,11189,1021,14983,18996,1871,6720,5853,2122,16914,10458,8310,363,2886,2223,9932,18380
5,14635,18148,6775,14826,6327,1051,19845,9070,9128,4390,18204,3842,8159,14009,18362,17692,6115,4720,9179
6,319,11199,6054,12512,6514,17226,18867,3224,15410,15008,13942,7012,16608,6869,14036,10019,11470,13405,19902
7,17448,16511,15132,18941,7247,18323,18137,15170,7185,8800,5814,6987,3027,16306,4998,6915,5350,11581,284
8,3397,3433,17514,12877,5121,3263,13460,972,18332,8186,16577,10283,3342,354,3537,3288,4648,4123,6747
9,15090,7713,10735,7717,5589,3798,19146,10764,3012,4212,12552,8585,19869,17721,11488,10958,16127,3805,18996
10,8494,13542,8534,15390,6430,18404,672,1114,9966,14529,17659,4649,4151,4931,17174,14581,14602,17544,15425
11,9143,8844,1321,1078,15398,18902,7662,17807,16835,8319,15320,14346,2109,13085,10276,15077,8782,11344,18073
12,15766,8206,2747,3249,18980,9239,16339,5723,18205,7673,14419,14486,3142,1875,547,17280,8153,15594,3677
13,1126,3329,4328,14267,1241,17234,15055,5821,5521,7188,4281,15786,764,15269,10867,6723,2166,1773,15930
14,16387,18802,13198,5810,8994,14141,3980,10276,15569,15692,4294,15721,13152,7098,3239,6433,17519,16801,1586
15,15173,15103,12013,186,19347,13994,2192,12325,1325,12849,16004,3177,12761,2391,13875,9003,16047,5044,10719
16,1780,5980,11334,18470,4783,1412,8658,13574,8295,11828,750,15878,3451,12355,611,11438,13413,15196,13558
17,2954,18251,15905,16059,8569,19984,11070,2896,14632,18758,2450,7638,5760,1118,12392,13570,5114,19424,9995
18,14895,2510,9302,18757,19892,18166,15432,6786,4292,14491,4198,10006,19575,17337,19190,4443,5538,16576,11582
19,3643,16582,5938,19606,3572,10596,12739,19036,17587,18070,1660,3928,10167,6868,7300,6066,4122,5393,3785
20,8162,6587,16029,10390,3563,16194,505,8749,19021,15972,7203,3814,9266,10759,10714,12176,13110,3867,18478
21,10994,18829,12248,12620,3953,12513,17773,1949,15761,19306,18381,14246,13994,11734,12566,7601,6148,16935,9116
22,10860,10510,1194,13281,17734,4053,8463,1250,10419,145,18771,9773,19912,12054,15567,5419,7071,7428,12027
23,1908,19951,7994,4229,2876,12362,17793,12586,16222,18062,2705,11941,340,9074,5794,1749,4731,16852,3062
24,9797,18306,4305,12787,6322,16215,2507,7805,7708,2356,10284,18000,12383,3764,3818,6096,12314,13850,12467
25,5904,6568,3423,587,11637,19379,6876,19348,12046,3346,13143,18593,4020,403,9360,19706,16779,17004,12158
26,5924,17484,196,4066,903,14084,3080,4374,16502,2932,15389,8953,16404,921,4896,14662,18965,16522,9387
27,12179,10440,8925,970,9947,19441,4102,19348,12212,15784,5312,11909,3347,10675,4389,7407,5245,5670,12430
28,17152,8612,11801,8630,7118,4878,563,1868,17502,7097,12634,1424,13422,1534,8783,15610,12519,14146,4509
29,7387,17487,8267,18649,9805,7101,13144,14062,9467,10183,3656,8833,3465,16582,16364,8860,12026,9984,13103
30,19724,10546,16469,14594,19522,14952,2263,10324,4955,12504,9059,11451,1113,1720,2462,14081,16734,17890,2837
31,11372,19327,11057,7683,18800,2482,779,15950,518,11004,14887,5031,3886,19929,10881,19628,5912,18249,12890
32,11938,11983,18430,9635,18020,6387,1952,8678,15705,18187,16957,539,14157,9999,16328,12064,740,6001,12815
33,17327,1432,3849,18534,3207,2589,8680,11700,5208,5862,8460,8677,16656,11889,5825,11307,6099,16993,15868
34,10899,11404,9057,16526,9747,18849,5287,2422,11987,7413,5976,9862,7311,7833,257,15850,7701,999,15995
35,19708,2573,19811,2965,12191,2426,15670,9484,3365,8833,3021,3971,18306,6389,16553,13619,19762,16194,13017
36,18230,1870,8522,5495,6659,7293,12799,17051,7635,6702,6548,10305,16447,2779,2728,8550,1891,4922,18652
37,9678,2602,13487,4052,14205,5391,10295,2502,5048,12852,9739,14496,4193,6421,5339,4908,5071,18748,2247
38,9979,512,8075,14810,11203,14995,1377,14910,6427,11528,9124,718,7524,19551,15939,11118,15128,1769,14569
39,18638,9076,1093,4097,6511,6879,18003,12980,9663,2517,6889,2418,14948,5247,18816,13098,7506,16945,7612
40,12665,10429,13560,8677,6358,12806,1212,12986,18741,8930,3075,8202,1828,9911,1409,19246,2813,13522,8827
41,8940,8973,7888,8824,12873,8996,10708,19959,5980,17054,14093,10693,8431,11452,14144,238,4475,4131,5130
42,632,18128,12782,8178,9742,11228,12961,18692,2758,18459,6023,1035,12927,13426,7797,5157,10224,2126,3105
43,6160,17776,10235,12727,8742,17557,841,6812,6568,10170,8762,6979,3938,4438,9606,8491,4162,9910,14809
44,4545,13234,13428,11702,18573,17934,17159,11798,5533,6684,16354,13820,1281,14543,18586,12841,10932,7741,15472
45,17501,9485,12550,5198,11241,17070,653,14698,18057,1146,15599,10915,4958,19735,13517,9528,11595,8904,16698
46,9911,9713,13462,14855,9067,15164,10412,4785,5288,5106,12133,6628,11690,7688,2173,10550,14488,8345,16429
47,2489,8772,6617,9610,13316,16499,12679,3907,7159,3154,7730,7899,2037,9621,12346,16578,4212,13656,7042
48,13500,17547,8838,16333,19121,7230,708,4959,18266,13949,19396,6642,6290,4980,19720,5233,422,5652,4367
49,15174,2028,7567,11554,12274,11550,2511,12347,7244,16886,9951,7477,4554,18434,12931,9082,18193,7791,14442
50,13892,12225,11558,9539,1649,17073,735,16474,13243,552,10501,6155,9744,5736,3976,10612,9844,16822,4649
51,11745,16322,10649,19264,2331,10926,17198,18758,6498,13206,1676,10048,14912,17310,10835,13394,9870,14498,1140
52,17238,16792,17223,6816,10102,17300,4927,18827,16255,18853,11145,1796,6002,19075,3135,18885,13850,12923,15708
53,4619,15099,1185,17343,7948,3912,14834,6226,525,17944,15609,960,11686,10922,12407,483,18297,2302,11258
54,2134,7627,5196,10288,9629,17187,17245,5688,14870,9482,19519,8868,3772,16556,7392,9372,6540,12196,5475
55,2343,10008,3339,1444,3800,18220,14154,5602,1192,5622,17136,13977,5201,16293,455,1567,1462,8789,16332
56,1698,18364,5129,2851,15063,7593,9668,17816,4825,15131,11603,4861,9593,627,9480,7535,6802,11559,11652
57,17148,7160,1098,8280,8479,18686,17504,14748,14795,7315,2604,12138,936,16333,8887,18437,16323,12247,4150
58,10893,136,16388,16155,5510,10216,4817,15484,16839,10386,7671,13579,1690,3498,18724,9456,10307,1395,2059
59,6675,10487,9244,16430,8054,16395,3636,4676,376,1242,6899,18873,9457,15137,8192,16835,10334,12118,10169
60,2217,9583,13998,18846,16934,14864,5661,12044,12985,3914,903,5624,873,1436,232,12205,1086,11298,19207
61,14084,1189,11894,19847,4581,19890,352,10336,7425,9448,6836,6060,3970,19604,5550,4069,3194,6811,6168
62,15137,17347,12198,8713,7747,12951,3021,6944,11338,5236,10596,644,13844,4576,9358,4332,8718,4918,16616
63,13969,294,18407,10042,13721,10699,4956,10060,9124,17158,13232,10930,5673,3879,7045,8485,4463,144,15780
64,17316,14837,10128,12497,9075,2614,14822,19825,4041,3403,17630,11704,13901,4323,19779,2347,17103,11757,4829
65,1419,4009,19343,2667,18459,5921,19194,8815,5317,6980,7080,1998,14698,19788,9035,10193,6512,15556,1441
66,9918,10543,10541,6754,16627,16745,12022,7896,2656,16678,7317,13544,18754,8025,8712,19475,5859,9217,11674
67,7809,18777,15941,4373,6114,5287,17284,18532,12854,6658,14556,14327,6900,19676,13811,1075,1083,2256,7397
68,6626,2707,15492,10092,10930,13207,11585,6803,8921,11296,16200,16170,5806,10392,18104,12041,13293,9399,5494
69,6714,12790,18739,17300,4477,11882,1579,19928,19295,18663,5951,17845,1873,12804,10169,19513,17187,1055,15165
70,17206,11156,2492,17219,6143,19982,6906,3813,3398,19487,7623,581,13631,17771,12474,921,11203,16065,3794
71,1298,14155,14533,3436,8740,18895,10774,6511,12159,7333,16451,4897,12186,10987,14517,13442,17024,19994,10070
72,3835,2690,13852,352,16771,1300,10292,266,15236,19146,18390,17384,15589,4593,6243,3789,6726,14940,19974
73,16973,8920,11383,11538,13117,5141,9178,17853,1802,620,11552,5345,159,9182,19161,4949,6009,1732,2979
74,4600,14261,13609,1892,14461,15803,18380,3315,18774,8086,16283,10203,15786,1184,7611,19763,9396,11035,18306
75,1161,16330,5734,8164,377,4563,15874,6760,7867,10456,15777,16357,11907,3703,12153,4518,1351,7367,3773
76,9679,19327,19741,553,14371,9622,11217,1626,231,6793,4475,1318,13557,15908,1557,18665,12598,10660,10535
77,9806,5887,1924,6271,11643,3005,19418,15865,11291,6945,9169,5402,3187,14958,8136,2492,9146,3326,9693
78,5662,3137,8722,11443,10119,13707,10714,8874,12973,4444,9187,4904,17467,11078,12634,1592,9171,17737,17566
79,19093,3820,19233,13126,5813,7599,6650,8459,11385,12319,8625,15414,13226,2868,5801,7036,7931,6040,11039
80,4196,4427,249,976,13792,6422,11877,1711,19143,15633,1377,8003,19416,11922,3204,13137,7039,13631,10456
81,1194,16678,18418,7516,15242,271,9264,3838,1561,2335,1325,7591,13219,18840,5337,9568,16653,19746,10189
82,18457,10838,1684,17230,8555,7673,8035,6414,15494,15832,333,2143,12734,11686,8957,7580,7609,11574,14812
83,14331,8662,18113,15680,7109,15260,1743,10556,15770,3604,722,12150,5327,10143,811,17381,3248,19698,17944
84,9916,10925,18419,19562,9471,4628,16239,14176,1190,7298,6065,3255,16561,14313,3903,17221,8818,19025,10675
85,15662,18254,2515,1139,10516,17740,8793,8707,10587,15439,19451,18436,16662,18799,2713,9891,14666,7907,3034
86,16490,13330,5146,4758,8353,9038,933,12894,15185,3291,6023,13610,14270,10309,9324,15755,17836,2742,3652
87,3817,19884,18297,5349,12851,7160,16822,14656,8395,8614,4980,4262,18086,7751,9530,19228,9664,18111,5711
88,19740,2483,9877,2155,3870,1392,14305,7387,8938,16288,11944,8932,9679,12391,10021,11849,18118,6233,7650
89,11554,6822,2940,10595,6357,12799,15288,2514,19623,16808,17314,12387,2803,7488,12127,5173,1424,17747,5351
90,15080,15580,11272,280,15437,6663,11527,10892,10081,17637,8489,17129,16979,19194,2168,11914,17756,19780,3716
91,19186,14277,3545,6812,11685,19828,11789,12076,11647,9619,18870,11294,3384,14893,13524,9770,8322,16330,14276
92,5432,139,15878,13222,16807,19453,6788,7496,1495,6203,10543,1236,7388,10974,10290,1676,17018,5242,19527
93,18813,11612,12887,18941,11138,13753,8111,7786,2377,2663,1286,12177,7381,1556,6213,9155,16847,11585,11110
94,1489,11143,2274,11630,19266,1290,15880,5678,2390,4803,5214,15335,18858,1760,19021,4611,14485,953,6483
95,8455,16250,6076,16489,10707,2194,17200,16387,10657,12729,8882,10952,5280,1835,19721,8923,2872,7310,7475
96,19470,10492,8305,19762,13348,2402,19250,19943,995,13762,12720,11387,567,4982,6034,2215,14410,9203,7985
97,12547,12151,2650,11564,3059,10483,1800,10951,2100,10383,16232,18029,7940,14327,4504,17617,7103,16549,16656
98,6748,18904,19355,15566,516,5389,5837,5305,3707,14760,5676,3399,2394,5305,3780,13012,9778,8149,16090
99,6377,2348,4365,10641,10898,10030,18476,9568,6615,9464,19784,5285,3919,16662,1603,3501,8356,17272,12303
100,4958,8025,7403,14128,10005,16584,4928,6641,12955,16056,4731,5917,9413,1540,9840,2887,17202,7208,10888
101,813,8069,15259,15675,15396,7963,17156,3659,9602,1757,8751,14997,6550,7890,4395,5532,10544,17535,11634
102,1635,15397,6508,10885,444,13159,12718,1474,10709,13670,16902,494,10361,12089,17286,19496,19952,9986,2677
103,14671,10068,4901,11561,11679,19698,2872,15643,1767,18122,8988,12853,1068,11776,7709,12893,8014,2079,7775
104,6710,8333,2578,14425,11500,7694,8767,10553,19362,1269,17228,2958,13816,2742,10289,18046,4805,13306,4004
105,8103,11753,3155,15751,18467,2593,18058,17371,19911,2327,10741,3184,14355,11371,17908,18000,2587,8346,18402
106,10526,15660,2147,8738,822,1526,2804,18443,13658,6308,6913,18175,14495,12209,7181,14051,1333,14460,249
107,14040,5148,15360,3473,17057,2350,16710,12840,7951,14309,19887,7638,14524,1131,5282,4988,13531,1085,4665
108,9405,3960,9278,17350,6272,18113,12098,19464,12850,6662,17283,8334,1211,14978,9507,15089,257,10708,4155
109,15209,16620,670,16142,5913,13315,15527,17488,2526,13425,17239,3263,2275,12167,6035,7609,8546,12551,10709
110,3300,10073,9494,2883,5512,11806,10232,10279,19181,12694,9303,5206,8483,17231,13369,11975,9069,6864,4222
111,13585,13437,1909,10957,16692,764,18953,17147,8643,6138,16120,8122,17219,18464,5257,6156,2123,17769,16652
112,14508,16050,17073,17843,7329,17489,18416,1810,14273,2191,1203,4140,13048,14423,5822,6668,15455,4611,7898
113,15882,17035,17872,656,14974,12333,15320,11168,195,17126,7795,10972,12161,14557,514,18509,6986,10115,14967
114,4563,15150,9442,7661,9121,14877,8347,3508,17641,1007,16663,15226,11716,11135,512,7102,17326,18858,19479
115,7238,14107,11492,7947,1502,17354,7845,12073,10630,1321,13450,13516,13964,15045,19531,7823,13909,2530,7947
116,19605,10211,11206,13537,13159,5416,3877,389,13288,8078,12399,9926,12043,17789,226,17834,10495,8628,18716
117,16838,19810,16295,12543,8827,16276,12198,19461,8670,2496,15848,18332,1054,6564,15557,17631,7830,8460,16737
118,10330,15535,18666,11732,2620,4984,19568,3974,4490,17404,6248,17038,13964,864,4231,17704,11929,14512,10205
119,7404,3615,1139,3223,1877,8619,12321,7757,19449,19365,1606,9040,19187,5315,342,19966,13829,836,10395
120,6284,12294,14112,14830,7286,17551,4342,4056,17745,11408,18870,17882,9073,9238,8010,14973,2838,10188,14669
121,3092,8524,12736,2716,15569,18788,15263,2194,11821,4564,3455,8407,6145,16858,17078,8137,13078,15438,4143
122,6666,13252,3073,18691,14162,7198,15732,3691,1515,5900,2600,1808,15889,6280,7936,6770,9214,7321,11358
123,11800,18243,4974,14060,11383,5148,12025,13699,12461,10098,7956,18208,16528,1085,17732,1583,4954,9007,1370
124,14372,1232,15013,5663,14239,2573,10998,1697,14328,7351,3837,736,8969,3777,4951,4049,378,14960,15863
125,12373,9626,17113,556,4029,246,14323,9995,6843,11772,7747,9751,18360,18028,16010,7262,10691,14811,6395
126,6557,13177,8256,2695,2312,3440,9398,10589,9325,5488,6890,13861,7481,2531,9600,3192,14223,7138,11396
127,9312,5022,4254,1840,4615,11684,17853,16651,9745,3071,14830,9222,6213,561,16373,11522,11477,10118,15828
128,19799,3574,6711,17006,11964,625,12860,6257,5543,13080,15512,16873,10404,11628,3866,9028,735,9879,16016
129,3883,10114,6884,17246,5505,16652,383,12771,13209,6009,17876,8175,10227,16119,9104,5898,916,3995,5927
130,14398,12817,3247,2645,5899,7389,7232,13245,17393,7633,9371,8552,2714,7411,16122,3730,11683,13252,224
131,12970,434,3417,7589,4899,5904,10160,7434,1537,13547,13640,15104,13814,1739,9693,13274,7192,10047,16139
132,13689,6758,4972,13878,8396,6046,10377,3583,17486,13617,14329,15806,205,4907,3354,5483,8712,2156,19166
133,11374,19770,750,17301,11454,19716,15713,17496,14679,16351,5402,18032,106,17842,15751,17070,18367,3336,4483
134,16795,4824,17534,8925,2599,18336,7713,17107,10609,15248,8778,9982,16119,9632,2891,6769,19944,11993,12510
135,7479,6545,8697,1497,6148,5662,4042,11671,12769,1295,8385,317,15377,8173,19347,12272,16302,19257,12215
136,12372,11368,14635,301,18897,18633,18736,9751,6839,834,5037,18437,12014,3972,369,18173,10177,19866,16966
137,2079,4995,3454,13557,447,10898,7381,3248,908,3097,11963,3540,18889,11303,19118,17975,4001,12825,16781
138,10869,6696,2349,8961,11442,736,18200,13416,2126,3693,17580,16296,14673,13686,15953,5487,7953,4462,7439
139,14173,18648,3005,4690,8044,1304,18730,15294,2103,5898,12585,11187,8493,4146,18238,669,2556,7247,11256
140,14080,17220,10037,2501,13574,17278,6976,9063,17674,18251,17666,8862,10997,8693,5240,555,17797,5088,3834
141,5741,19491,4769,7750,2047,4379,19362,1869,7068,10075,12284,15104,11890,2585,3487,1846,5691,7439,12047
142,15330,18536,19061,17005,9222,11156,2422,15054,18998,1740,3451,1446,12525,18648,2703,15960,5179,1701,10601
143,8391,5153,408,4357,148,5378,16708,8778,19355,3483,4446,7453,16898,13502,7723,3127,2177,1957,19027
144,17160,10291,7595,5874,3114,1598,7911,10602,3654,15739,4565,19062,4840,4785,7206,4343,3120,14431,5658
145,3553,10258,13330,19422,10512,1765,15052,11279,5824,19135,352,16526,2152,9117,2698,3639,3650,5008,15747
146,19602,17561,292,9536,19966,16657,3224,6138,2783,16957,15353,15191,9542,15415,948,8596,11347,435,1310
147,8291,11428,6203,14819,7566,6033,1838,10782,886,19437,8459,9772,5917,300,11233,7994,4954,17353,2914
148,12728,1589,6650,16624,2322,7241,16819,11229,16907,2334,11317,15553,14190,5524,6294,14644,1748,3489,14889
149,19277,1947,18004,10118,13175,6256,1307,19122,18414,14920,9226,15058,14307,10706,7512,11394,10246,9118,10616
150,9469,6290,15012,13230,3150,10276,16420,314,11422,15083,11500,5915,12255,14496,16985,13711,15597,16347,13288
151,13827,9904,3985,3773,14095,9642,6200,16800,9505,8478,882,7283,1932,17889,18498,9799,18297,9037,1453
152,19324,805,3940,8253,8347,11237,8416,6338,16765,7280,11183,15830,19702,9445,13982,8944,6441,1779,1215
153,15511,5039,12368,9940,14860,9900,6377,11888,7464,5693,5152,14131,19012,19954,9136,17609,7365,11616,3998
154,15170,6322,14964,18900,18649,5789,4046,6703,202,11511,445,1291,5629,18893,17486,19127,319,13735,15866
155,17564,7603,8513,16929,6737,6281,520,17094,2962,9843,12927,13132,3675,18649,9305,5132,19666,17807,14941
156,10868,19173,5155,17395,1654,18122,19547,14306,4841,9885,11110,6718,10329,12529,1870,7399,7937,7354,19814
157,18129,3798,9490,1101,5072,3902,18006,12469,16265,4806,5260,12799,4775,546,12258,2164,12915,5178,1195
158,19435,12377,11606,12253,4569,920,19613,7982,4147,1943,12286,4307,827,13996,2345,8629,7084,17234,15202
159,11403,6124,5817,14938,552,5797,6556,19590,955,13680,13738,11259,1787,14940,10285,11277,3767,10522,14233
160,14831,17722,12644,5058,954,17141,10140,4971,9294,18900,12762,6937,15631,14047,12308,12983,11095,5222,3502
161,9223,19700,1205,2449,10678,18437,5292,9606,13874,17750,2825,5756,4378,16837,15489,11991,8635,13807,8381
162,13973,14709,3722,2209,2304,11783,13951,15944,11608,12413,5981,7657,6243,10762,16202,12846,17396,10380,14619
163,2039,15207,17162,8041,18946,11025,609,18623,7685,7190,3663,11165,557,15976,18173,12376,15292,2334,4644
164,8793,5175,2777,13464,13732,16092,14738,3210,3035,9652,2616,17933,16939,5355,2109,1803,9835,3037,3510
165,8518,13593,8504,18074,4556,592,13051,16505,16383,18356,10735,7174,10572,11756,18917,16378,2013,11699,12421
166,16314,8098,15304,3211,3916,16612,15589,6251,16074,4638,16822,14919,14258,15195,14501,4348,8624,19685,2831
167,14800,6102,2121,9506,7639,5371,6905,12076,527,5449,14592,9070,4362,8569,17969,17642,868,11941,14200
168,14897,9730,15537,12255,5458,10527,10347,14264,1835,16179,1432,14673,14134,16273,14867,14394,1014,1935,13226
169,6620,6358,14501,11651,7196,11492,5993,14580,7181,16981,5463,3737,16240,18408,846,12784,17678,18790,8940
170,10944,2755,16417,548,15289,18993,7994,19306,4716,15027,6659,7313,1680,18131,7872,16410,12114,11775,7824
171,8787,261,16652,5805,5723,3053,4077,4055,3969,7738,2389,1643,7611,17550,7777,10405,15342,3499,15773
172,7462,5091,515,17740,2764,13336,13088,1828,6742,4079,3158,2372,1734,17281,9294,17829,7011,14484,19452
173,8959,15167,12440,6027,2262,10699,9025,12908,8517,16533,8324,6668,16514,198,8258,13545,6615,14643,627
174,15441,7946,17268,8299,16037,6929,14916,4181,957,14875,13546,9120,18159,5269,4274,11088,18854,18998,7714
175,13247,2285,2110,8007,12880,518,6316,1934,12317,11280,7552,14564,15164,18990,11009,11085,19966,13700,3148
176,12731,19398,1862,15038,6168,15553,4867,8262,12156,9638,18466,7009,5156,9406,18416,2712,6170,13977,16816
177,1526,2168,1199,19010,11952,11127,6994,2045,1705,12242,17088,6365,11078,18167,15596,13795,4279,365,13101
178,4624,859,8021,12785,10141,9641,5290,5306,15484,12472,6437,17457,11039,14895,6483,15303,6362,9912,8460
179,14139,17163,12958,4595,16776,10533,13680,5577,342,2020,2119,5167,9569,12591,18823,5363,12872,3848,3253
