"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015","sim_016","sim_017"
1,10084,3245,13586,14875,14700,8956,19147,7056,5606,2001,13833,609,16289,10831,7210,11941,12278
2,2257,1574,16682,9057,17136,15774,7202,6758,10209,17242,309,10049,8525,6629,16806,19300,18198
3,11394,839,16106,9878,2095,17906,10900,16812,13256,545,2179,9967,5004,14075,10722,6852,5671
4,12256,7561,14398,3605,3502,7105,7819,10529,5844,16762,19545,17875,16241,16702,4095,9799,8164
5,15023,2190,7747,17815,10947,19813,17190,7334,11760,2178,12649,1236,7618,10519,9118,4519,19343
6,19141,1199,4116,3676,14330,11732,16666,8704,549,19487,12043,19271,10401,17932,12042,17972,1113
7,13459,260,1022,17185,19454,4274,10503,8969,11750,2910,9140,10632,4934,18078,12849,7213,17511
8,15915,7563,16484,1193,10071,17210,884,3665,6144,17209,9117,9708,12832,15977,8935,6608,3582
9,14142,9203,8502,15982,16157,9671,6324,15195,960,13729,14614,18593,8944,13613,12924,16626,16573
10,11424,4646,18781,8038,10881,163,14664,5503,12002,9091,19784,19562,17352,12538,16647,10202,12911
11,3400,15347,2109,15012,7175,8484,11037,10705,18885,294,2337,19733,8678,800,18245,19251,4137
12,6145,5685,17168,4652,1126,1306,440,4017,5816,9662,9731,13534,13432,14835,17277,10002,11425
13,19393,4482,9387,17031,9797,17673,3222,15515,10196,2537,19375,4822,18745,7021,14639,15205,5230
14,936,5444,2412,7706,6075,2227,17569,1046,4027,10815,4530,4071,15728,18168,16017,16956,4747
15,11794,12184,16304,10882,17882,12577,6156,1757,1579,3216,8360,9540,2068,12199,8641,19546,12241
16,9303,7276,6399,5866,5157,15940,5337,17519,14607,11901,8171,10935,2702,1519,11000,9153,18733
17,17096,1269,9988,3165,12804,8026,826,5107,3317,9729,4445,14327,12685,7521,12777,15420,1099
18,12518,9441,10714,6695,1876,10559,11411,4146,8905,6312,11382,15777,4089,5260,7428,7833,13708
19,4356,19193,6636,9603,1370,2192,2423,14056,14542,10424,18208,18416,19634,11332,5232,594,8769
20,2885,7059,16632,19232,17243,5718,5218,9545,12576,9852,5767,12881,15657,10900,18334,11144,13037
21,1562,757,1632,11599,18141,16350,6444,755,4092,15132,5252,18403,18577,580,10836,6979,5328
22,7041,19964,5637,10653,14008,7225,16000,3882,17943,1271,12445,17100,18613,11572,13777,7713,4674
23,19567,13445,10808,347,14019,18472,1668,914,259,19369,12041,17185,13307,3769,2979,15019,17112
24,4320,12159,14113,2786,1582,10010,10055,13370,11650,13960,8800,18099,4114,17274,6207,650,16435
25,6959,14650,17359,6943,15698,1167,13594,18068,17009,9928,3669,6162,10138,6213,10069,3793,13576
26,15255,18929,2976,375,7923,6290,18803,5300,7959,16812,11636,7877,5035,17045,13488,9934,19762
27,17267,16906,15945,7553,18731,4687,7052,14222,10515,12704,10602,14289,14836,7465,11347,13672,2106
28,10585,1352,7577,3527,319,12829,9804,455,4604,18433,12266,3704,1553,14091,13164,6859,18056
29,17468,9837,2509,18439,17933,922,17208,5309,17088,1379,3905,7666,4621,19624,16131,611,19402
30,5349,10117,16354,3873,6981,19827,15927,8399,14065,16764,16015,14256,4302,15567,8224,7792,18251
31,2346,12438,17972,16742,18755,16070,19317,4968,18236,17177,13311,7695,13372,13733,19747,2535,16449
32,4834,16132,17488,3260,13109,19535,18474,11531,18287,668,7490,17741,11919,7054,579,15252,1539
33,18997,10375,1956,6675,16365,12944,15708,18723,12486,9584,872,1902,4807,7090,7295,4770,12208
34,5282,3215,6018,7614,8421,11973,18305,510,10548,19501,13016,1111,810,19885,7377,3015,13693
35,5083,11782,8358,19379,6500,17614,6616,11909,4157,10879,13558,898,9017,8674,5355,2883,7075
36,12757,4995,15379,4129,12103,18684,10311,15318,8559,2389,18281,8181,18987,14830,10532,9754,13307
37,1069,2463,1902,8171,1868,12544,1749,19190,7539,18584,9822,4329,1659,14733,16549,3363,7766
38,17582,13245,1816,6739,17078,5434,14338,16243,1007,297,12357,17408,13634,11643,13871,11461,12573
39,7246,10936,16689,934,11637,9932,5726,12069,12044,18268,6747,14336,17606,15262,4939,8824,5532
40,17043,18788,8591,1551,13924,14598,17960,10887,17581,15597,18763,4809,3745,19521,11415,19619,4992
41,2949,19684,7335,9589,14318,3770,4873,6544,5576,11874,19541,16309,12235,13186,2957,2381,7461
42,16891,2169,15254,5286,13251,1296,1945,6425,5880,7581,969,8721,457,9033,12291,16443,6474
43,8222,6418,3673,13169,13939,15921,14205,5918,2789,7322,18206,8418,2779,1413,1834,18166,288
44,8674,8317,907,4398,7645,12491,9054,19367,15720,1420,7221,19405,3658,8549,4398,14012,3133
45,4539,15359,1007,17015,672,7796,305,8971,12201,9610,8586,17916,11294,10212,12315,1228,2058
46,1198,14663,15239,159,16910,16177,9177,2795,18488,7429,5016,6519,14486,18124,3950,8670,5773
47,3470,465,13838,5531,5554,5960,1280,13023,19911,17173,8873,2097,15673,8791,16993,15796,4040
48,8930,17432,13134,12943,5360,7827,15471,4656,16765,16292,19321,210,9620,9702,3122,7263,12298
49,14688,15738,16750,16107,10606,6090,9389,6408,13406,4915,5547,9091,12736,12140,16272,15231,2241
50,945,2569,5074,3836,4506,19231,3273,16526,15034,1683,8049,14801,19328,1759,11711,5603,8117
51,15184,12448,5213,12491,7099,19306,11294,2884,3329,18420,10470,14875,15414,15926,14418,18561,2746
52,8580,14017,10729,13129,3944,11652,4610,2351,5345,4596,1766,11931,9545,18840,15878,12099,316
53,4732,19895,5158,3930,11526,19165,16650,11164,2917,9511,8778,15457,7900,713,5766,5363,16680
54,12100,9333,1825,8397,10490,7095,8605,15599,8164,6521,2393,11068,5612,4699,9987,2526,19643
55,16144,8689,6704,6673,17380,1835,13758,18624,7751,17772,16198,16799,4784,5890,11019,7758,16417
56,7753,17290,9691,1585,3791,10249,3587,7395,9816,9571,617,19813,6732,12703,777,1215,15182
57,17257,4460,11485,16870,17011,16899,15711,13428,4779,6616,7130,7786,5247,2558,3409,16517,9732
58,1219,2322,13287,3371,4688,12759,19473,1868,14927,16955,2930,13199,2077,11663,11629,10230,14525
59,7508,17875,1803,15594,6709,10165,11419,18647,9911,9239,6412,7964,13901,10619,6399,6381,14054
60,19528,19308,10957,6856,18190,10243,18298,386,18939,9449,1132,7602,8694,19407,11732,19197,19332
61,18940,11492,9433,11233,9434,16510,18263,8748,4465,15360,12212,15042,19089,18683,12633,10751,12065
62,11110,5787,18927,11936,12993,19769,2963,14517,17382,1758,16185,16628,365,5767,12560,6350,13537
63,15626,19312,11821,5816,11190,1752,17104,12928,13374,9410,2703,16502,14787,400,15829,3917,4877
64,13023,18931,11769,13793,11746,13663,14368,8317,14936,15920,12511,10935,10286,7892,13180,5352,11818
65,5952,12988,2776,19175,13691,5220,4703,18627,17777,14618,18598,14374,4890,12436,19902,15497,7870
66,13397,10634,8331,13391,6181,18586,4662,8141,12500,8489,12012,4036,1099,10768,4199,12577,16448
