"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015"
1,17989,7426,18904,16792,18637,3428,17255,16737,8677,14306,8291,9919,18831,6996,4775
2,17966,6051,14132,4426,17076,6905,16784,18553,184,7073,17640,13902,18181,14133,16876
3,12508,13592,19640,11946,13886,9735,10285,15958,18897,837,12893,4009,6451,11451,2141
4,17503,17084,7339,16435,18760,1229,13528,18597,2327,3857,4947,13475,6730,3758,8278
5,13853,4096,324,11957,570,17860,10402,19259,11223,7163,4110,16767,8263,17562,8487
6,6108,12275,19672,2514,18594,18880,278,4068,17734,13814,15413,4403,15499,18141,14112
7,16727,2104,5601,16796,18928,15671,5581,19465,17546,18372,8740,7275,18695,14483,14225
8,16285,14050,4121,10032,16647,3838,7277,7496,7373,14265,14825,18079,3326,7843,16519
9,16535,12402,848,5383,490,5168,6447,4751,2035,16036,6908,3534,10071,14756,19760
10,1988,14686,1502,7058,15171,601,18637,7201,3225,7387,6844,15325,16073,3826,2765
11,7101,16730,7354,13662,10206,13614,11507,8130,18591,6331,6751,13922,14549,9468,2569
12,7567,19150,5266,15637,16404,17637,4721,475,8678,573,13620,6390,11824,12416,4127
13,15164,7799,1902,10658,15288,13225,15002,9513,8240,3422,3186,3320,10552,4300,7512
14,5827,11167,16867,10988,15105,9661,15295,11678,6735,8472,4804,4246,19983,19150,7594
15,3344,5306,5826,15492,12286,5484,5475,1063,12443,2858,16559,15518,10943,17752,13041
16,14498,1793,2638,1498,16443,10192,11454,9737,7718,3864,7032,2337,19606,17737,10548
17,17232,946,5041,11245,10749,9819,13829,2278,4649,10938,5500,3323,2923,13461,14172
18,3766,14293,6625,15840,3698,9848,16615,12099,14247,5426,1486,10531,14715,16904,1883
19,17338,11664,18385,939,8603,3747,14180,3599,14758,19052,16654,15702,7615,5760,5692
20,1229,5175,1890,13053,7814,7558,14458,9257,13729,12248,15643,6120,11755,16109,14994
21,6989,1638,12930,11312,4477,15674,1186,17288,10029,12405,8908,3490,15626,149,9854
22,2151,1126,7075,342,987,7713,9384,12008,1725,5352,18052,18224,17336,1379,5728
23,7263,5729,796,19526,18613,2271,11301,5026,13259,5999,12288,18125,14029,12513,2015
24,7639,16270,10013,11297,5536,1893,19053,19556,3853,12025,14036,2182,5594,1797,3186
25,1790,18999,13566,10945,14120,5384,16698,4023,6607,18293,3225,18493,11541,1120,19561
