"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010"
1,10382,8254,18502,10719,16482,16936,7147,1888,7670,17797
2,12156,7477,12966,994,14188,17461,4334,14489,18913,16449
3,13666,12861,12391,14794,19708,16778,2777,1574,16142,17802
4,1835,11853,16040,13839,2601,15344,17734,14088,11653,18415
5,4575,10492,369,10577,19331,4045,8730,3130,16287,6139
6,8595,12333,5787,16315,1883,673,10211,12829,15311,1411
7,2011,11402,17656,894,6628,18714,18476,7582,10895,6963
8,16152,14080,8841,8916,15755,10174,18571,11441,10966,16280
9,4825,10850,263,6878,16949,9831,8530,16499,12346,8473
10,4294,18611,2117,12114,3768,8625,9919,16139,8601,18920
11,16293,15527,9981,5377,6625,18833,7151,19237,11644,19245
12,1238,16458,1091,17114,6916,6060,14135,18996,12987,10975
13,12300,9172,15914,10792,8620,14612,18384,14569,12134,2731
14,811,6488,19422,5551,7185,17468,18241,15650,4327,13283
15,725,405,7322,4262,5289,2850,6178,353,7201,9093
16,18967,7957,13574,15919,18901,8839,11048,13286,18902,6068
17,961,3340,13069,7224,5899,19385,15879,9607,15932,4556
18,19998,1151,17800,18592,7822,3485,2319,17880,879,768
19,10869,11465,6789,7267,16890,19876,16632,19516,14198,9960
20,1456,130,19724,19354,11802,7658,10063,9539,3819,18695
21,17032,10760,19521,13521,2732,12831,17184,7783,733,9603
22,9006,19527,611,12359,7101,11399,3617,13312,17224,19398
23,19312,13869,14512,16244,9078,15573,12910,19049,4331,12082
24,17718,1831,3698,6412,8881,9188,8620,15592,15920,6694
25,6729,12419,12379,9982,7195,1081,10420,2984,11664,4597
26,2833,2662,1739,6550,10685,13766,15600,17621,14387,2600
27,10951,18215,11531,8320,8100,9622,6053,543,15353,17537
28,8489,7539,3095,2414,1177,5938,5707,12932,7676,15038
29,5193,18097,16352,4854,886,160,5117,11166,5892,10782
30,18123,12937,18368,18687,18147,3686,10814,279,16337,947
31,12705,11129,17175,3805,19782,19674,5209,15600,15500,4764
32,17203,3976,15392,17834,19313,10205,13596,7045,19163,6580
33,14108,5549,8385,14003,10750,3300,1491,12063,9774,1042
34,12906,13833,9859,17956,12272,16112,14842,2187,1585,18235
35,3739,18807,1465,14141,5765,15461,1359,2522,18325,10270
36,8504,17049,12585,19439,3932,11104,8910,19944,3763,12421
37,5382,13895,7005,10673,1251,9132,7569,3773,17014,15301
38,10483,19141,7506,18844,690,3724,6427,9236,11138,9983
39,11069,8724,417,17926,12321,18337,7306,12688,17244,1751
40,9460,12347,6305,3649,17062,18047,2064,19741,18801,19377
41,11951,17008,16644,17543,1718,17686,13945,1934,10371,11371
42,5668,8237,7206,3936,245,7841,1276,10434,13840,9770
43,7066,2185,15245,15147,10070,11222,19604,18292,17761,15428
44,8506,14920,15083,4597,13552,14858,3864,7814,5143,5852
45,14189,19821,12959,3933,234,9469,4599,19023,14143,19948
46,10105,16208,12449,19028,3350,8618,4862,13524,11288,7382
47,13194,17532,13108,2974,16482,16149,19473,17893,16918,14471
48,8306,14480,3624,4842,19584,11719,15657,14294,19199,14522
49,12963,13837,1351,3558,18114,9166,17011,528,2554,8976
50,3870,17132,14991,680,12989,12292,11627,12845,2570,2081
51,4789,19526,16124,4866,202,12857,8229,4586,17026,9668
52,5836,1542,5419,12317,6401,11282,13803,6062,13177,592
53,14003,8307,7431,11744,18128,10829,7512,16458,13256,14588
54,14369,8415,6842,11597,19930,12395,13623,10930,9333,12564
55,4122,11807,4670,10652,4887,17894,4681,2150,2833,10182
56,5694,14836,4043,18017,10884,535,14967,963,9071,9896
57,4428,2009,15646,5543,12096,18824,2047,4218,13130,5129
58,4692,5768,15973,882,10430,1201,4911,11063,6845,4430
59,5273,12058,8316,17745,6621,3262,14271,411,678,12062
60,12275,14983,11469,14572,19643,4350,4683,16414,13488,2283
61,5690,7132,12901,6340,13933,14663,16725,962,5037,6283
62,4375,9804,715,11638,14727,18896,3760,6041,13906,6833
63,12896,19328,1319,5689,6998,14053,7151,180,9260,18955
64,19369,18145,1355,4619,13590,12212,959,7322,8715,593
65,17463,11148,12340,16508,18604,19692,469,18825,15363,16828
66,16898,14344,1007,6571,18384,10802,8000,19972,12716,9631
67,14172,7596,11497,16805,10485,18602,7151,3700,7939,13008
68,12042,223,11162,14697,9609,490,4743,19305,18677,3794
69,10890,978,8532,6409,14320,9637,12457,11075,14824,2761
70,15289,662,16538,18467,9127,1485,7496,16036,14546,19356
71,18535,4768,9653,172,9428,1597,2023,8022,2773,6946
72,4232,10320,3660,9950,15762,12138,14894,7688,8584,777
73,6172,7197,15113,12422,7903,14976,3596,578,3171,272
74,13656,19981,10559,14353,12383,5193,11454,171,2620,15489
75,2260,960,7668,7410,10749,6374,7207,11737,14518,8846
76,14215,2956,9812,5619,10412,12687,15893,19470,14551,17368
77,238,15050,10267,16945,7839,2140,171,9363,18195,9886
78,6889,17086,7380,1812,11844,19655,3001,9229,18869,1855
79,3035,8633,11959,18130,3195,9546,10079,6068,10163,15698
80,635,13106,4261,10502,8524,16605,1648,6980,13325,10352
81,10364,3985,6506,5662,4960,9698,1125,5572,18378,11448
82,19409,17568,7749,17764,18300,5050,19003,13076,17778,19586
83,1138,7183,4038,9550,1443,18546,4841,14067,12199,8037
84,16275,10514,11217,3574,12225,11658,10858,16602,8952,7651
85,9156,15129,17536,10579,17398,12624,2556,17254,13773,13974
86,13046,17808,17488,2591,18546,17676,1662,11343,7250,4358
87,14736,17015,14168,5475,18085,13503,15254,8689,2307,13603
88,7670,14867,9734,565,7343,12932,10380,9758,3190,5883
89,17297,13533,6426,8759,6442,4865,2117,10167,2864,5901
90,15350,17837,4618,16638,2121,11997,17038,5423,7646,151
91,6721,4989,13544,3219,13442,18874,6903,9778,12396,242
92,19824,406,19012,12594,18081,13677,2941,5716,10175,1748
93,3179,7752,14836,1610,1053,17011,4618,4511,19299,9135
94,1655,6136,7420,5092,14826,15220,5014,12396,15847,7343
95,5483,5478,19399,1957,18838,18447,8651,17748,3580,8180
96,13954,6824,19309,10391,16663,15156,13812,17598,15972,10083
97,9609,1183,16345,12966,10630,13574,14990,7820,14879,3715
98,14942,11403,2655,4167,8022,4479,10038,12046,14600,16948
99,3707,2237,15106,17244,19227,2238,19156,12582,10047,1082
100,8012,2599,8281,16008,19916,16535,7903,16653,10141,11625
101,6622,3674,15686,8768,9126,7484,4155,16706,5583,210
102,13754,846,19246,13507,16534,6038,19750,15989,2936,6583
103,2058,10393,8562,4528,5416,11300,11473,11835,1863,7023
104,11903,10380,10255,2427,1954,8809,18623,12977,9497,13140
105,10835,11929,12819,17544,6172,980,15716,3439,6347,13744
106,14870,11086,2653,5292,15891,1814,5161,15886,11863,5547
107,2174,4858,4206,4947,9466,9829,346,11639,5311,19140
108,2543,17064,5231,17209,8726,6522,12213,15652,18089,2382
109,5304,9731,2816,2601,4466,6693,14918,722,9459,8904
110,12105,5197,5908,5249,15297,17222,19153,6050,13521,2770
111,16055,14552,10354,15834,9355,14561,769,1963,18268,12660
112,13562,18775,6640,3725,13163,2632,18236,6156,12901,18404
113,18579,1422,15447,12806,16975,1752,18893,3542,11343,10200
114,15637,597,15422,296,2046,11637,10612,18674,2089,19364
115,17212,197,6241,13820,14996,8758,14222,17693,1606,7063
116,19508,6693,14028,1585,17324,10606,5107,2780,7851,17161
117,3265,17724,18354,1544,514,15883,10673,15600,8894,19212
118,12367,5196,11166,10133,7357,16804,1603,18847,8567,14645
119,14166,9927,1218,19944,9024,3400,6552,6951,14112,11715
120,17895,4389,6988,12691,6400,409,16276,10593,6199,13559
121,1330,2341,3486,9365,3902,6597,15772,10423,12926,18999
122,9170,12757,413,7054,8736,10298,10427,17691,18403,16606
123,8870,4100,16041,19322,10178,2644,7045,1829,19713,14861
124,14255,16512,7773,6520,5960,19197,1739,15105,2591,3416
125,19595,8049,6061,15790,13995,16365,18231,3329,3259,2267
126,19845,13172,653,7670,5783,10036,4182,18083,7062,8315
127,16525,11092,9514,8120,7716,9758,12991,11817,8505,5163
128,9933,14041,19038,19513,14589,14996,18369,13925,503,8108
129,3494,12852,12839,17680,10925,6372,19150,8896,5015,10909
130,13876,5470,10453,2934,9674,4690,12372,8515,15111,5642
131,7394,6166,2598,6863,4935,15906,8945,9069,4575,2022
132,10466,19054,5936,17419,238,1121,8906,9574,17699,6800
133,14657,17323,1156,18804,10855,1528,10471,8708,14173,10167
134,879,18160,15986,18044,16681,9378,6041,16775,5692,17052
135,4682,4366,8306,7872,1828,18537,17175,1391,3098,12808
136,138,15925,19607,10177,11071,16849,2957,3805,19750,4851
137,19713,11928,12911,3591,12176,3871,8761,7521,13913,13105
138,4449,15820,5955,16336,19925,10744,17715,9055,6571,13815
139,4554,9472,12461,9912,2536,4006,18122,18451,17360,12870
140,14314,2221,2512,9982,767,3549,13620,8208,3816,16617
141,2723,15110,2309,15176,17946,9748,17567,4291,4457,15645
142,18167,2035,15378,7408,13132,11591,16577,5001,1104,3847
143,17271,10689,2301,18228,17467,9791,11279,15913,11514,19246
144,14360,6606,5851,1976,17254,17891,4152,567,7447,2931
145,16805,16947,10563,12518,7365,13732,970,4320,1636,8683
146,17660,17078,3728,12528,6686,14023,3978,6450,10143,3424
147,13466,14231,854,18540,13830,12549,504,5156,8330,9697
148,7244,4759,6115,9597,1986,6036,4786,5498,10483,17199
149,6977,11923,13450,10447,11008,6818,12999,1264,5042,3483
150,16894,5351,8997,15359,7036,1559,8433,5194,16792,2098
151,3518,11296,5647,911,15732,3279,7229,10641,7684,11641
152,19218,18375,5092,11303,13498,17822,11281,9550,12438,7539
153,19715,10589,2727,4426,6569,14238,17328,19143,11420,18466
154,2957,7724,2363,19658,14898,13907,1560,7718,13960,12995
