"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013"
1,5709,3622,18019,14094,5516,8790,19535,11082,17395,10209,12104,14188,2009
2,2119,1510,18381,18872,8993,14899,1680,18733,6812,7271,16215,18016,2186
3,2208,9672,1089,13645,11327,17145,12439,8768,4976,10030,6487,9732,2421
4,5954,9557,9208,13449,14972,9758,10801,6238,15132,1683,4690,4344,12917
5,9690,15385,1510,682,1946,12294,15441,18173,17497,13269,1688,17455,5612
6,4216,17454,11522,2126,15538,12817,17397,1931,1794,8969,18713,4861,16796
7,7460,10828,17426,13147,17055,19488,11330,11159,3696,965,9224,18600,12472
8,2413,13862,7256,3390,4658,2115,12787,2874,14293,5146,18841,3192,4701
9,282,7353,11756,15403,10238,987,15830,18487,6904,11003,19834,5725,6396
10,6762,17937,2543,12844,15611,4310,6382,13255,11638,18613,9396,9791,19212
11,14029,4713,11800,410,8314,7822,5204,2785,8153,939,10673,17065,998
12,578,19223,3086,15578,7937,1698,2781,7546,19512,14363,10583,19124,13792
13,1379,5912,4108,12913,17552,17758,19747,10121,17178,16388,6541,197,2794
14,18080,4117,14883,8017,1224,15006,11476,4636,16258,13540,8584,1333,18409
15,12783,17908,14466,16505,5792,5358,11780,19660,7697,5982,16286,12987,7302
16,15630,5245,3238,19785,4237,4584,14209,13930,12592,13947,5382,7607,6903
17,11599,3843,10394,1477,18714,12387,3344,9902,2938,728,18119,13654,6809
18,7015,19098,10659,9929,11580,2695,11657,326,14075,4886,18317,8805,4273
19,16515,9790,1325,2696,14161,12498,11533,15062,17645,18254,12516,6714,19976
20,8525,1766,1779,13961,6129,5225,10806,16696,11109,3769,9114,696,5891
21,14139,2150,11101,19078,662,16921,11085,14213,352,18205,10686,4511,14727
22,18980,9955,1080,11642,5941,5815,16882,11034,14222,10260,661,902,13831
23,16055,2481,14473,14420,14709,6847,6184,15462,8471,19570,5957,14367,17841
