"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015"
1,7908,14428,1330,11043,12097,12162,11600,14677,13438,8662,18986,14783,17088,14187,5862
2,18038,16380,7540,1806,15600,8470,17411,10608,3602,6245,11046,17875,161,9732,14207
3,13042,8430,4333,679,16135,11262,7704,3190,609,1724,2861,5380,3912,7774,984
4,13002,374,1181,8393,9949,5181,10132,6798,7793,7134,2723,13484,6864,14265,14046
5,18142,17088,12930,10284,11123,13010,16826,11400,14301,12225,7679,13464,18494,6968,1383
6,18888,16039,17292,10592,9183,14635,1341,12654,9388,14635,18249,9374,9962,14142,10183
7,3987,19617,379,5223,15725,18232,14865,14149,13593,17863,16603,8796,12891,3267,10488
8,1352,19032,13950,10660,19315,19028,178,17893,19351,944,4524,17171,2738,8060,6152
9,9473,9412,6538,3270,6415,3674,822,12932,1019,906,5033,18422,1564,4650,17814
10,11644,12522,17358,18103,14888,11179,12253,19014,9507,10558,2054,2053,18337,11046,4043
11,601,8469,6118,1880,573,13241,19650,11228,1816,7375,16519,8313,2459,13281,10206
12,9434,13166,9962,9619,8854,4706,14099,15063,5825,8763,16803,6273,8610,2220,2778
13,8894,10119,17942,10882,18274,10361,15625,2451,16846,10382,19832,3567,2693,11596,10444
14,6669,16926,1086,5730,4034,4960,15793,15842,13772,3386,15629,17450,4458,2536,13339
15,1370,15548,11684,19291,11749,16083,11487,2368,15143,12022,11611,17861,7474,1631,12090
16,3798,17346,15616,5165,12016,6864,1765,3880,7738,18117,19163,5323,17492,16344,2871
17,8555,2202,16997,14697,12432,3825,9495,3853,11447,9556,12835,12965,5157,14422,10405
18,1473,9419,13582,578,11355,18692,11932,1907,8713,16930,1782,2756,7474,6721,12944
19,1337,19154,17564,2573,5079,18623,4137,7413,902,18647,13608,9671,7490,13127,13365
20,7325,3837,19754,13925,8898,16612,19490,19737,9467,7187,3692,2083,2830,6680,283
21,12971,10329,5538,15162,15869,19005,5408,8513,4287,9019,15331,8715,14191,16451,10523
22,1938,8724,854,5094,10586,18038,10659,7851,10107,7235,10070,16826,221,15708,8489
23,18428,3951,19066,2132,4792,11510,16362,5381,2424,10109,4557,17485,9041,19276,248
24,13305,5122,8039,663,2194,2862,12187,15910,16574,9595,10208,4047,10953,17493,10314
25,12336,2980,6409,18957,15828,16132,18297,12590,1263,18316,6149,12489,17056,19795,12705
26,3876,11743,8434,6822,17200,9550,6463,15075,6302,16282,10492,10904,16546,9352,4942
27,7719,17467,9635,3542,9221,8935,4531,630,19070,10184,16773,19210,17308,16943,8844
28,17559,4446,7408,9239,3666,14441,6061,14400,10069,19045,1512,15874,10313,1291,8239
29,18160,16561,2267,12509,12364,5372,16346,13549,14099,13432,9240,17291,3418,8314,12845
30,15611,3911,11124,343,11810,10524,4373,19202,5419,16036,11380,4846,8081,14931,5856
31,212,9505,17872,3313,984,16145,4588,2453,1342,13325,2922,284,16259,3927,9119
32,17148,2761,1473,13549,17432,19092,13617,6721,10171,7849,19791,7962,4345,16171,4774
33,16861,4937,7473,19989,2021,1278,18939,3172,975,19523,13168,343,5772,11072,7894
34,16852,6030,17082,410,13330,1936,1806,15482,13280,3421,12517,4110,15685,14665,516
35,3506,15047,3845,15807,12007,411,631,11213,6921,7784,18160,13117,6569,12144,10332
36,6425,11951,19551,15288,8491,5458,7490,14060,10946,3277,18009,637,971,6338,3019
37,17288,5300,17873,12437,1556,16520,11188,1027,9353,10185,8193,19088,5593,11086,16006
38,10086,5636,19167,2999,18787,12540,10845,3218,18987,15785,13761,14340,318,10595,3362
39,11638,15528,1992,287,13229,8138,14347,8773,6935,16709,7441,17255,12429,11290,2378
40,15148,16356,11443,7281,14381,18077,5330,11451,9914,12851,15825,14150,1779,1199,15047
