"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015","sim_016","sim_017","sim_018","sim_019"
1,11366,13055,2417,8939,10910,14279,14555,15870,955,7063,10956,10228,3468,19379,10318,7545,2552,6832,11095
2,18453,1796,8407,19623,618,18081,9543,695,5270,18731,6789,7153,12299,10861,15441,7605,4229,12672,7182
3,14257,6474,15317,16320,16179,13685,11813,2334,19208,15419,18685,2637,1979,15105,4635,8073,206,15394,5320
4,15618,14019,13066,6776,1112,9213,4948,1457,16340,1120,5114,9235,10292,2808,153,4573,3795,5994,5270
5,17954,9880,3710,8429,15532,10732,2193,6670,17360,10952,9706,16457,18868,18777,2576,14537,819,12933,8087
6,15688,3688,13840,4010,13426,2318,17677,13663,16409,2441,18770,2696,1354,7501,10823,6297,16676,11062,10231
7,18614,5671,15925,4557,15478,2418,1757,1728,17143,6928,8738,7112,14552,6165,14289,3375,15702,9372,18262
8,19627,1033,3543,18806,12840,4904,13897,14890,4989,17961,13878,3187,9070,1687,6523,6042,9185,1293,1308
9,9838,9488,3563,4619,10885,15658,18070,14585,6941,9257,5122,8489,6409,8705,14713,19674,10848,11311,5178
10,14707,1862,4568,3080,18303,1198,707,1127,18948,6022,13137,2735,7675,5571,19940,13347,14153,18857,13485
11,6633,10315,18086,9601,8435,2673,7712,111,7854,2669,3749,4649,5135,13202,2224,5304,14483,5957,9597
12,19949,18879,1000,6034,8886,7140,18215,19199,12116,12011,7287,11376,8588,9191,8481,3958,10820,10459,9289
13,10050,12629,5566,13418,18598,9260,3699,19110,17659,9065,19810,8302,8304,14392,240,15617,18544,18158,15420
14,2624,5415,15540,7049,15820,11664,2132,4720,16627,11543,13003,15535,3039,18824,19587,15257,873,9516,17519
15,10912,19655,19485,10484,19340,4616,14025,6797,119,13981,5660,19959,13591,8196,1321,4846,14362,11791,14571
16,8983,17707,9860,18963,16154,3153,11318,11821,3833,2720,12010,11036,18922,18455,10820,668,10859,17781,13472
17,6796,17181,9659,10658,7928,13923,3055,16076,19952,5012,4775,14655,18628,13292,7703,2619,10915,6898,17965
18,14124,6891,8723,3538,14570,19859,8540,17447,16265,15304,18874,12129,15545,18222,19207,14172,17400,2777,17854
19,15589,1745,18221,19302,5395,16080,10044,10639,15167,177,15373,5538,16259,7581,14936,18010,11299,15769,2766
20,8760,8407,18409,18064,12533,19087,17480,7511,7591,19754,17111,3098,17928,4125,7361,14169,10796,17140,7541
