"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015","sim_016","sim_017","sim_018","sim_019"
1,7971,11020,5986,8285,9615,16506,4223,8836,8612,1065,16616,19339,12743,15199,15523,15470,6733,17780,5280
2,10867,7665,634,15497,8807,2973,13032,7710,13653,5637,6702,14015,15435,4669,2737,7034,16042,12367,9759
3,2574,11521,6215,8241,16010,4360,10086,5023,15055,17890,15870,2970,15607,12846,16163,15454,11187,836,19411
4,9387,2305,5641,5484,11064,4501,1868,7158,6437,4225,1378,4873,17464,492,630,9265,4447,18655,12757
5,7157,18053,19430,7378,1479,9705,2541,1742,14721,4509,15992,14363,7721,18191,9388,18602,12527,7560,13194
6,7224,19726,9017,4110,16737,7944,15245,8670,8896,2278,16499,16775,14161,7569,12182,19172,12765,2891,10073
7,12799,10890,17276,9590,7570,16883,3168,12705,12031,14495,5545,6478,9292,11606,8268,2248,19720,18499,15411
8,2841,14510,3409,13080,5170,11322,16143,814,10839,18519,1725,15130,18255,140,5995,9081,5864,6549,6844
9,9478,14331,10116,7304,17631,17292,11978,15407,13339,11757,11816,15447,10950,7263,18246,19206,6614,2847,14396
10,18855,10166,6947,10252,12566,9267,12317,3341,16824,12124,15923,12848,13244,19738,7038,7363,9761,9052,5704
11,19435,3438,11787,8885,717,159,9604,9710,9661,4210,2676,6960,5103,15575,7298,14569,8958,10797,15738
12,6672,13887,4773,18136,11235,7069,18406,1626,13778,11011,14910,2416,16959,8070,17240,5271,10208,1872,17589
13,15646,3930,9785,8006,16117,13498,2722,17143,15591,18871,6741,10134,19544,18625,7287,18248,10755,9216,892
14,18835,12697,10960,2144,10683,18598,5761,15892,2635,4517,17164,11586,13130,2039,17137,9287,16715,12935,17707
15,1944,6121,4880,5236,8314,11461,18296,10489,8534,1785,19688,8714,13766,3862,5528,12018,3821,2760,6316
16,4742,14118,8095,19561,16505,18957,13742,6306,927,7869,13931,16294,979,8896,11978,945,16537,11883,3246
17,7967,17440,9165,4671,9699,10468,737,3742,17608,9125,17944,530,542,4481,19605,13627,2643,4771,3587
18,2035,15236,2272,12552,13436,2391,11397,7691,7052,10982,6873,10534,11546,4840,14319,17047,9164,1551,4944
19,349,2914,9333,9700,4301,15406,17008,1224,1790,8440,1119,6276,1770,822,19601,9384,13702,2923,1647
20,8263,5904,3819,14642,17061,7581,18719,13211,5109,13678,4826,7448,10791,7451,16326,876,1228,15590,15438
21,3763,10311,18367,120,15258,9328,1809,14037,17437,19962,9242,11780,14506,18387,5551,3965,11031,18212,675
22,7106,3405,17117,15403,244,7275,6980,6418,9054,6474,18819,11392,16485,10691,8066,5155,10691,5841,5182
23,3843,9806,8476,6831,16695,5073,16219,19847,6279,19009,18061,2192,4208,18907,12920,7735,18618,17276,16228
24,19304,6962,9647,11577,11119,17739,3503,2338,1983,17735,13120,13746,18076,16881,10917,3859,13711,2941,18666
25,11655,4123,10283,11651,1524,18818,1988,8204,3314,9055,9148,13727,3095,13763,16947,5765,12693,7900,11329
26,15073,17953,19818,9169,6902,5129,19486,16657,11907,19579,1122,18667,8078,9202,3060,16237,19812,4305,15750
27,19999,19837,19947,18539,8285,4273,19313,10667,9137,14007,1104,16426,576,19765,10167,3407,9998,8356,15644
28,12137,16976,19784,10166,5098,10866,7731,9891,5029,16205,4212,11861,184,9429,7298,10726,14198,4534,17069
29,16728,346,12470,18366,8218,19766,6655,11438,2417,8906,9753,16682,1991,14257,1297,11743,19559,4377,9345
30,3041,4043,995,16015,14738,12762,11922,16980,5948,14630,3698,7446,5184,4965,4355,14712,6892,5075,7253
31,6832,12602,1456,1076,11424,15516,6947,1876,6234,11364,14079,2968,15629,2312,3565,6678,14973,11863,12943
32,18405,15523,12380,15447,14596,13387,15834,6779,13435,9420,3580,10653,312,3944,11993,5759,11299,1966,9040
33,1895,3197,9403,10326,6017,4357,5604,7049,6153,14258,13928,10267,3160,6956,12305,2989,10521,520,13417
34,18251,6140,8358,12435,19996,14284,411,2467,14332,17901,7988,8495,19965,16300,3287,16939,11159,18742,17847
35,16471,7058,8561,1777,6913,5345,668,10716,4119,13724,16963,8458,3316,268,18084,341,14545,9806,10130
36,18763,12257,3215,9150,11226,6224,9712,14639,3472,19413,4823,8357,16957,6902,870,4512,7987,7645,18348
37,5293,11584,4993,14172,11310,18903,2707,11516,9565,5259,10047,5998,15615,16161,8050,17205,298,4394,17485
38,6824,13528,14800,10029,19991,13751,4915,19194,16182,15652,16272,2911,16622,19818,3987,555,1798,6854,4089
39,3702,3510,13544,6690,10741,14698,4078,1084,2960,9341,17313,16136,7808,2599,19806,15069,13065,12828,6748
40,4133,1960,10246,4993,14341,12088,16464,19946,834,17008,12599,11832,794,5679,13388,16727,8373,11561,19599
41,4381,13248,17610,4401,14237,17410,11358,1579,11766,7277,3871,3493,13730,560,12433,10700,10849,7190,8197
42,7886,7600,14414,14974,1096,11444,16257,18656,1910,8241,3672,11750,15747,3524,15828,2953,14309,13235,18013
43,1720,14132,14353,15665,9613,10697,15932,2583,12013,18471,1183,7740,18427,4159,16621,2132,7190,13331,7121
44,15649,9153,2352,4499,439,4519,6611,17713,11877,4249,10980,1222,7684,12213,8797,11553,9465,15869,8239
45,7105,13609,12382,2202,9963,6150,8321,19811,11859,2123,2300,19995,985,9000,3327,8046,19252,1776,1522
46,12506,5159,5867,10645,14070,2743,3241,16786,13588,15506,14588,6457,9215,2024,14297,13193,5551,1346,5091
47,8522,16417,13092,5560,8754,12526,4775,19334,19488,704,11707,17056,11067,15670,16494,11892,19617,17715,10030
48,19958,6431,17758,13610,1558,18750,14010,13059,1632,5378,12578,19184,3350,14471,19944,4648,1477,16648,8189
49,13347,8633,819,13661,14781,10379,9586,17105,9121,6686,3951,15286,16317,15983,19369,15825,1085,2136,2207
50,2096,10343,11617,1543,18862,10267,16782,19612,8495,10074,15887,1537,617,15593,17234,13889,3681,5056,4469
51,7278,14773,2099,7083,5173,14913,17126,4227,14694,7153,17882,15421,16347,18004,11780,11725,1497,15272,12617
52,4719,19214,19785,16745,9661,16051,340,16885,9491,15115,8891,5614,14472,5950,12591,12799,14380,17773,18908
53,4971,2019,9772,12869,17137,12316,2382,16394,9815,10838,7641,10728,7810,19796,6498,10299,17111,18827,19513
54,970,15908,9792,6724,10759,8135,19368,6955,12702,6441,16586,3665,6712,8506,15550,12736,17120,4006,2748
55,3834,12850,19628,5138,4323,7067,12474,8481,18120,1393,18290,3909,13075,19708,9006,7318,4896,11116,19847
56,6369,5001,3318,2808,7649,14267,11352,6483,2190,11916,13427,15208,9309,8004,14065,4900,10773,1422,8934
57,8287,2737,17450,13214,17119,19809,8657,19620,12612,5373,357,17944,11694,16432,13893,12814,13409,9452,13537
58,14536,3556,8068,7191,8955,17943,15365,3483,16588,7145,7502,8456,354,18892,10646,1608,18210,1976,6425
59,14434,541,3780,11454,1924,9518,1465,18611,5485,2247,9520,18595,15499,11224,12766,1506,19986,16443,2645
60,13263,12761,11568,10904,1672,14898,16373,18120,15412,2742,13932,12834,13625,455,16754,5626,17129,9312,5493
61,7926,2534,14807,4186,18569,7806,3823,8181,18673,1419,5433,9585,13699,15333,9782,8285,14582,5719,3730
62,3181,15011,8310,10471,12108,3138,13128,9932,11040,5287,1910,2021,7498,474,18051,11031,17562,4833,10346
63,13286,8242,14877,14466,5546,750,6958,16368,2989,1363,3633,4346,508,5490,3465,5331,15205,221,16951
64,5197,18367,5892,5246,5267,18906,17506,6948,10775,1109,14491,16091,12682,12932,584,11125,1709,5721,6675
65,7839,17281,15476,11378,2319,10086,7562,15164,19055,11248,14505,15681,19726,3057,8183,12475,5702,19443,18075
