"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015","sim_016","sim_017"
1,19058,15325,15785,14725,6340,1968,12104,9077,15041,15498,15704,9802,16323,6299,13376,15830,11521
2,17777,17045,4146,12711,14297,16512,9531,5315,3665,17266,3799,7186,10268,9156,10699,13040,14714
3,5050,17596,3293,4115,3998,5242,14986,4051,11530,4889,15739,13841,2166,4221,2501,14963,7752
4,14421,15284,15141,15668,18951,3595,5222,6802,18869,2655,4314,10391,17760,3204,15806,4326,7409
5,1405,17534,14705,6000,14857,5167,3399,2370,8601,18271,998,108,5008,8610,7563,12742,310
6,15174,7899,10588,17688,8580,15079,5184,12350,14175,12727,2654,9089,1490,1601,10788,17641,16668
7,17670,13438,11992,14600,12126,12913,7896,12441,8729,5241,16246,15054,11755,9970,15352,11374,1543
8,10861,19423,2788,8389,401,8573,166,4285,19893,2994,8505,4475,2924,10515,3529,19856,13836
9,9687,15017,19647,6842,153,13253,16820,2273,11847,5921,5762,1084,4358,15397,10422,17751,10453
10,18768,3880,16943,14936,4780,6639,16434,14985,511,5706,18041,16362,18973,18188,3929,6896,1491
11,15127,18998,6722,4221,15882,11654,15475,8766,10427,16355,11147,12006,11965,18470,9545,11427,13156
12,5412,10988,16418,8998,5224,608,929,10169,8275,16312,6022,11478,14003,12739,19054,13029,3243
13,18324,9671,12717,3558,18976,7013,7736,1760,7004,3635,13994,9118,9242,19295,4972,19062,8005
14,14190,14777,14199,6595,4106,5552,4042,14005,6453,12907,7677,545,10733,7065,11253,11640,13270
15,12639,16239,12876,291,13533,19310,19798,4308,102,9655,16329,1021,13667,822,17938,6796,13111
16,1586,1106,15257,19329,19101,11059,16576,8723,14174,12251,8788,17418,8155,3830,6020,5241,15713
17,18806,13126,3176,6458,10970,16843,17764,5851,9659,11284,1754,15574,13391,2794,16692,18720,12791
18,16876,16542,687,186,7607,9569,9727,14993,16064,529,16827,13092,12183,6139,14856,3897,15779
19,10290,3645,4962,17329,8485,1120,1422,1277,1637,375,19441,10086,15601,1969,11303,15855,16805
20,7487,2782,1686,9324,19930,15514,4806,2265,17376,12719,19873,19500,10024,1010,6259,11199,4933
21,12235,14389,7131,10519,16281,9637,18212,4369,15789,8745,1709,11077,5951,13676,16889,4988,16329
22,18746,4278,13548,3648,17988,5032,1141,19358,7807,14660,4955,18948,5309,13193,11146,8146,18598
23,5436,16149,10370,8780,4287,15126,10280,9537,16391,13139,1759,5689,4844,3432,15625,4460,12081
24,12823,5670,4563,6538,4343,10572,8185,12367,11640,422,13911,6423,516,16547,18951,12917,7929
