"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015","sim_016","sim_017","sim_018"
1,7655,16571,12907,459,18019,5137,10805,11136,14243,7545,7483,3848,6755,8786,19960,3706,10444,2872
2,16046,18712,12641,12359,13392,7196,16990,1436,14312,11089,7492,10832,13404,636,5821,229,9752,11080
3,4161,4669,1012,10068,5636,17390,6001,1716,6942,8251,13878,4883,6775,16148,1909,13524,18406,5884
4,6569,4518,1628,9841,11769,11845,8192,9827,9062,17541,7570,486,19187,3605,3341,548,2507,5550
5,18184,1105,14074,14022,9597,14341,3861,16043,15425,16265,3878,13043,10824,12169,17399,8127,8596,1516
6,7950,8780,12459,1208,5794,9432,17278,7755,11468,3190,7297,3098,10070,2657,6712,3899,18180,15472
7,4216,18269,11520,8098,15609,17836,16563,13135,2930,15013,3900,5495,12271,2647,3734,18224,19357,19799
8,14121,4598,1631,5898,13733,18505,7061,18405,12179,1979,16120,11243,12119,18730,11794,5067,12895,3991
9,6148,6130,10720,1305,14880,17440,3379,16570,4678,6009,15680,4010,5402,5928,10685,13749,5666,18681
10,4093,19853,10634,5409,4382,12128,12434,18043,5839,7890,19421,7144,12923,18591,5158,13155,9783,1266
11,16280,19948,4352,4602,18099,17707,6584,3263,17205,2722,12459,17948,10416,16525,18661,13649,8821,16443
12,1791,11012,5050,1697,2090,19810,1041,3785,10717,258,10377,17548,18852,19856,3668,5423,12634,2917
13,3010,11611,8429,6573,4327,6234,5818,4702,4963,10563,9291,9831,1088,2018,15763,19202,8033,6600
14,16936,1102,8353,7241,15070,7374,6761,7570,17931,16160,18430,2963,7300,2523,16348,15419,443,14857
15,1374,16759,9938,4653,2983,382,12615,7184,16552,8056,3880,9856,8696,17418,7785,2534,16727,18971
16,3024,15096,3553,10656,4492,12706,14314,1666,3207,7220,19880,3522,3960,10706,17460,15129,2011,10597
17,391,15021,2506,14673,11014,723,8638,14147,12784,17613,15727,11767,1682,3396,19525,15111,17744,4784
18,10968,4574,10569,19773,9965,11833,10827,2028,2957,12279,13197,7310,11542,16241,13040,11956,9944,7459
19,4378,13858,8758,9706,4814,11945,12249,7815,12939,14519,4093,1103,10794,412,10869,1171,3667,6650
20,13385,4000,235,9338,9697,2826,9579,8184,5161,14771,11915,16949,11150,14684,18493,7690,10109,4900
21,11869,715,6316,15685,10724,15760,10634,9644,9276,17011,11691,1801,16060,13200,9589,11268,2294,19549
22,5439,8816,4218,3242,11167,17435,15507,11015,5597,11114,3485,13150,17817,13628,16091,1383,7262,10571
23,10255,6053,15570,17295,7782,15865,12104,4322,18598,15604,1018,1499,9415,12957,2947,8783,13943,13563
24,6876,7218,14622,4582,11796,888,1006,10486,18926,1073,17764,13332,1872,10200,7431,12134,3374,1922
25,2094,966,5531,7238,4332,479,18333,14028,2158,8610,17661,11818,14476,19329,12569,1629,13016,1921
26,7124,6253,17289,1809,13096,12776,12943,17058,8269,17303,1638,13204,8465,16488,15660,272,12560,19863
27,14218,18026,9930,4528,8822,12673,4126,15112,13154,12620,7745,8106,8329,17500,16891,13120,5817,4108
28,11340,5154,12390,4711,18820,13615,19829,16492,1229,132,15078,1232,6515,1777,9746,1237,19473,10591
29,18040,1374,13076,4503,13081,15158,3360,598,5176,9718,8495,2165,17534,10728,16153,11263,18609,10406
30,5931,9236,7114,8290,3930,12823,4141,14703,9894,9670,19496,15921,4833,1795,10164,14110,11517,14325
31,6578,1015,12917,8007,3851,9536,16854,4841,11662,2668,1177,1385,13430,8587,18582,9049,2980,19091
32,18411,6964,14938,3406,536,5657,3360,13189,14788,4762,8909,11964,8084,16882,2473,3389,4291,4339
33,3704,8790,17002,10133,2366,8676,13779,13934,14607,14232,1549,18544,7779,1192,12292,13409,12443,1430
34,760,466,9479,17294,17052,1665,1134,4572,11104,13427,7750,10460,631,4637,17574,16295,9697,7120
35,5946,3797,17868,5815,11116,10295,5053,17249,15213,11454,18598,8523,4780,17829,8487,16872,1824,10343
36,825,464,3570,18926,4897,1963,6895,4307,18782,8780,10638,15757,2587,12833,6170,10633,684,15217
37,14541,16926,9130,9075,17351,2460,6038,7517,13652,15529,17404,2827,12685,8514,7884,14006,2895,4407
38,1657,732,13650,1705,3135,4266,12636,7606,18251,17402,9213,13502,6197,16171,14361,9388,15054,19201
39,6035,17434,549,1174,5780,3687,12178,7822,10828,1113,4631,10683,6914,12558,9888,18798,6115,17632
40,15452,15172,280,15607,13140,7475,8105,9962,375,3646,4952,4540,7924,5627,16634,14353,4715,1477
41,4485,11092,5765,1262,17549,10187,741,10637,13245,4747,15609,12199,2183,8886,10620,14415,6378,9273
42,19272,15237,15410,11891,4951,1928,8527,13429,9763,8252,18929,9685,7573,14801,11075,3073,19557,7438
43,17941,159,8982,7595,2765,10686,12915,4934,15995,13165,2590,12478,655,3656,16280,6012,17107,15969
44,9299,11106,9998,7266,14510,7828,14142,5171,8261,8199,9757,17990,15180,19993,19939,15141,3985,8285
45,1143,17916,7875,9876,9666,6776,712,15810,19287,2268,12213,10594,7660,5317,10762,16188,14473,18081
46,4526,10125,16410,3754,12775,12277,10122,8932,4322,188,7952,16281,7091,7168,3329,16674,2347,169
47,16900,15968,4125,11395,18163,18663,4988,912,8338,7906,16025,4910,9306,12953,11425,19365,15171,3714
48,16710,11953,13733,14112,18588,13654,2017,7713,11097,15197,14240,10741,6721,16188,10764,4974,7005,14740
49,14442,18973,6406,15821,12933,649,14947,9256,3214,6453,16251,11542,5851,11280,907,17754,4091,14557
