"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014"
1,10262,15913,7527,1355,11337,13320,14558,4902,5260,10276,15015,2372,14582,8799
2,17594,16370,16389,2399,14224,10132,7932,10225,14893,19390,6103,1178,12553,11928
3,858,15722,18815,10740,7909,14103,16212,17073,1048,15893,10662,8881,8858,6029
4,3118,7656,4009,16527,4964,12211,10801,18892,1079,15346,17547,3045,5777,483
5,16226,11619,4633,19714,17948,4809,16808,7769,17651,9115,5534,9772,6187,15791
6,1536,424,7290,654,18905,14602,9942,12781,935,5351,288,7200,14231,8078
7,10241,8103,2678,19365,12282,19298,18334,16957,3414,1499,8496,12232,2970,9899
8,18108,4072,19504,6089,9551,13773,2344,13944,9829,14392,10094,16342,906,10310
9,15819,5188,19532,3445,10645,10941,18130,10818,525,14767,14188,12725,17133,1557
10,2220,13256,7761,684,18767,4696,13776,13751,5121,6166,8150,3930,14126,4473
11,7538,1740,18323,4801,9658,4009,8061,6196,17264,18875,14699,1245,15433,696
12,19570,4670,14741,14053,15492,16647,17477,18104,19260,10366,17330,3007,9175,2070
13,12934,235,6055,2532,2817,19820,14340,14998,4726,6686,1662,12813,8116,11082
14,7151,17853,9295,14523,14941,9714,260,12126,8186,178,9919,14351,10667,1382
15,8025,8969,17131,17891,12789,16220,10275,10374,6686,11432,2783,19073,16866,19020
16,8659,5509,11593,19270,623,778,5100,1984,4919,7502,10996,13859,10078,11249
17,18316,349,3288,6039,4502,6986,15293,9551,8492,3880,4352,17689,15611,9126
18,10789,14402,1258,5551,11124,14080,4544,7552,898,17008,19385,13327,310,15923
19,747,11041,11849,12492,7260,6659,17382,17735,13073,4142,15601,7753,12514,8751
20,1403,1344,13124,4968,18150,18399,17265,19249,4033,2501,11021,19209,13156,264
21,14074,14610,4707,10150,9096,4541,4325,1343,6762,10959,13475,4579,7673,3978
22,4025,1311,10111,11172,5970,12512,18645,7954,15251,17166,16912,7713,3408,858
23,7746,19288,15071,3442,14827,17108,1995,8724,6199,9790,529,18056,8266,7223
24,7866,12994,14373,18177,1621,11553,17810,19913,10208,7652,15125,18084,298,1751
25,7736,17995,3252,3184,11610,16862,3272,5493,15728,5174,14450,1557,7716,17192
26,11949,15922,18790,6422,18773,13033,5269,14844,349,180,15610,15311,10851,18287
27,10757,19346,13554,4859,7921,2306,17193,5142,17595,13538,10418,17487,5500,5325
28,4691,13813,14537,16193,2536,6710,1693,17049,1168,299,18207,4759,18148,17916
29,16315,15086,853,5955,17435,8535,1717,9573,16024,18647,830,9284,13404,5648
30,7548,10232,770,14634,1447,5911,11516,8387,16522,7057,8464,8003,14002,5191
31,9749,15611,2866,13450,16281,17769,8474,15835,17349,15279,8062,10450,6340,18101
32,8246,4014,9068,4838,4118,14286,11872,7778,1602,14959,9217,6067,10913,15706
33,2644,19615,19786,5221,508,6589,671,11063,2645,6072,18699,12548,7256,14332
34,7865,8770,18470,2096,1942,16655,19581,15839,10529,19063,17896,17607,2672,1573
35,11333,2400,10938,11316,17180,19133,14172,2329,10076,14785,10835,14861,6469,1850
36,1855,16029,18120,7829,19408,10608,8410,13218,17641,6374,4843,5387,14109,11824
37,1099,13642,6895,16686,10777,8144,8707,4922,1374,6424,15858,3031,12984,11091
38,4124,8600,15506,11851,10087,12639,17832,19580,4894,1705,14639,19375,5480,17864
39,19164,10206,136,19739,12502,18166,10047,5707,16257,2308,6690,6323,4378,9211
40,5936,326,17043,15643,2156,12962,11578,7938,3080,6053,466,4042,10402,8550
41,7287,16755,9920,4485,15623,10161,19136,19170,4700,1089,15642,4839,9731,15703
42,3519,18900,5209,7184,6811,354,1420,5286,19002,9688,12539,6059,3261,10052
43,7187,3012,5026,5922,15369,12404,9043,1415,4097,14741,6889,2713,13623,14626
44,17113,18697,5407,482,15895,5072,2342,13428,10627,18308,16364,4109,13885,3323
45,16494,3559,14881,17606,2589,18067,810,3845,471,13399,16210,13975,6824,10594
46,11959,5950,3847,18052,5051,8942,19957,6169,17134,1347,5647,1070,19105,8404
47,5830,3082,10766,4223,641,7057,13859,19840,9354,4353,3858,4268,4257,2831
48,5283,17042,3455,3835,14113,4323,7716,1715,10075,1214,11196,14391,9594,18134
49,9090,17935,15423,15913,15594,18383,13330,18673,10793,1838,18080,6546,6662,1934
50,12011,13705,10561,352,18252,10664,15916,6627,1146,11050,11970,4965,19923,12715
51,11057,17472,8296,6539,16556,7893,1555,108,3159,9197,18779,5793,17418,14505
52,8214,9682,17778,4885,651,12299,10720,15034,2613,1509,15084,4257,9947,14399
53,16912,13329,3201,19428,9217,5601,5898,17551,4177,6241,17689,7709,6124,15132
54,10997,16591,13215,8483,306,3024,780,7844,17739,5090,16036,16873,15508,2207
55,18249,9260,9605,2655,14820,19571,14171,19900,1476,17195,2727,1983,8500,13862
56,19610,11108,18019,15154,14237,3848,10067,16209,8329,15034,19249,7124,16587,14098
57,10440,1457,12184,616,18684,9318,16753,16653,13326,9735,13432,9590,15042,9997
58,17160,11333,10751,8848,11923,13806,1778,3181,7605,17640,10075,12138,19137,2767
59,18130,6607,9447,6492,14573,4373,13489,11103,19252,16812,4148,4595,14017,7326
60,14917,5217,4438,6816,15142,12355,11714,7465,14547,13836,3427,986,9839,15452
61,11502,9408,17370,11579,3801,15698,830,352,6419,2458,16706,2281,16018,8545
62,13041,19301,6990,14149,2709,8887,10686,6854,15517,16342,18718,19389,18013,2883
63,9862,6267,14316,6969,2809,19536,2919,16158,12995,15915,7773,14192,15155,1842
64,15039,7134,16111,19159,14304,4331,5400,18615,18898,2197,895,16224,16853,1163
65,2118,8523,6793,16226,19229,18211,10192,18513,3124,17842,19093,7062,6484,14207
66,3880,12803,11232,14259,1408,14251,19857,15551,14252,3857,13984,6294,14687,1255
