"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015","sim_016","sim_017","sim_018"
1,13019,7186,12478,17254,10328,18123,11975,10861,19026,12998,1086,16186,6396,18199,10348,5381,9450,15012
2,12256,13321,13410,9247,17032,8683,19943,8501,14555,9522,19959,15476,103,11127,18360,5841,9284,8010
3,1960,384,15565,18520,896,17344,3353,12584,4657,826,13231,2086,16776,17557,14640,604,14744,734
4,18043,13185,16492,19630,12725,7736,339,10892,11043,9740,7431,14382,12608,2692,3748,2480,9470,8861
5,5936,12201,16370,9190,5570,10845,7045,5606,7865,2223,12736,5940,19838,19224,7600,4133,1457,2329
6,15748,12408,17329,11373,16253,16279,15656,4738,8674,1789,18981,1764,355,11995,1301,14684,18173,17411
7,9337,9717,13676,15553,6394,14789,6837,16347,18036,3410,19591,5048,12794,10672,8523,881,19586,18030
8,11750,1403,13065,5174,3429,19178,6335,15627,9983,14539,3441,1897,4113,7370,1849,16937,6926,6451
9,19454,16818,14937,16908,17977,13575,16577,1450,13749,14179,16857,4727,16781,13682,423,13765,5881,8766
10,3660,2574,5731,876,17994,11656,16322,9378,298,9100,19874,9266,15256,13849,4938,15222,5783,5343
11,9977,874,12991,17287,7816,315,13636,15099,5166,9431,8080,3468,9795,12761,10772,7815,4047,19517
12,7523,18908,9496,4866,19059,926,4988,2522,276,12371,10417,6414,9530,4256,17325,7779,17599,6514
13,17315,10425,19538,10828,2480,16333,15904,9301,10446,11279,16224,5526,12534,1311,7171,3036,4873,5880
14,5783,13213,19571,667,16032,14864,10086,13099,16678,16970,14643,7002,11710,16295,5621,15620,9655,13278
15,12496,2764,6952,9011,5761,6401,19596,4318,12206,3422,6513,19484,17165,3529,11259,17453,3193,2634
16,5709,11315,9916,3823,3145,9044,11834,14309,6355,18640,12957,15063,14990,239,18845,240,18024,8587
17,18125,3856,5654,7579,18931,13939,3303,5883,5243,14657,2255,3956,1943,13096,2268,17758,12044,16411
18,16940,11677,15971,11798,17303,2971,11388,14213,10004,16549,13747,9045,5861,5095,8584,5668,8800,10333
19,1988,2672,4432,1260,10000,10879,13660,9627,15683,1636,12466,593,5551,8859,3741,15539,12855,1763
20,1288,2086,9866,13497,5249,8842,6542,8059,867,9497,842,782,15222,437,4048,13589,1424,13533
21,6244,17787,1440,7488,12181,4343,19316,5163,18133,1614,6151,18620,14856,9074,19769,11346,3917,6482
22,11842,3302,6988,8966,5402,9990,19648,1473,2313,4822,14178,8526,5361,16110,7093,4866,8382,4681
23,10325,16049,5088,4655,15391,13957,14951,4305,11008,12635,4630,19138,4990,3620,1493,9712,18933,19288
24,7418,17962,6706,13767,9607,3999,13729,12819,8648,4261,3198,14826,10633,15229,19370,10847,4221,17083
25,5986,9426,11861,19154,8020,18794,17422,12682,9923,2209,3760,529,4996,18793,16976,1342,9198,12049
26,3187,18145,4792,10373,8320,12074,15938,6667,16608,18170,17075,6719,8517,7539,10073,10544,5531,8196
27,9466,18593,6868,16638,2924,18552,10569,12773,13036,10916,14213,15094,8408,18494,6542,14032,1181,7560
28,16512,11351,16274,6250,1756,13014,3746,12849,15006,2996,7535,1688,15149,3931,13503,11501,584,6047
29,5617,1585,4925,477,6732,13988,11057,17093,3051,768,9742,19458,14501,19293,14412,11659,7002,13026
30,10687,3417,18287,8897,9511,5119,6381,396,15588,6238,15342,19830,292,1534,150,18612,7303,17029
31,18204,14769,8955,3302,4324,20000,349,16180,5247,16807,13863,5658,546,13261,1567,8116,12272,14489
32,4917,7834,13472,17737,2047,1666,8211,19013,935,8172,3033,17056,13443,10961,19262,1679,19511,8005
33,9744,3016,11842,19905,2974,2852,369,1421,13379,11052,3476,14904,19010,15107,15778,15833,13808,11644
34,12898,10478,13372,14876,18726,12838,12936,14637,635,1450,10281,2977,16806,14170,15539,1564,429,19688
35,2672,13334,11493,767,10174,15347,5908,15665,381,527,14376,18107,2800,2496,819,1770,325,5923
36,13736,1095,1285,14512,12087,12029,4953,7789,9064,3424,16286,2224,833,11854,18135,2079,15107,3466
37,12933,13150,12650,12637,243,2531,4778,14577,5038,10452,8403,10771,4436,14306,196,5589,7610,9632
38,391,9320,1055,7205,17609,633,450,14966,5352,1697,3004,1743,6980,12289,15672,1404,1974,16749
39,12257,4457,15293,14791,18758,6404,10800,12572,11434,19207,18071,12662,2549,6603,15159,15319,11313,1624
40,10691,14911,6336,13222,1039,3685,13531,7294,12315,6124,8391,5174,1043,18994,5310,15687,12555,10326
41,3535,3225,14515,5517,4184,12569,16721,6015,18265,4481,14257,14213,18470,7210,4788,15079,18530,7000
42,19163,3359,13189,6830,16313,5195,14912,9528,19857,14152,14714,17621,3398,2117,14453,19944,7030,10934
43,5735,2864,5349,2855,4698,10893,142,15582,6897,10038,3020,4328,780,3299,2623,19811,5643,1105
44,266,12084,8725,19736,12044,17342,19920,12741,15999,19511,19255,2559,17080,19022,13624,5152,19228,19212
45,260,13023,10952,973,15167,4781,6859,13678,5158,12610,14868,7200,6566,12176,13851,15634,6494,16471
46,2160,2359,19355,16680,3203,2002,4745,3235,566,8050,2147,885,17253,9680,19064,11665,1662,11997
47,1636,295,2716,6633,17101,15900,8027,11426,10423,19297,14645,5277,3459,12046,15339,11904,19736,10935
48,10456,1595,448,19459,14141,13793,4761,11778,1424,12921,19537,4262,831,13646,18818,15581,11159,11118
49,13366,17856,1457,19318,16842,13308,6337,8703,16529,12197,4356,6964,9268,2682,19980,2005,16452,4749
50,10277,16114,8218,1415,3632,13537,124,11901,18497,4964,4693,2402,10557,11205,13310,15686,1330,7170
51,8102,12343,12973,11730,1651,7122,6601,13300,18641,1789,8387,4002,5266,15208,18794,15712,14483,4071
52,5702,12678,7481,18742,11611,15719,2502,7958,9875,4895,14507,7692,17223,17037,19941,541,8538,3127
